Burger Straße,Landscheid,"Wegekreuz; Schaftkreuz, bezeichnet 1685",49.987714,6.776405
(bei) Burger Straße 5,Landscheid,"Gedenkstein; Basalt, bezeichnet 1928",49.98765,6.773809
(bei) Burger Straße 26,Landscheid,"Wegekapelle; schlichter Putzbau, Nischenrelief, 18. oder 19. Jahrhundert",49.987609,6.778328
(bei) Burger Straße 33,Landscheid,"Wegekreuz; Schaftkreuz, bezeichnet 174(6)",49.988108,6.778984
Hauptstraße,Landscheid,"Wegekreuz; Schaftkreuz, bezeichnet 1686",49.986613,6.770683
Hauptstraße 64,Landscheid,"Wohnhaus, bezeichnet 1902, im Kern eventuell älter, Wirtschaftsflügel",49.986729,6.771141
Hauptstraße 90,Landscheid,"Katholische Pfarrkirche St. Gertrud; fünfachsiger Saalbau, Rundbogenstil, 1865; wohl bauzeitliche Friedhofskapelle mit Kreuzigungsrelief; neugotisches Friedhofskreuz, um 1850/60",49.987395,6.773136
Maarstraße,Landscheid,"Gedenkkreuz, bezeichnet 188?",49.9837,6.772597
(an) Maarstraße 1,Landscheid,"spätbarockes Schaftkreuz, bezeichnet 1804",49.986156,6.770099
Niederkailer Straße,Landscheid,"Schaftkreuz, bezeichnet 1679",49.98571,6.767844
nördlich von Altenhof am alten Weg nach Himmerod,Landscheid,"Wegekreuz; Balkenkreuz, Basalt, angeblich bezeichnet 1581","",""
nördlich von Hof Hau,Landscheid,"Wegekreuz; neugotisches Altarkreuz, bezeichnet 1896",49.987465,6.774438
nordwestlich der Ortslage an der Straße nach Hof,Landscheid,"Wegekreuz; Balkenkreuz, Rotsandstein, bezeichnet 1706","",""
nordwestlich von Altenhof,Landscheid,"Wegekapelle; Putzbau, bezeichnet 1849; wohl bauzeitliche Pietà; Reste eines Wegekreuzes",49.987465,6.774438
östlich von Altenhof an der Straße nach Großlittgen,Landscheid,"Wegekreuz; Schaftkreuz, bezeichnet 1702","",""
"Simeonstraße 5, in Hof Hau",Landscheid,"Katholische Filialkirche; dreiachsiger Saalbau, wohl aus der ersten Hälfte des 20. Jahrhunderts",50.019228,6.71691
südlich des Ortes,Landscheid,Landscheider Mühle; Baubestand mindestens aus dem 19. Jahrhundert,49.987465,6.774438
südlich von Hof Hau im Karlbachtal an der ehemaligen K 5,Landscheid,Wegekreuz;,"",""
südwestlich der Ortslage am Ende des Bergsporns zwischen den Tälern von Kailbach und Assenbach,Landscheid,"Wegekapelle; Putzbau; Schaftkreuz, bezeichnet 1809",51.165109,14.421293
Am Brunnen 2,Landscheid,"Fachwerk-Quereinhaus beziehungsweise Wohnteil eines Quereinhauses, teilweise massiv oder verputzt, Schuppenvorbau",49.995735,6.791937
Im Gartenfeld,Landscheid,"Schaftkreuz, bezeichnet 1681",49.994287,6.794983
Salmstraße 2,Landscheid,"Katholische Filialkirche Heilig Kreuz; dreiachsiger neugotischer Saalbau, 1908",49.991889,6.783861
südwestlich des Ortes an einer Feldweggabelung,Landscheid,"Schaftkreuz und Heiligenhäuschen; Kreuz spätes 17. Jahrhundert; Sandstein, bezeichnet 1776",49.987465,6.774438
Brückenstraße,Landscheid,Kriegerdenkmal 1914/18,49.977061,6.744803
Peter-Zirbes-Straße 13,Landscheid,"kleines Wohnhaus, bezeichnet 1822",49.979187,6.748683
St.-Hubertus-Straße 30,Landscheid,"Quereinhaus, 19. Jahrhundert",59.280007,11.121377
St.-Hubertus-Straße 28,Landscheid,"Katholische Filialkirche St. Hubertus; zweiachsiger Saalbau, 1777, wohl nach 1945 erweitert und Turm hinzugefügt",59.279929,11.121844
in Mulbach westlich der Ortslage,Landscheid,"Wegekapelle; Putzbau, Pietà, 18. oder 19. Jahrhundert",49.987465,6.774438
südöstlich der Ortslage am Weg nach Hof Mellich und Arenrath,Landscheid,"Wegekreuz; Schaftkreuz, bezeichnet 1678",48.034944,10.504477
südwestlich von Mulbach an der Straße nach Binsfeld,Landscheid,"Wegekreuz; neugotisch, Rotsandstein, bezeichnet 1885","",""
