Denkmalzone Jüdischer Friedhof,Lösnich,ummauertes Areal mit etwa 15 Grabsteinen des 19. und 20. Jahrhunderts,49.973927,7.043681
Breite Straße 9/11,Lösnich,"Fachwerkhaus, teilweise massiv, verputzt oder verkleidet, ehemaliges Hallenerdgeschoss, angeblich von 1661, eventuell älter",49.974176,7.043996
Breite Straße 19,Lösnich,"Fachwerkhaus, teilweise massiv, wohl aus dem 17. Jahrhundert oder älter",49.974564,7.044283
Fährstraße 2,Lösnich,"ehemaliges Pfarrhaus, ursprünglich Schloss der Grafen von Kesselstatt; barocker Krüppelwalmdachbau, 1683",49.975086,7.04281
Gestade 15,Lösnich,"Winzervilla; Walmdachbau, um 1910",49.974095,7.045316
(an) Hauptstraße 16,Lösnich,"Kreuzigungsbildstock, bezeichnet 1659",49.975155,7.04025
(hinter) Hauptstraße 16,Lösnich,"Kapelle, spätgotischer Chor der ehemaligen Katholischen Pfarrkirche St. Vitus von 1638; Kreuzigungsbildstock, 18. Jahrhundert; Grabkreuze, 18. Jahrhundert, auf dem Friedhof",49.975155,7.04025
Hauptstraße 20,Lösnich,"späthistoristischer Bruchsteinbau, teilweise Zierfachwerk, bezeichnet 1908",49.974987,7.040573
Hauptstraße 43,Lösnich,"Katholische Pfarrkirche St. Vitus; neugotischer Saalbau, 1879/80",49.974338,7.043016
(an) Hauptstraße 50,Lösnich,"Kreuzigungsbildstock, bezeichnet 1721",49.973626,7.044696
Hauptstraße 51,Lösnich,"straßenseitige Hälfte eines Wohnhauses, teilweise verkleidet, ehemaliges Hallenerdgeschoss, gekuppelte Fenster, 17. Jahrhundert",49.973979,7.043636
Hauptstraße 61,Lösnich,"Fachwerkhaus, teilweise massiv oder verkleidet, 17. oder 18. Jahrhundert",49.973608,7.044948
Herrengasse 6,Lösnich,"Fachwerkhaus, teilweise massiv, Mansarddach, um 1900, im Kern älter",49.973956,7.045118
nördlich der Ortslage am gegenüberliegenden Moselufer,Lösnich,"Wegekreuz; barocker Kreuzigungsbildstock, Rotsandstein, bezeichnet 1701",52.866262,14.057547
südlich der Ortslage oberhalb der Weinberge,Lösnich,"sogenannte Waldkapelle; neugotischer Putzbau, 1912",49.973927,7.043681
