Ortsbefestigung des Ortes Niedermanderscheid,Manderscheid,"runder Halbturm der vor 1437 entstandenen Ummauerung, Turmfragment der Erweiterung des 15. Jahrhunderts",50.092656,6.809113
Dauner Straße 11,Manderscheid,"späthistoristische Villa, um 1900",50.093506,6.806894
Grafenstraße,Manderscheid,"Kriegerdenkmal 1914/18, Steinpfeiler mit Kapitell",50.091529,6.81391
Kirchstraße,Manderscheid,"Katholische Pfarrkirche St. Hubertus; Neubau von 1965; Westturm des Vorgängerbaus, 1692",50.093564,6.813254
Kirchstraße 28,Manderscheid,"stattliches Wohnhaus (ehemaliges Pfarrhaus ?); Krüppelwalmdachbau, Ende des 18. Jahrhunderts oder um 1800",50.093829,6.813802
Klosterstraße 12,Manderscheid,"Fachwerkhaus, teilweise massiv, verputzt, barocker Oberlichteingang",50.093789,6.812859
Kurfürstenstraße 15,Manderscheid,"ehemalige kurfürstliche Kellerei; fünfachsiger Putzbau, im Kern angeblich aus der zweiten Hälfte des 16. Jahrhunderts",50.092997,6.812527
(an) Kurfürstenstraße 17,Manderscheid,eineinhalbflügelige Tür aus der Bauzeit um 1820/30,50.092905,6.812185
Kurfürstenstraße 24,Manderscheid,"repräsentativer klassizistischer Krüppelwalmdachbau, um 1820/30; drei Wegekreuze, 17. und 18. Jahrhundert; Kreuzigungsbildstock, bezeichnet 1680; Schaftkreuz, bezeichnet 1685, Abschlusskreuz bezeichnet 1787; Bildstock, bezeichnet 1634",50.092789,6.812527
Kurfürstenstraße 28,Manderscheid,"klassizistischer Krüppelwalmdachbau, um 1820/30",50.092755,6.812239
(bei) Kurfürstenstraße 33,Manderscheid,"Heiligenhäuschen; Rotsandstein, 17. oder 18. Jahrhundert",50.092847,6.810955
(an) Mühlenweg 1,Manderscheid,"Torfahrthaus, bezeichnet 1769",50.090905,6.816901
Mühlenweg 5,Manderscheid,"ehemalige sogenannte Talmühle; teilweise mit Zierfachwerk, linker Eingang bezeichnet 1542, rechter Eingang aus dem 19. Jahrhundert",50.089715,6.817396
Niedermanderscheider Straße,Manderscheid,"Kreuzigungsbildstock; Rotsandstein, bezeichnet 1680",50.090541,6.820396
Niedermanderscheider Straße 2,Manderscheid,"Gasthaus; im Kern wohl Fachwerkbau, 16. oder 17. Jahrhundert, im 18. Jahrhundert weitgehend massiv erneuert und erweitert",50.090998,6.817494
Niedermanderscheider Straße 3,Manderscheid,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert oder älter",50.091055,6.817836
Niedermanderscheider Straße 4,Manderscheid,"Fachwerkhaus, teilweise massiv, 1930/31 nach Vorbild des Vorgängerbaus aus dem 17. Jahrhundert errichtet",50.090766,6.818213
Schulweg 8/10,Manderscheid,"ehemalige Schule; Zweiflügelanlage; Walmdachbauten, teilweise verschiefert, Reformarchitektur, um 1920/30",50.094298,6.809984
Wittlicher Straße 11,Manderscheid,"ehemalige Turn- und Festhalle; expressionistisch beeinflusste Formen des Neuen Bauens, um 1930",50.091685,6.807703
"östlich der Ortslage, an der Straße aus dem Selbachtal hinauf nach Buchholz",Manderscheid,"Kreuzwegstation; Jesus am Ölberg; Heiligenhäuschen mit Sandsteinrelief, um 1900 (?)",49.998092,8.659454
