Borngasse 5,Maring-Noviand,"Wohnhaus; Schieferbau, teilweise Fachwerk, 19. Jahrhundert, im Kern aus dem 16. Jahrhundert",49.924495,7.001595
(bei) Brückenstraße 3,Maring-Noviand,"gotisierendes Wegekreuz, bezeichnet 1848 (?; wohl jünger); zwei Barockskulpturen",49.92591,6.999897
Brückenstraße 3,Maring-Noviand,"Breitgiebelhaus, teilweise Fachwerk, (neu?) bezeichnet 1647, wohl um 1700",49.92591,6.999897
Kirchweg 1,Maring-Noviand,"Katholische Kirche St. Remigius; gotisierender Saalbau, 1827–29",49.925887,7.000625
Kirchweg 3,Maring-Noviand,"Parallelhof; klassizistisches Wohnhaus, bezeichnet 1858, Kellereingang aus dem 16. oder 17. Jahrhundert; Bruchstein-Wirtschaftsgebäude, 19. Jahrhundert",49.925486,6.999852
(bei) Kirchweg 5,Maring-Noviand,"Laufbrunnen; Rotsandstein, wohl aus der Mitte des 19. Jahrhunderts",49.925608,7.000436
Kirchweg 5,Maring-Noviand,"Bürgerhaus, ehemalige Schule; klassizistischer Putzbau, zweite Hälfte des 19. Jahrhunderts",49.925608,7.000436
"Kirchweg 11, Winzergasse 4",Maring-Noviand,"Wohnhaus/Hofanlage; kleine barocke Dreiflügelanlage, Mansarddächer, im Kern älter",49.925295,7.001505
Liesertalstraße,Maring-Noviand,"Pumpbrunnen; Rotsandstein, wohl aus der zweiten Hälfte des 19. Jahrhunderts",49.925022,7.000841
Liesertalstraße 1,Maring-Noviand,"Eckwohnhaus; Mansarddachbau, teilweise Fachwerk, bezeichnet 17[34]",49.925017,7.001927
Liesertalstraße 17/19,Maring-Noviand,"Doppelhaus; Krüppelwalmdachbau, bezeichnet 1663 und 1664, Bruchsteinscheune, teilweise Fachwerk; Gesamtanlage",49.924999,7.000948
Moselstraße 12,Maring-Noviand,"stattlicher Parallelhof; fünfachsiger Mansarddachbau, teilweise Fachwerk, um 1800, rückwärtig dreiachsiges Wohnhaus, Stallscheune, 19. Jahrhundert",49.925817,7.002125
Moselstraße 14,Maring-Noviand,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.925289,7.00235
(bei) Moselstraße 47,Maring-Noviand,"Wegekreuz; barockes Schaftkreuz, bezeichnet 1750, Abschlusskreuz um 1900",49.923085,7.004308
Mühlenweg 6,Maring-Noviand,Hofanlage,49.92105,7.003634
(bei) Mühlenweg 6,Maring-Noviand,"ehemalige Ölmühle; kleiner Putzbau, wohl aus dem 19. Jahrhundert",49.92105,7.003634
(an) Winzergasse 11,Maring-Noviand,"Türeinfassung sowie gekuppelte Fenstereinfassung, Mischformen aus Spätgotik und Renaissance, bezeichnet 1670",49.925307,7.001586
Wittlicher Straße 2,Maring-Noviand,"Quereinhaus; repräsentativer Schieferbau mit Fachwerkkniestock, bezeichnet 1908",49.927835,6.998505
nördlich der Ortslage an einem Weinbergsweg,Maring-Noviand,"Schmerzensmann und Säule mit arma Christi; Sandstein, um 1700",49.931135,6.987006
nördlich der Ortslage an der Straße zum Siebenborn,Maring-Noviand,"sogenannter Kleiner Herrgott; Sandsteinkruzifix, wohl aus der ersten Hälfte des 17. Jahrhunderts",52.866262,14.057547
südwestlich der Ortslage nahe der L 47,Maring-Noviand,"Wegekreuz; barockes Schaftkreuz, bezeichnet 1712","",""
unmittelbar nördlich der Ortslage an einem Weinbergsweg,Maring-Noviand,"Heiligenhäuschen; segmentbogig geschlossener Mauerblock, Sandsteinrelief, angeblich ursprünglich bezeichnet 1765",49.931135,6.987006
"unmittelbar nördlich der Ortslage an einem Weinbersweg, etwas nördlich des oben genannten Heiligenhäuschens",Maring-Noviand,"Heiligenhäuschen; segmentbogig geschlossener Mauerblock, 18. oder 19. Jahrhundert","",""
"Brunnenstraße, Ecke Lambertusstraße",Maring-Noviand,"Kreuzigungsbildstock, barock, bezeichnet 1783",49.927041,6.984644
Brunnenstraße 30,Maring-Noviand,"ehemalige Schule (?); stattlicher Bruchsteinbau, Ende des 19. Jahrhunderts",49.929488,6.987006
Brunnenstraße 37,Maring-Noviand,"stattliches klassizistisches Quereinhaus, bezeichnet 1855, altes Hofpflaster",49.928954,6.986746
Brunnenstraße 39,Maring-Noviand,"Katholische Pfarrkirche St. Lambert; Langhaus 1753–56, Architekt Johannes Seiz, Chorschluss 1783, Turm 1790, 1965/66 um Querhaus erweitert; Privatfriedhof, um 1865, im 20. Jahrhundert erweitert",49.928525,6.986854
Brunnenstraße 42,Maring-Noviand,"Pfarrhaus; stattlicher barocker Mansarddachbau, 1765, Zierfachwerk wohl aus dem frühen 20. Jahrhundert",49.928299,6.986476
(bei) Brunnenstraße 69,Maring-Noviand,"Heiligenhäuschen; rund geschlossener Mauerblock, Abschlusskreuz, 18. oder 19. Jahrhundert",49.923816,6.981599
Lambertusstraße 6,Maring-Noviand,"kleines Wohnhaus; teilweise Fachwerk, bezeichnet 1730",49.930288,6.986521
nördlich der Ortslage,Maring-Noviand,"Klosterhof Siebenborn; ehemalige Propstei der Abtei Himmerod, 16. Jahrhundert, Umbau 1721: Südflügel mit ehemaliger Kapelle sowie zweischiffiger Keller, wohl aus dem 16. Jahrhundert; Mühle (Nr. 3, eventuell auch 2), dreiseitig um einen Hof gruppierte Gebäude: Krüppelwalmdachbau, wohl aus der ersten Hälfte des 19. Jahrhunderts, Radkammer, Kniestockbau, stattliches Wirtschaftsgebäude, 18. oder 19. Jahrhundert",49.931135,6.987006
nordöstlich des Klosterhofs Siebenborn an der Straße nach Maring,Maring-Noviand,"Wegekapelle; Krüppelwalmdachbau, bezeichnet 1746; Kruzifix, Anfang des 16. Jahrhunderts","",""
südöstlich der Ortslage an der K 86,Maring-Noviand,"Heiligenhäuschen; rund geschlossener Mauerblock; Sandsteinrelief, 18. Jahrhundert","",""
