"Denkmalzone Bahnhofstraße 110, 112, 114 und 116",Morbach,"Gruppe aus drei ähnlich gestalteten Mehrfamilienhäusern unweit des Bahnhofs (Nr. 116), wohl Wohnungen für Bahnbedienstete, Putzbauten auf Bruchsteinerdgeschoss mit Krüppelwalmdach, frühes 20. Jahrhundert","",""
Bahnhofstraße 104,Morbach,"freistehender Mansardwalmdachbau, Bruchstein, bezeichnet 1914",49.806528,7.131932
Bahnhofstraße 116,Morbach,"ehemaliger Bahnhof; Typenbau, Krüppelwalmdach, Fachwerk-Güterschuppen, Anfang des 20. Jahrhunderts",49.806528,7.131932
Birkenfelder Straße 1,Morbach,"Katholische Pfarrkirche St. Anna; klassizistischer Saalbau, 1830–34, 1935 mit Querhaus und Chor erweitert, neuromanischer Bruchsteinturm, 1869; Kriegerdenkmal 1914/18, nach 1945 erweitert",49.810248,7.120334
Birkenfelder Straße 32,Morbach,"Wohn- und Geschäftshaus, ehemals wohl Quereinhaus; achtachsiger Putzbau, teilweise noch in barocken Formen, bezeichnet 1816, links drei Achsen überformt, wohl in der zweiten Hälfte des 19. Jahrhunderts oder später, rückwärtig teilweis Fachwerk",49.808865,7.120649
Hochwaldstraße 5,Morbach,"Forstamt; repräsentativer villenartiger Putzbau, spätes 19. Jahrhundert",49.806528,7.131932
(bei) Reitergasse 15,Morbach,"barockes Pietàrelief, Rotsandstein",49.808905,7.117469
Schmausemühle 2,Morbach,"sogenannte Schmausemühle, ehemalige Ölmühle; kleiner Putzbau, kleine Fachwerkscheune, 18. oder 19. Jahrhundert",49.800039,7.125221
Unterer Markt 1,Morbach,"Gasthaus; repräsentativer zweieinhalbgeschossiger Putzbau, teilweise Fachwerk, um 1905/10",49.810452,7.121754
Paulinusstraße 21,Morbach,"Katholische Pfarrkirche St. Paulinus; dreiachsiger Saalbau, 1766–69, Architekten Johannes Seiz und Andreas Seiz; Sockelkreuz, bezeichnet 1840; Pfarrhaus (Paulinusstraße 19): Mansarddachbau, 1760; neugotisches Friedhofskreuz, bezeichnet 1878",49.820926,7.148658
westlich der Ortslage an der Straße nach Wenigerath,Morbach,"Wegekreuz; Balkenkreuz, Rotsandstein, wohl noch aus dem 18. Jahrhundert",49.445299,11.009716
Kirchstraße,Morbach,"Katholische Pfarrkirche St. Antonius und St. Valerius; neugotischer Schieferbruchsteinsaal, 1881",49.857679,7.116193
Zum Fallgarten 2,Morbach,"Katholische Filialkirche St. Antonius Eremita; Westturm aus dem 16. Jahrhundert, Südwand der Kirche des 18. Jahrhunderts einbezogen in den Neubau, 1956; Kriegerdenkmal 1914/18 in der Tradition barocker Kreuzigungsbildstöcke",49.791386,7.094346
Kunibertstraße 1,Morbach,"Katholische Pfarrkirche St. Kunibert; barockisierender Saalbau, 1925/26, Architekten Becker und Falkowksi, Mainz; neugotisches Friedhofskreuz, bezeichnet 1857",49.812899,7.036818
Petrusstraße 11,Morbach,"ehemalige Schule; klassizistischer Krüppelwalmdachbau, Reformarchitektur, bezeichnet 1853 (oder 1833?)",49.830085,7.085597
Petrusstraße 22,Morbach,"Katholische Filialkirche St. Peter; romanischer Westturm, spätgotischer Chor, Schiff aus dem 16. Jahrhundert, Sakristei 1670, Turmvorhalle 1722; Gesamtanlage mit Kirchhof mit Bruchsteinmauer und zwei mehrhundertjährigen Linden",49.830654,7.083827
Petrusstraße 39,Morbach,"ehemalige Schule, Putzbau, teilweise verschiefert, Reformarchitektur, bezeichnet 1928",49.831119,7.081554
"Belginumstraße, auf dem Friedhof",Morbach,"Friedhofskreuz, spätklassizistisch, bezeichnet 1868",49.846562,7.181483
Belginumstraße 20,Morbach,"Quereinhaus, um 1900",49.847398,7.179147
Hochscheider Gasse 1,Morbach,"Alte katholische Kirche St. Johann Baptist; kleiner Saalbau, 1669",49.848037,7.178896
Zum Dickesloch 1,Morbach,"ehemaliger Bahnhof; Typenbau, Bruchstein, Schiefer und Fachwerk, Anfang des 20. Jahrhunderts",49.844796,7.185507
nordwestlich der Ortslage an der Hunsrückhöhenstraße,Morbach,"sogenannter Stumpfer Turm; runder Wartturm, erstes Viertel des 14. Jahrhunderts",49.808557,7.121403
Bahnhofsweg 3,Morbach,"ehemaliger Bahnhof; Typenbau, kleiner Fachwerkanbau, Fachwerk-Güterschuppen, um 1910",49.774867,7.100113
Unterm Klopp 1,Morbach,"Katholische Kapelle Heilige Walburgis; zweiachsiger Saalbau, 1770",49.777194,7.099017
Balduinstraße 26,Morbach,"Katholische Filialkirche St. Rochus; neugotischer Saalbau, bezeichnet 1892; Kriegerdenkmal 1914/18, Soldat",49.834077,7.15174
östlich der Ortslage am Ufer der Dhron,Morbach,"Burg Baldenau; kurz nach 1324, seit 1689 Ruine: runder Bergfried, Reste der Schildmauer und eines runden Treppenturms",48.730297,8.295717
Hunolstein 68,Morbach,"Katholische Filialkirche St. Johann Baptist (bis 2009 Pfarrkirche); neugotischer Bruchsteinsaal, 1907",49.79926,7.049978
südlich der Ortslage an der Straße nach Odert,Morbach,"Wegekapelle; Putzbau, 18. Jahrhundert",51.9335,12.225388
westlich der Ortslage an der Dhron,Morbach,"Schülersmühle; mehrteilige heterogene Anlage, 18. und 19. Jahrhundert",49.808557,7.121403
(bei) An Himbrichweg 1,Morbach,"Kreuzigungsgruppe, 18. oder 19. Jahrhundert, im Unterbau Pietà-Relief, bezeichnet 1755","",""
St.-Georg-Weg 1,Morbach,"Quereinhaus, wohl aus dem fortgeschrittenen 19. Jahrhundert",68.805989,16.543392
St.-Georg-Weg 11,Morbach,"Katholische Pfarrkirche St. Georg; klassizistischer Saalbau, 1826/27, im 20. Jahrhundert erweitert; Friedhofskreuz: barocker Kreuzigungsbildstock, bezeichnet 1760",54.965636,9.924929
Laurentiusstraße 41,Morbach,"Katholische Pfarrkirche St. Laurentius; fünfachsiger Bruchsteinsaal, 1830, Chor 1841",49.77332,7.08751
Blasiusstraße 28,Morbach,"Katholische Kapelle St. Blasius; zweiachsiger Saalbau, 18. Jahrhundert",49.788606,7.072355
Gesamtanlage aus zwei Wegekapellen,Morbach,"
Putzbau mit Fachwerkgiebel, bezeichnet 1741, innen Kruzifix, 17. Jahrhundert;
Putzbau mit Zeltdach, wohl spätes 19. Jahrhundert, bauzeitliche (?) Ausmalung; Kriegerdenkmal 1914/18

",49.808557,7.121403
(bei) Am Dhronbach 17,Morbach,"Straßenbrücke, zweibogig, 19. Jahrhundert",49.815346,7.099008
Wendalinusgasse 1,Morbach,"Katholische Pfarrkirche St. Wendelin; Saalbau, 1765",49.815497,7.099269
Keltenstraße 1,Morbach,"Katholische Filialkirche Kreuzauffindung (ehem. Pfarrkirche); Saalbau, 1766, wohl nach 1945 verlängert",49.86229,7.162286
Keltenstraße 50,Morbach,"ehemalige Mühle; eineinhalbgeschossiger Putzbau, zweite Hälfte des 19. Jahrhunderts",49.865878,7.164307
Weiperath 78/79,Morbach,"ehemalige Schule; eingeschossiger klassizistischer Putzbau, wohl aus der ersten Hälfte des 19. Jahrhunderts, Anfang des 20. Jahrhunderts erweitert",49.805237,7.071125
Weiperath 88,Morbach,"Fachwerkhaus, teilweise massiv, eventuell noch aus dem 17. Jahrhundert",49.805958,7.072634
nördlich der Ortslage am alten Weg nach Merscheid,Morbach,"sogenanntes Lexen-Kreuz; barockes Schaftkreuz, bezeichnet 1711",52.866262,14.057547
südlich der Ortslage,Morbach,"Wegekapelle; Putzbau, 1866/67; innen Teil eines barocken Sandsteinreliefs",49.808557,7.121403
Walholzkirche,Morbach,"Saalbau, 1760, mittelalterlicher Ostturm; Gesamtanlage mit Kirchhof mit Umfassungsmauer und Baumbestand sowie neugotischem Kirchhofskreuz",49.808557,7.121403
Dionysiusweg 2,Morbach,"Katholische Filialkirche St. Dionysius; Putzbau, bezeichnet 1747",49.827865,7.136342
südöstlich der Ortslage an einem Seitenbach der Dhron,Morbach,"ehemalige Mühle; Fachwerkhaus, teilweise massiv oder verschiefert, 19. Jahrhundert",49.808557,7.121403
Von-Gesner-Straße 25,Morbach,"Katholische Kapelle St. Valentin; zweiachsiger Saalbau, 1770",49.777788,7.082614
"





Morbach, Birkenfelder Straße 1",Morbach,"Katholische Pfarrkirche St. Anna


",49.810248,7.120334
"





Bischofsdrhon, Paulinusstraße 19",Morbach,"Pfarrhaus


","",""
"





Bischofsdrhon, Paulinusstraße 21",Morbach,"Katholische Pfarrkirche St. Paulinus


","",""
"





Hundheim, östlich der Ortslage am Ufer der Dhron",Morbach,"Burg Baldenau


",49.835919,7.1528
"





Hunolstein",Morbach,"ehemaliges Schloss Hunolstein


",49.797847,7.048307
"





Hunolstein, Hunolstein 68",Morbach,"Katholische Filialkirche St. Johann Baptist


",49.79926,7.049978
"





Rapperath",Morbach,"zwei Wegekapellen


",49.81444,7.100545
"





Rapperath, Wendalinusgasse 1",Morbach,"Katholische Pfarrkirche St. Wendelin


",49.815497,7.099269
"
 Commons",Morbach,"Kulturdenkmäler in Morbach – Sammlung von Bildern, Videos und Audiodateien
",54.084368,-7.423354
