Denkmalzone Ortskern,Mülheim an der Mosel,historische Bausubstanz vorwiegend des 18. und 19. Jahrhunderts,"",""
Gartenstraße 7,Mülheim an der Mosel,"Fachwerkhaus, teilweise massiv",47.242215,8.181227
Hauptstraße 6,Mülheim an der Mosel,"Weingut Josef Hain; langgestreckter späthistoristischer Wohn- und Verwaltungsbau, Reformarchitektur-Einfluss, Anfang des 20. Jahrhunderts",47.539495,8.821717
Hauptstraße 8/10,Mülheim an der Mosel,"ehemaliges kurpfälzisches Amtshaus; neunachsiger Barockbau, 1785/86",47.539507,8.821914
Hauptstraße 10,Mülheim an der Mosel,"Katholische Kirche St. Maria; Saalbau, 1772/73; Kriegerdenkmal 1914/18, Obelisk mit Adler",47.539525,8.822049
Hauptstraße 14,Mülheim an der Mosel,"stattliches Fachwerk-Quereinhaus, teilweise massiv, Mansarddach, 18. Jahrhundert",47.087746,7.423444
Hauptstraße 17,Mülheim an der Mosel,"stattliches Fachwerkhaus, teilweise massiv, verputzt, zweite Hälfte des 18. oder 19. Jahrhundert, im Kern wohl älter",47.539847,8.82098
Hauptstraße 21,Mülheim an der Mosel,"Fachwerkhaus, teilweise massiv oder verputzt, 17. Jahrhundert",47.544914,8.841192
Hauptstraße 25,Mülheim an der Mosel,"Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert",47.53986,8.821788
Hauptstraße 37,Mülheim an der Mosel,"Weingut Richter; stattlicher barocker Mansarddachbau, 1774",47.540188,8.823001
Hauptstraße 64,Mülheim an der Mosel,"Eckwohnhaus, ehemaliger Adelshof; stattlicher Krüppelwalmdachbau, heutiges Erscheinungsbild barock, im Kern sicher älter, unter anderem bezeichnet 1576",47.547554,8.846393
Hauptstraße 81/83,Mülheim an der Mosel,"Richtershof, vormals Weingut Artur Richter; Nr. 81 Mansarddachbau, bezeichnet 1809; langgestrecktes Bruchstein-Rückgebäude, 19. Jahrhundert; Nr. 83 (Kellerei), Bruchstein, spätes 19. Jahrhundert, mit neugotischem jüngerem Teil, um 1900",47.863284,16.377572
Hauptstraße 85,Mülheim an der Mosel,"Weingut Max Ferdinand Richter; langgestreckter, vielteilig gegliederter Bruchstein-Baukomplex, um 1900; vorgelagert als niedriger Sockel aus dem Terrain ragende Keller",47.863006,16.377644
(an) Kirchstraße 2,Mülheim an der Mosel,"barocke Haustür, zweite Hälfte des 18. Jahrhunderts",53.139677,7.619717
Kirchstraße 5,Mülheim an der Mosel,"stattliches Fachwerkhaus, teilweise massiv, 18. Jahrhundert",51.697639,6.171974
Kirchstraße 7,Mülheim an der Mosel,"Evangelische Pfarrkirche; Saalbau, 1669–75, Turm 13. aus dem Jahrhundert; am Westrand des Kirchhofs Familiengrabfelder, 19. und frühes 20. Jahrhundert",51.697817,6.172046
Kirchstraße 9,Mülheim an der Mosel,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",53.138375,7.619115
Kirchstraße 15,Mülheim an der Mosel,"Pfarrhaus (?); Krüppelwalmdachbau, bezeichnet 1784",53.079746,7.395075
Veldenzer Straße 2,Mülheim an der Mosel,"Hofanlage; Mansarddachbau, teilweise Fachwerk, bezeichnet 1768, Fachwerkscheune",49.860298,7.044274
Veldenzer Straße 12,Mülheim an der Mosel,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.860298,7.044274
Veldenzer Straße 22,Mülheim an der Mosel,"Wohnhaus; eingeschossiger Mansarddachbau, wohl vom Ende des 18. Jahrhunderts oder um 1800",49.860298,7.044274
südöstlich oberhalb der Ortslage,Mülheim an der Mosel,"Weinbergshäuschen; kleiner Bruchsteinbau, teilweise Fachwerk, Haubendach, wohl aus dem 18. Jahrhundert","",""
südöstlich oberhalb der Ortslage an der L 158,Mülheim an der Mosel,"Weinbergshaus Elisenberg; eineinhalbgeschossiger klassizistischer Walmdachbau, bezeichnet 1823","",""
