Im Hüttenberg,Niersbach,"Schaftkreuz, klassizistisch, bezeichnet 1852",49.939409,6.743976
Im Hüttenberg 6,Niersbach,"Streckhof, 19. Jahrhundert, altes Hofpflaster",49.939565,6.744057
(bei) Im Hüttenberg 14,Niersbach,"ehemaliger Krugbackofen, wohl aus dem 19. Jahrhundert",49.940058,6.743401
Im Spanischen,Niersbach,"Wegekreuz; nachbarockes Schaftkreuz, bezeichnet 1815",49.942841,6.738874
Köhlerstraße 6,Niersbach,"Quereinhaus, erste Hälfte des 19. Jahrhunderts",49.937919,6.743841
Töpferstraße 11,Niersbach,"Katholische Filialkirche St. Bernhard; zweiachsiger Saalbau, bezeichnet 1808; barockes Schaftkreuz, Rotsandstein, bezeichnet 1793",49.940817,6.741317
Töpferstraße 29,Niersbach,"Quereinhaus, bezeichnet 1815, altes Hofpflaster",49.939965,6.74253
Töpferstraße 41,Niersbach,Wohnhaus mit barockem Eingang,49.939559,6.743294
(zu) Töpferstraße 43,Niersbach,"ehemaliger Krugbackofen, wohl aus dem 19. Jahrhundert",49.939397,6.743464
in Wenzelhausen westlich der Ortslage am Dörbach,Niersbach,"Kreuzigungsbildstock; barock, Rotsandstein, bezeichnet 1780","",""
in Wenzelhausen westlich der Ortslage am Dörbach,Niersbach,"Quereinhaus; Krüppelwalmdachbau, bezeichnet 18(??)","",""
nördlich der Ortslage an der Straße nach Arenrath,Niersbach,"Wegekreuz; Schaftkreuz, Rotsandstein, bezeichnet 1838",52.866262,14.057547
südlich der Ortslage,Niersbach,"Wegekreuz; Schaftkreuz, Rotsandstein, bezeichnet 1661",49.942348,6.74041
(bei) Hubertusstraße 5,Niersbach,"sogenanntes Franzosenkreuz; Schaftkreuz, Rotsandstein, bezeichnet 1815",49.931175,6.747749
Hubertusstraße 9,Niersbach,"Katholische Filialkirche St. Laurentius; kleiner Bruchsteinsaal, 1860",49.930856,6.747417
(bei) Lindenstraße 14,Niersbach,"Wegekreuz; Vollnischenkreuz mit Pietàrelief, angeblich ehemals bezeichnet 1701",49.928798,6.749186
nördlich der Ortslage gegenüber dem Eingang zum Friedhof,Niersbach,"Wegekreuz; barockes Schaftkreuz, Rotsandstein, bezeichnet 1779",52.866262,14.057547
südlich der Ortslage am Gladbach im Wald,Niersbach,"Wegekreuz; Pfeilerkreuz, bezeichnet 1840",51.9335,12.225388
südlich der Ortslage am Wasserhochbehälter,Niersbach,"Wegekreuz; barock, Sefferner Typ, Rotsandstein, bezeichnet 1760",51.9335,12.225388
südöstlich der Ortslage am Sauerberg im Wald,Niersbach,"Wegekreuz; barockes Schaftkreuz, 18. Jahrhundert",48.034944,10.504477
südöstlich der Ortslage an der Straße nach Heidweiler im Tal des Gladbachs,Niersbach,"Wegekreuz; nachgotisches Nischenkreuz, 16. oder 17. Jahrhundert, (nachträglich) bezeichnet 1866",48.034944,10.504477
südöstlich der Ortslage an der Straße nach Heidweiler im Tal des Gladbachs,Niersbach,"Wegekreuz; Schaftkreuz, bezeichnet 1814",48.034944,10.504477
