Hofstraße 2,Osann-Monzel,"Massivbau, Fachwerkgiebel, 17. oder 18. Jahrhundert",49.90877,6.954766
Hofstraße 9–11,Osann-Monzel,"ehemaliges Haus Eschermann; Nr. 9 barockes Fachwerkhaus, teilweise massiv, bezeichnet 1713, Wirtschaftsgebäude, teilweise Fachwerk; Nr. 11 Mansarddachbau",49.908625,6.954973
Moselstraße 2,Osann-Monzel,"Katholische Pfarrkirche St. Nikolaus; vierachsiger Saalbau, 1784; barocke Kreuzwegstation, 18. Jahrhundert; Kreuzigungsgruppe, 18. Jahrhundert (?)",49.907749,6.957057
Moselstraße 4,Osann-Monzel,Krüppelwalmdachbau,49.907998,6.95703
Moselstraße 6,Osann-Monzel,"Quereinhaus, bezeichnet 1884",49.908607,6.956634
Moselstraße 18,Osann-Monzel,"Quereinhaus, bezeichnet 1815 (?)",49.90935,6.956158
Moselstraße 19,Osann-Monzel,"Quereinhaus, bezeichnet 1845",49.909396,6.955772
Moselstraße 56,Osann-Monzel,"ehemaliges Bürgermeisteramt; ein- bis eineinhalbgeschossiger Mansarddachbau, Reformarchitektur, um 1920",49.911937,6.954478
Novianderweg 12,Osann-Monzel,"repräsentatives Bruchstein-Quereinhaus, bezeichnet 1907",49.90859,6.958242
östlich der Ortslage im Weinberg,Osann-Monzel,"Heiligenhäuschen; barocke Kreuzwegstation, 18. Jahrhundert",49.920586,6.957398
südlich der Ortslage an der Straße nach Kesten,Osann-Monzel,"Wasserhochbehälter; Bruchsteinbau, historisierende Burgenarchitektur, um 1900",51.9335,12.225388
"Bernkasteler Straße, auf dem Friedhof",Osann-Monzel,"Friedhofskreuz, bezeichnet 1854",49.920736,6.957398
Bernkasteler Straße,Osann-Monzel,Kriegerdenkmal 1914/18; kleiner Rundtempel,49.920736,6.957398
Bernkasteler Straße 8,Osann-Monzel,"Hofanlage (Weingut ?); Schieferbau, Fachwerkgiebel, originale Farbverglasung, bezeichnet 1908; Schiefer-Stallscheune",49.923167,6.94943
Bernkasteler Straße 10,Osann-Monzel,"Schule; Walmdachbau, Mittelrisalit, Reformarchitektur, bezeichnet 1920",49.922975,6.949753
Bernkasteler Straße 47,Osann-Monzel,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.922099,6.951864
Bernkasteler Straße 52,Osann-Monzel,"katholisches Pfarrhaus; Krüppelwalmdachbau, bezeichnet 1789; Gesamtanlage mit Wirtschafts- und Remisengebäude, weiteres Nebengebäude, Torbogen bezeichnet 1772",49.921305,6.952296
Moseltalstraße 6 und 8,Osann-Monzel,"zwei Fachwerkhäuser, teilweise massiv, Nr. 8 bezeichnet 1700, Nr. 6 aus dem 17. oder 18. Jahrhundert",49.921026,6.952754
Moseltalstraße 10,Osann-Monzel,"Katholische Pfarrkirche St. Peter; vierachsiger Saalbau, 1765–72; barocker Kreuzigungsbildstock, bezeichnet 1730",49.920847,6.952727
Moseltalstraße 12,Osann-Monzel,"repräsentativer Schieferbau, Skulpturennische, um 1900",49.920707,6.952709
Moseltalstraße 27,Osann-Monzel,"vierachsiges Wohnhaus, bezeichnet 1867",49.920145,6.952511
(bei) Moseltalstraße 36,Osann-Monzel,"ehemaliges Spritzenhaus (?); eingeschossiger Schieferbau, um 1900",49.919089,6.951855
Nikolausstraße 1,Osann-Monzel,ehemaliges Quereinhaus; wohl aus der Mitte des 19. Jahrhunderts,49.920528,6.952951
(gegenüber) Wittlicher Straße 36,Osann-Monzel,"Schaftkreuz, Rotsandstein, bezeichnet 1719",49.924999,6.947687
