Denkmalzone Ortskern,Piesport,"kleiner, moselparallel ausgerichteter Ortskern mit Bausubstanz des 16. bis 19. Jahrhunderts",49.886499,6.916938
Am Domhof 5,Piesport,"ehemaliges Pfarrhaus; ein- bis zweigeschossiger Bau, rückwärtig Mansarddach, heutiges Erscheinungsbild aus dem 18. Jahrhundert, im Kern älter (bezeichnet 1660)",49.886296,6.91648
Am Domhof 6,Piesport,"Wohn- und Gasthaus; Mansarddachbau, Mischformen aus Neugotik und Reformarchitektur, bezeichnet 1921",49.88629,6.91639
Am Domhof 9,Piesport,"Wohnhaus, ehemaliger Hof des Trierer Domkapitels; dreigeschossiger Massivbau, bezeichnet 1721",49.886255,6.916075
(an) Ausoniusufer 3,Piesport,"zwei Gruppen gekuppelter, spätgotischer Rechteckfenster, wohl aus dem 16. Jahrhundert",49.886139,6.915267
Ausoniusufer 5,Piesport,"Wohnhaus; stattlicher Massivbau, verschieferter Fachwerkgiebel, bezeichnet 1776",49.886104,6.915033
Ausoniusufer 6 und 7,Piesport,"sogenannter Klausenhof, mehrteiliger Baukomplex; siebenachsiger Mansarddachbau, bezeichnet 1806; älteres Wohnhaus, bezeichnet 1613, teilweise unter Krüppelwalmdach, heutiges Erscheinungsbild aus dem 19. Jahrhundert, im Kern wohl älter; im ersten Obergeschoss Verbindungsgang; im Hof ein in den Hang gebauter Keller, 18. oder 19. Jahrhundert",49.886127,6.914557
(bei) Ausoniusufer 23,Piesport,"Kreuzigungsgruppe, Pfeiler bezeichnet 1612, Skulpturen wohl jünger",49.885768,6.911871
Bachstraße,Piesport,"Wegekreuz; Schaft und Kragbalken eines Kreuzigungsbildstocks, wohl aus dem 17. Jahrhundert",49.886969,6.916183
(bei) Im Landkapitel 4,Piesport,"Kreuzigungsbildstock, barock, bezeichnet 171(?)8",49.886719,6.916749
Im Landkapitel 10,Piesport,"stattlicher Mansarddachbau, teilweise Fachwerk, 18. Jahrhundert, im Kern eventuell älter",49.886679,6.916489
St. Michaelstraße 2,Piesport,"Katholische Pfarrkirche St. Michael; ländliche Rokokokirche, 1766/67, Architekt P. Miller, Tirol; neugotische Friedhofskapelle, um 1850; Relief einer Kreuzwegstation und Kreuzigungsbildstock, 17. oder 18. Jahrhundert","",""
St. Michaelstraße 4,Piesport,"Eckwohnhaus; Massivbau, verschieferter Fachwerkgiebel, kleiner Wirtschaftsteil, 18. Jahrhundert, im 19. Jahrhundert überformt","",""
