Im Haag 2,Starkenburg (Mosel),"Mansarddachbau, 19. Jahrhundert",49.959169,7.138894
Im Haag 3,Starkenburg (Mosel),"Fachwerkhaus, teilweise massiv und verputzt, 18. Jahrhundert (?)",49.959117,7.138822
Lorettastraße 7,Starkenburg (Mosel),"Fachwerk-Quereinhaus, teilweise massiv, zweite Hälfte des 19. Jahrhunderts",49.956938,7.139208
Lorettastraße 17,Starkenburg (Mosel),"Fachwerk-Quereinhaus, teilweise massiv, bezeichnet 1875, Fachwerkstall",49.956005,7.140088
Schloßstraße,Starkenburg (Mosel),Ruine Starkenburg; Reste der mindestens ins 12. Jahrhundert zurückgehenden Burganlage; sogenannter Zollturm,49.956149,7.140232
(zwischen) Schloßstraße 7 und 14,Starkenburg (Mosel),Ortsbefestigung; Reste der ehemals mit der Burg verbundenen Ummauerung,49.95852,7.138597
Schloßstraße 16,Starkenburg (Mosel),"Evangelische Kirche; kleiner Saalbau, 1764",49.958375,7.138624
Schloßstraße 17,Starkenburg (Mosel),"dreiachsiges Zeilenwohnhaus, bezeichnet 1893, im Kern eventuell älter",49.958305,7.138777
(gegenüber) Sponheimer Straße 3,Starkenburg (Mosel),"ehemaliges Backhaus; Bruchsteinbau, wohl aus der zweiten Hälfte des 19. Jahrhunderts; Bruchstein-Brunnenhaus, 1867",49.955784,7.1399
(gegenüber) Sponheimer Straße 3,Starkenburg (Mosel),"ehemaliges Spritzenhaus; Bruchsteinbau, 1857; gotisierendes Wegekreuz, um 1900",49.955784,7.1399
(gegenüber) Sponheimer Straße 7,Starkenburg (Mosel),"ehemaliges sogenanntes Oberes Backhaus; Bruchsteinbau, 1858",49.955309,7.139936
