"Denkmalzone Hauptstraße 19, 23–28",Veldenz,"Rathaus, Gasthaus und Quereinhaus von 1804 in der Ortsmitte, drei Quereinhäuser, teilweise mit Fachwerk, des 18. und frühen 19. Jahrhunderts sowie zwei weitere Bauten kennzeichnen das Straßenbild, das in seinem Charakter eine Mittelstellung zwischen den Moselorten und denen des Hunsrücks einnimmt.","",""
Hauptstraße 1a,Veldenz,"Evangelische Pfarrkirche; neugotischer Schieferbruchstein-Zentralbau, 1884, Turm aus dem 13. Jahrhundert",49.89156,7.020837
Hauptstraße 6,Veldenz,"Fachwerk-Quereinhaus, angeblich von 1728, massives Erdgeschoss aus der ersten Hälfte des 19. Jahrhunderts",49.89073,7.021367
Hauptstraße 25,Veldenz,"Rathaus (ehemaliges Wohnhaus, später Schule); stattlicher Mansarddachbau, angeblich von 1735",49.889726,7.023289
Hauptstraße 27,Veldenz,"Gasthaus Zur Grafschaft (ehemaliges Zehnthaus der Grafen von Veldenz); heterogene Anlage, im Kern eventuell spätmittelalterlich, vom 17. bis 19. Jahrhundert mehrfach überformt",49.889558,7.023469
Hauptstraße 28,Veldenz,"ehemaliges Quereinhaus; Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1804",49.889465,7.023361
Hollandstraße 10,Veldenz,"Katholische Pfarrkirche Heiliger Name Marias; neugotischer Schieferbruchsteinsaal, 1884/85; Gesamtanlage mit Pfarrhaus: historisierender Bruchsteinbau, bezeichnet 1888",49.89073,7.024349
Hügelweg 2,Veldenz,"Fachwerkhaus, teilweise massiv, verputzt, 18. Jahrhundert",49.888716,7.024242
(oberhalb) Schloßstraße,Veldenz,"Schloss Veldenz; ausgedehnte Anlage mit Resten zweier durch Türme verstärkten Toranlagen sowie Wohngebäuden, 1107 bezeugt, 1680 zerstört",49.882587,7.037878
Schloßstraße 13,Veldenz,"Fachwerkhaus, teilweise massiv, 17. Jahrhundert",49.88474,7.035812
Weingartenstraße 1,Veldenz,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.88961,7.023963
Winzergasse 6,Veldenz,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.888797,7.023837
