Denkmalzone Ortskern,Ürzig,"historische Ortsmitte um Kirche, Rathausplatz und Schanzstraße und dort beginnende Straßen mit zahlreichen dreigeschossigen Fachwerkbauten um 1600",49.978568,7.004874
(gegenüber) Bergstraße 9,Ürzig,"ehemaliger Laufbrunnen, bezeichnet 1552, Brunnenstock in romanisch-gotischen Mischformen, um 1900",49.979575,7.005458
(gegenüber) Bergstraße 17,Ürzig,"Schaftkreuz, bezeichnet 1660",49.980549,7.005179
Brunnenstraße 8,Ürzig,"Fachwerkhaus, teilweise massiv, bezeichnet 1655",49.979205,7.006617
Horberichsweg,Ürzig,"Friedhofskapelle; kleiner Bruchsteinbau, angeblich von 1860",49.978568,7.004874
Moselufer 11,Ürzig,"siebenachsiger Krüppelwalmdachbau, bezeichnet 1828",49.977235,7.004164
(gegenüber) Moselufer 22,Ürzig,Kriegerdenkmal 1914/18,49.978116,7.00597
Moselufer 43,Ürzig,"Himmeroder Hof, Wohnhaus des Mönchshofs; dreigeschossiger neubarocker Massivbau, bezeichnet 1898, im Kern älter",49.98107,7.011198
(an) Rathausplatz 1,Ürzig,"vorgeblendete reiche Fachwerkfassade mit spätestgotisch profiliertem Eingang, bezeichnet 1601",49.978428,7.005125
Rathausplatz 6,Ürzig,"Fachwerkhaus, teilweise massiv, verputzt, bezeichnet 1596",49.978579,7.005368
Rathausplatz 7,Ürzig,"Rathaus; dreigeschossiger turmartiger Bau, Bruchstein und Zierfachwerk, bezeichnet 1904",49.978695,7.005458
Rathausplatz 8,Ürzig,"kleines Fachwerkhaus, teilweise massiv, bezeichnet 1564",49.97873,7.005512
Rathausplatz 10,Ürzig,"Gasthof Ürziger Ratskeller; stattliches dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1659",49.978707,7.005215
"Römerstraße, Ecke Bergstraße",Ürzig,"Hubertuskapelle; kleiner Putzbau, Giebelrelief, 1667",49.98308,7.004335
Schanzstraße 2,Ürzig,"stattlicher Walmdachbau, teilweise Fachwerk, ursprünglich wohl verputzt, Anfang des 18. Jahrhunderts (?)",49.978347,7.005772
Schanzstraße 4 (teilweise) und 6,Ürzig,"Fachwerkhaus, teilweise massiv, ehemaliges Hallenerdgeschoss, bezeichnet 1622 und 1823",49.978498,7.005539
St. Maternusstraße 5,Ürzig,"Katholische Pfarrkirche St. Maternus; neugotische Schieferbruchsteinhalle, 1866/67, Westturm 15. Jahrhundert; Kreuzigungsgruppe, bezeichnet 1618","",""
(zu) St. Maternusstraße 5,Ürzig,"Katholisches Pfarrhaus; Mansarddachbau, zweiarmige Freitreppe, bezeichnet 1782","",""
St. Maternusstraße 8,Ürzig,"dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1762, Zierfachwerk mit vier geschnitzten Fenstererkern, bezeichnet 1597","",""
St. Maternusstraße 9,Ürzig,"Fachwerkhaus, teilweise massiv, bezeichnet 1605","",""
Würzgartenstraße 1,Ürzig,"Gaststätte Alter Klosterhof; ehemaliger Hof des Klosters Springiersbach; stattlicher Mansarddachbau, bezeichnet 1717",49.978875,7.005646
Würzgartenstraße 6,Ürzig,"Massivbau, teilweise vorkragendes Fachwerk, verputzt und verschiefert, um 1600",49.979008,7.005763
Würzgartenstraße 11,Ürzig,"Weingut; Wohnhaus, Mitte des 19. Jahrhunderts, Mansardwalmdachbau, 18. Jahrhundert",49.979436,7.006185
Würzgartenstraße 12,Ürzig,"kleines Fachwerkhaus, teilweise massiv, bezeichnet 1597",49.979604,7.006392
Würzgartenstraße 41,Ürzig,"Weingut; späthistoristischer Bruchsteinbau, teilweise Fachwerk, bezeichnet 1898",49.980775,7.008997
"Bahnhof Ürzig 5, nördlich der Ortslage beim Bahnhof",Ürzig,"repräsentativer barockisierender Putzbau, originale Farbverglasung, um 1900/1910",49.996285,7.004272
"Bahnhof Ürzig 6, nördlich der Ortslage an der L 57",Ürzig,"Bahnhof Ürzig; Empfangsgebäude mit Putz-, Bruchstein- und Fachwerkflächen, um 1900/10, Güterschuppen, Backstein und Industriefachwerk",49.996719,7.005081
"nördlich der Ortslage, südwestlich des Bahnhofs",Ürzig,"Wegekreuz; Schaftkreuz, Basaltlava, bezeichnet 1649","",""
östlich der Ortslage oberhalb des Moselufers,Ürzig,"Burg zur Leyen; Ruine, Reste des 1332 genannten „neuen Turmes“ und des Mauerwerks sowie Wachtturm im Fels",49.978568,7.004874
südwestlich der Ortslage in den Weinbergen,Ürzig,"Wegekapelle; Putzbau; Sockelkreuz, Rotsandstein, bezeichnet 1853; Reste älterer Wegekreuze",49.978568,7.004874
westlich oberhalb der Ortslage im Wald,Ürzig,"Wegekreuz; Schaftkreuz, wohl aus dem 17. Jahrhundert",48.723159,8.29216
