"Denkmalzone ehemalige Hütte (Mühlenberg 1, 3, 3a, 5)",Abentheuer,"von Bruchsteinmauer umgebenes Gelände und Baulichkeiten der früheren Erzhütte

Nr. 1: ehemaliges Kleinwarenlager (1771)
Nr. 3: Herrenhaus; Mansarddachbau, Seitenrisalite (drittes Drittel des 18. Jahrhunderts)
Nr. 3a: Verwaltungs- und Gästehaus; Stall- und Remisengebäude (ab 1772)
Nr. 5: Wohn- und Produktionsbau
Reste des eisernen oberschlächtigen Wasserrads (zweite Hälfte des 19. Jahrhunderts)
gusseiserne Brücke (um 1800)
Reste des Hochofens (Anfang des 19. Jahrhunderts)
Lauf des Traunbachs, Weiher, Landschaftsgarten

",49.649517,7.101892
Nr. 1,Abentheuer,ehemaliges Kleinwarenlager (1771),49.649517,7.101892
Nr. 3,Abentheuer,"Herrenhaus; Mansarddachbau, Seitenrisalite (drittes Drittel des 18. Jahrhunderts)",49.649517,7.101892
Nr. 3a,Abentheuer,Verwaltungs- und Gästehaus; Stall- und Remisengebäude (ab 1772),49.649517,7.101892
Nr. 5,Abentheuer,Wohn- und Produktionsbau,49.649517,7.101892
Böckingstraße 11,Abentheuer,"Landhaus auf unregelmäßigem Grundriss, teilweise holzverschindeltes Backsteinfachwerk, um 1900",49.651879,7.096313
Mühlenbergstraße 4,Abentheuer,"Krüppelwalmdachbau, teilweise Fachwerk, frühes 19. Jahrhundert",53.315697,11.698697
Mühlenbergstraße 20,Abentheuer,"eingeschossiger Mansardwalmdachbau, um 1800, Fachwerkscheune; ortsbildprägend",51.110839,7.644762
Hauptstraße,Achtelsbach,"Kriegerdenkmal; 1920er Jahre, Entwurf Johann Wettgen, Hermeskeil, unterhalb der evangelischen Kirche",49.625165,7.092603
Hauptstraße 24,Achtelsbach,"Quereinhaus, bezeichnet 1857, Fachwerkscheune",49.625696,7.084977
Hauptstraße 47,Achtelsbach,"Quereinhaus, stattliches Quereinhaus, Mitte des 19. Jahrhunderts; Überformung wohl um 1900, Backesanbau",49.625696,7.084977
Hohlstraße 1,Achtelsbach,"Evangelische Kirche (ehemals Pfarrkirche St. Ulrich); Saalbau, im Kern mittelalterlich, barocker Umbau 1738; im Turm Grabplatte, 1738",49.702046,7.328905
Neuhof 1,Achtelsbach,"ehemaliges Forsthaus Neuhof; Wohn- und Wirtschaftsgebäude, teilweise Fachwerk (weitgehend verschiefert), 1855, Ökonomie",49.648467,7.049197
Hauptstraße 8,Allenbach,"Forsthaus; kleiner Mansarddachbau, teilweise holz- oder schieferverkleidet, erstes Viertel des 20. Jahrhunderts",47.539507,8.821914
Hauptstraße 46,Allenbach,"stattliches Wohnhaus, teilweise verschiefert, Krüppelwalmdach, bezeichnet 1743",47.546709,8.844201
Hauptstraße 50,Allenbach,"Evangelische Kirche; Saalbau mit Dachreiter, 1780/81, Architekt Friedrich Gerhard Wahl, Zweibrücken; Ausstattung",47.482588,9.032946
Hauptstraße 62,Allenbach,"Unterstallhaus, teilweise verschiefert, um 1900",47.542128,8.835012
In der Hintergasse 4,Allenbach,"stattliches Wirtschaftsgebäude; dreischiffiger Stall, geräumige Scheune mit Klebedach, bezeichnet 1864",49.755124,7.163696
In der Schied 11,Allenbach,"Mühlenausstattung und Müllerwohnung, 19. Jahrhundert",49.754909,7.166562
In der Schied 12,Allenbach,"ehemaliges Sponheimisches Schloss; zwei- und dreigeschossiger Walmdachbau, im Kern spätmittelalterlich, mehrfach verändert, vor allem 1511 und von 1898 bis 1900, Architekten Wilhelm Müller und Franz Rummel, Frankfurt; ortsbildprägend",49.755287,7.16711
Denkmalzone Asbacherhütte (südlich des Ortes),Asbach (Hunsrück),"vom ehemaligen Werk zur Verhüttung und Weiterverarbeitung des Erzes (1721 bis 1872) zwei zu einer Zeile verbundene Wohn- und Verwaltungsgebäude, 18. Jahrhundert; daraus hervorgegangen Diakonieanstalt: Haus „Eben Ezer“ (Kopfbau mit abgewalmtem Mansarddach 1755, rückwärtiger Teil aus dem 18. Jahrhundert, im 19. Jahrhundert aufgestockt), Haus „Grüne Aue“ (villenartiger, asymmetrischer Bau, teilweise verputzt oder verschiefert, gegen 1907), Landschaftsgarten mit Einfriedung und Lauf des Asbaches, 19. Jahrhundert",49.289935,11.231304
"Hauptstraße, auf dem Friedhof",Asbach (Hunsrück),"Grabmal R. H. Böcking, reliefierte Sandsteinstele mit Akroterien, 1871 von E. Renard, Köln",50.708555,7.011791
(an) Hauptstraße 12,Asbach (Hunsrück),"Portal, bezeichnet 1878",50.712097,7.012357
Hauptstraße 14,Asbach (Hunsrück),"stattliches Wohnhaus, teilweise Fachwerk, teilweise verschiefert, Mansarddach, spätes 18. Jahrhundert; Ökonomie",50.711954,7.01242
Hauptstraße 21,Asbach (Hunsrück),"Glockenturm; Fachwerkbau, 1867; darin Mahlmühle, Saatputzmaschine, Obstkelter",50.711219,7.012528
In der Treib 1,Asbach (Hunsrück),"stattliches Wohnhaus, 1848",49.812277,7.278034
In der Treib 10,Asbach (Hunsrück),"Streckhof, nach 1873",49.812527,7.276839
"Ortsbefestigung; im 16. Jahrhundert angelegt, nur zwei Türme erhalten",Baumholder,"
Dicker Turm: vollrund, Bruchstein, teilweise rekonstruiert
Leichenpförtchen: quadratischer Torturm, Pyramidendach

","",""
Dicker Turm,Baumholder,"vollrund, Bruchstein, teilweise rekonstruiert",49.615156,7.340655
Leichenpförtchen,Baumholder,"quadratischer Torturm, Pyramidendach",49.615156,7.340655
(gegenüber) Badegasse 1,Baumholder,"sogenannte Schmiede Bier; kleiner Schmiedebau, wohl um 1840; technische Ausstattung",49.615547,7.338859
Hauptstraße 10,Baumholder,"ehemaliges Rathaus; siebenachsiger, dreigeschossiger klassizistischer Walmdachbau, 1840",49.615488,7.337861
Hauptstraße 16,Baumholder,"Quereinhaus, zwölfachsiges Quereinhaus, spätes 19. Jahrhundert",49.615226,7.338598
"Hinterm Turm, Ecke Hinter Haselweg",Baumholder,"Katholische Pfarrkirche St. Simon und Judas Thaddäus; neugotische Hallenkirche, 1882–85, Architekt P. Kontzen, Deggendorf/Bayern; Ausstattung",49.618395,7.33876
Kirchstraße 19,Baumholder,"Evangelische Pfarrkirche; barocker Saalbau, 1748–50, Architekt Friedrich Hartmann Koch, Kusel; Westturm spätgotisch",49.61665,7.340215
Korngasse 1,Baumholder,"Gasthaus Goldener Engel; dreigeschossiger Putzbau, teilweise verschiefert, Anfang des 20. Jahrhunderts; ortsbildprägend",49.616125,7.338418
Marktplatz,Baumholder,"sogenannter Wäschbach; fünfeckig gemauertes Becken, im Kern aus dem 19. Jahrhundert",49.61536,7.335786
nordöstlich der Stadt am Guthausbach,Baumholder,"Guthausmühle oder Edingers Mühle; 1750 bezeugt; Dreiseithof: Ökonomie, Mühlen-, Wohn- und seit 1890 Gasthaus vereint; Mahlmühle aus der zweiten Hälfte des 19. Jahrhunderts; Ausstattung","",""
Hauptstraße 55,Bergen (bei Kirn),"Quereinhaus, bezeichnet 1874, fünfachsiger Sandsteinwohntrakt mit Kniestock, Wirtschaftsteil, teilweise Fachwerk, wohl aus den 1850er Jahren; Stall, bezeichnet 1856",47.195578,16.266567
Hauptstraße 62a,Bergen (bei Kirn),"Evangelische Pfarrkirche; stark klassizistisch geprägter neugotischer Saalbau, 1860–62, Architekten L. Rhumbler, Alzey, und J. Lang, Kreuznach; in der Turmvorhalle Grabstein, 1686",47.196148,16.265409
Mühlenweg 3,Bergen (bei Kirn),"Quereinhaus mit Kniestock, Krüppelwalmdach, nach der Mitte des 19. Jahrhunderts",53.328208,9.870634
(neben) Hauptstraße 37,Berglangenbach,"kleiner Schmiedebau, wohl vom Anfang des 20. Jahrhunderts; Ausstattung",49.599265,7.251372
Kirchenweg,Berglangenbach,"Evangelische Kirche; historisierender Effusivsteinbau, teilweise verputzt, 1906/07, Architekt August Senz, Düsseldorf",49.599966,7.249476
"Denkmalzone Hauptstraße 24, 30, 40, 44",Berschweiler bei Baumholder,"späthistoristische villenartige Wohnhäuser, Anfang des 20. Jahrhunderts, die vom einstigen Mittelpunktscharakter des Dorfes zeugen","",""
(neben) Am Kirchpfad 1,Berschweiler bei Baumholder,"Keller- und Speicherhaus, Satteldachbau mit zwei parallelen Tonnengewölben, wohl noch aus dem 18. Jahrhundert",49.57764,7.292308
Hauptstraße 9,Berschweiler bei Baumholder,"Evangelische Pfarrkirche; Saalbau 1743, Westturm 1863/64; zwei Glocken, 14. Jahrhundert und 1499 von Meister Jörg zu Spier",49.577856,7.291284
Hauptstraße 34,Berschweiler bei Baumholder,"ehemaliges Pfarrhaus; vielgliedriger späthistoristischer Massivbau, 1901",49.577517,7.288813
Hauptstraße 40,Berschweiler bei Baumholder,"ehemalige Bürgermeisterei; villenartiger historisierender Putzbau, 1905",49.57719,7.288149
Hauptstraße 3,Berschweiler bei Kirn,"Evangelische Kirche; neugotischer Gelbsandsteinquaderbau, 1866–68, Architekt Scheepers, Simmern; Ausstattung",49.771254,7.392946
Hauptstraße 21,Berschweiler bei Kirn,"Dreiseithof; Wohnhaus, teilweise Fachwerk (verputzt), bezeichnet 1830, Wirtschaftstrakte jünger",49.770085,7.391922
"Denkmalzone Burg Birkenfeld (Burgstraße 17, 19, 28, 30, 32)",Birkenfeld (Nahe),"von der mittelalterlichen Burg erhalten ein runder Turmstumpf; von der Renaissanceanlage das Torhaus (Nr. 17); ehemaliges „Gasthaus zum ledigen Waidsack“ (Nr. 28); Jugendherberge, 1926, Architekt Wilhelm Heilig, Darmstadt (Nr. 19)",49.64968,7.168089
