"Ortsbefestigung; im 16. Jahrhundert angelegt, nur zwei Türme erhalten",Baumholder,"
Dicker Turm: vollrund, Bruchstein, teilweise rekonstruiert
Leichenpförtchen: quadratischer Torturm, Pyramidendach

","",""
Dicker Turm,Baumholder,"vollrund, Bruchstein, teilweise rekonstruiert",49.615156,7.340655
Leichenpförtchen,Baumholder,"quadratischer Torturm, Pyramidendach",49.615156,7.340655
(gegenüber) Badegasse 1,Baumholder,"sogenannte Schmiede Bier; kleiner Schmiedebau, wohl um 1840; technische Ausstattung",49.615547,7.338859
Hauptstraße 10,Baumholder,"ehemaliges Rathaus; siebenachsiger, dreigeschossiger klassizistischer Walmdachbau, 1840",49.615488,7.337861
Hauptstraße 16,Baumholder,"Quereinhaus, zwölfachsiges Quereinhaus, spätes 19. Jahrhundert",49.615226,7.338598
"Hinterm Turm, Ecke Hinter Haselweg",Baumholder,"Katholische Pfarrkirche St. Simon und Judas Thaddäus; neugotische Hallenkirche, 1882–85, Architekt P. Kontzen, Deggendorf/Bayern; Ausstattung",49.618395,7.33876
Kirchstraße 19,Baumholder,"Evangelische Pfarrkirche; barocker Saalbau, 1748–50, Architekt Friedrich Hartmann Koch, Kusel; Westturm spätgotisch",49.61665,7.340215
Korngasse 1,Baumholder,"Gasthaus Goldener Engel; dreigeschossiger Putzbau, teilweise verschiefert, Anfang des 20. Jahrhunderts; ortsbildprägend",49.616125,7.338418
Marktplatz,Baumholder,"sogenannter Wäschbach; fünfeckig gemauertes Becken, im Kern aus dem 19. Jahrhundert",49.61536,7.335786
nordöstlich der Stadt am Guthausbach,Baumholder,"Guthausmühle oder Edingers Mühle; 1750 bezeugt; Dreiseithof: Ökonomie, Mühlen-, Wohn- und seit 1890 Gasthaus vereint; Mahlmühle aus der zweiten Hälfte des 19. Jahrhunderts; Ausstattung","",""
