"Denkmalzone Burg Birkenfeld (Burgstraße 17, 19, 28, 30, 32)",Birkenfeld (Nahe),"von der mittelalterlichen Burg erhalten ein runder Turmstumpf; von der Renaissanceanlage das Torhaus (Nr. 17); ehemaliges „Gasthaus zum ledigen Waidsack“ (Nr. 28); Jugendherberge, 1926, Architekt Wilhelm Heilig, Darmstadt (Nr. 19)",49.64968,7.168089
"Denkmalzone Regierungsviertel (Schlossallee 2, 3, 5, 9, 7, 11, 15, Schneewiesenstraße 22, 25, Friedrich-August-Straße 17)",Birkenfeld (Nahe),"in oldenburgischer Zeit, seit dem frühen 19. Jahrhundert sukzessive entstandenes Regierungsviertel im Winkel von Schneewiesenstraße und Friedrich-August-Straße aus Schloss, Kaserne, Gefängnis, Regierungsgebäude II, Forstamt, Museum und Wohnhaus des Rektors des Gymnasiums",49.64968,7.168089
Denkmalzone Friedhof (Brückener Straße),Birkenfeld (Nahe),"1810 angelegt; neugotische Kapelle, um 1850; Grabkreuz 1769, auf Sockel um 1900; Gefallenendenkmal 1870/71; zwei aufwändige Familiengräber (Familien Eduard und Richard Böcking); Grabmal Familie Scherer, 1920er Jahre",49.64968,7.168089
"Denkmalzone Jüdischer Friedhof (südwestlich der Stadt, an der Straße nach Dambach)",Birkenfeld (Nahe),"34 Grabstellen in situ, ab 1898",49.64968,7.168089
Am Kirchplatz 2,Birkenfeld (Nahe),"Wohn- und Geschäftshaus, teilweise Fachwerk, bezeichnet 1808, im Kern älter",49.648397,7.169364
Am Kirchplatz 4/6,Birkenfeld (Nahe),"Evangelische Pfarrkirche, barocker Saalbau, fünfseitiger Chor, 1750–56, Architekten Jonas Erikson Sundahl und Johannes Seiz; neuromanischer Westturm, 1895/96, Architekt Heinrich Jester, Speyer; Glocken von 1554, 1717, 1961; Ausstattung",49.648228,7.168709
Am Kirchplatz 5,Birkenfeld (Nahe),"Evangelische und katholische Volksschule; neunachsiger neubarocker Mansarddachdachbau, 1911; platzbildprägend",49.648618,7.168754
Am Kirchplatz 11,Birkenfeld (Nahe),"Wohn- und (ehemaliges) Geschäftshaus; Neurenaissance, 1881, platzbildprägend",49.648356,7.168439
Am Rech 2,Birkenfeld (Nahe),"sogenanntes Backhaus; kleines Wohnhaus, teilweise Fachwerk, teilweise verschiefert, 18. oder frühes 19. Jahrhundert",49.646507,7.16667
An der Ölmühle 4,Birkenfeld (Nahe),"ehemalige Mühle; Bruchsteinbau, 1580; Ölmühle seit 1770er Jahren, Erweiterung und Dacherhöhung 1922; technische Ausstattung",49.653109,7.148542
Auf dem Römer 5,Birkenfeld (Nahe),"Krüppelwalmdachbau, teilweise Fachwerk (holzverschindelt), bezeichnet 1723",49.647767,7.167801
Auf dem Römer 6,Birkenfeld (Nahe),"barockes Wohnhaus, 18. Jahrhundert, im Kern wohl älter (1665?); straßen- und ortsbildprägend",49.647738,7.167972
Auf dem Römer 9,Birkenfeld (Nahe),"sogenanntes Kußlersches Haus; Eckwohnhaus, bezeichnet 1590, teilweise mit Veränderungen des 19. Jahrhunderts; ortsbildprägend",49.647615,7.167505
Bahnhofstraße 2,Birkenfeld (Nahe),"späthistoristisches Wohnhaus, Hausteinputzflächen, Sichtfachwerk, spätes 19. Jahrhundert",47.480919,9.722664
Bahnhofstraße 4,Birkenfeld (Nahe),"Eckwohnhaus, teilweise Fachwerk (verschiefert), hölzerne Galerie, spätes 18. oder frühes 19. Jahrhundert; straßenbildprägend",47.481035,9.722035
Brückener Straße 8,Birkenfeld (Nahe),"Wohnhaus mit Sattelwalmdach, übergiebeltes Zwerchhaus, 1920/30er Jahre",49.648309,7.157399
Friedrich-August-Straße 15,Birkenfeld (Nahe),"Maler-Hugo-Zang-Haus; neuklassizistisches Wohnhaus, 1883",49.648099,7.163687
Friedrich-August-Straße 17,Birkenfeld (Nahe),"Museum; in Formen eines römischen Landhauses, 1910, Architekt Julius Groeschel, München",49.648496,7.162915
(gegenüber) Gollenberger Weg 3,Birkenfeld (Nahe),"Laufbrunnen, Gusseisen, spätes 19. Jahrhundert",49.650496,7.167837
Hauptstraße 9,Birkenfeld (Nahe),"sogenanntes Stadthaus; aufwändiger historistischer Eckbau auf Terrasse, um 1900",47.438913,9.60511
(vor) Hauptstraße 11,Birkenfeld (Nahe),"sogenannter Apothekerbrunnen; große gotisierende Anlage, Gusseisen, letztes Viertel des 19. Jahrhunderts",47.438913,9.60511
Königsgasse 11,Birkenfeld (Nahe),"Kleinstwohnhaus mit Scheune unter einem Dach, später angebauter, aufgestockter Stall",49.651406,7.168799
Pfarrgasse 2,Birkenfeld (Nahe),"Evangelisches Pfarrhaus; eingeschossiger Massivbau, zweiachsiges Zwerchhaus, 1733",49.647988,7.168709
(zwischen) Rennweg 27 und 29,Birkenfeld (Nahe),"Kriegerdenkmal für die im Ersten Weltkrieg gefallenen Schüler des Gymnasiums Betuletia; aufgesockelter Kubus, Stahlhelm-Relief, 1927, Entwurf von Wilhelm Heilig, Darmstadt",49.643374,7.173955
(gegenüber) Rennweg 30,Birkenfeld (Nahe),"sogenanntes Steinernes Kreuz; Bildstock, Tuffstein, 16. Jahrhundert, eventuell vorreformatorisch",49.644389,7.175311
Saarstraße 19,Birkenfeld (Nahe),"stattliches Quereinhaus, zweite Hälfte des 19. Jahrhunderts",49.601887,7.166768
Schadtengasse 2,Birkenfeld (Nahe),"Wohnhaus mit dreiteiliger Fenstergruppe, bezeichnet 1838",49.648018,7.16967
Schlossallee 3,Birkenfeld (Nahe),"fünfachsiges holzverschindeltes Wohnhaus, 19. Jahrhundert; am Südgiebel Teile eines erdeingetieften Gewächshauses einer Gärtnerei",49.648758,7.165151
Schlossallee 11 und 13,Birkenfeld (Nahe),"Neues Schloss; klassizistische Gruppe um offenen Ehrenhof, 1819–21, Arch. J. W. L. Brofft, Frankfurt; Hauptbau mit dreiachsigem Mittelrisalit, rückseitig Altan; Ausstattung; eingeschossige Nebengebäude mit übergiebelter Eingangsanlage",49.648945,7.163768
Schneewiesenstraße 3,Birkenfeld (Nahe),"sogenanntes Pirmannsches Haus; vornehmer klassizistischer Bau, dreigeschossiger Giebelrisalit, 1859",49.649575,7.167622
Schneewiesenstraße (Hausnummer unbekannt),Birkenfeld (Nahe),"Katholische Pfarrkirche St. Jacobus; neugotische Hallenkirche, Gelbsandstein, 1888–90, Architekt Reinhold Wirtz, Trier; Grabplatte 1752; Ausstattung",49.648776,7.166409
Schneewiesenstraße 22,Birkenfeld (Nahe),"ehemalige Infanteriekaserne; sogenanntes Altes Gymnasium, neunachsiger klassizistischer Putzbau, 1842/43",49.648018,7.165762
Schneewiesenstraße 25,Birkenfeld (Nahe),"drittes oldenburgisches Behördenhaus; barockisierender Mansarddachbau, dreigeschossiger Giebelrisalit, 1912",49.648064,7.165008
Wasserschiederstraße 1,Birkenfeld (Nahe),"Eckwohnhaus, teilweise verschiefert, rückseitig verkleidete Galerie, Mansarddach mit Krüppelwalm, 1767, Ladeneinbau um 1900; ortsbildprägend",49.648257,7.169616
Wasserschiederstraße 2/4,Birkenfeld (Nahe),"Doppelhaus auf hohem Sockel, Torfahrt, bezeichnet 1791",49.648478,7.169868
Wasserschiederstraße 6,Birkenfeld (Nahe),"ehemaliges Gasthaus mit Brauerei; Sandsteinquaderbau, bezeichnet 1897",49.648589,7.170209
Wasserschiederstraße 7,Birkenfeld (Nahe),"Wohnhaus, teilweise Fachwerk (verputzt), wohl aus dem frühen 19. Jahrhundert",49.648408,7.169993
Wasserschiederstraße 16,Birkenfeld (Nahe),"großes Wohnhaus mit Stallanlagen, Mitte des 19. Jahrhunderts",49.649318,7.171664
(hinter) Wasserschiederstraße 47,Birkenfeld (Nahe),"Taubenhaus; kleiner Holzbau, Kreuzdach mit Laterne, zweite Hälfte des 19. Jahrhunderts",49.650479,7.174009
Wasserschiederstraße 47,Birkenfeld (Nahe),"Walmdachbau, Landhausstil, um 1910, überdachte Galerie zum Nebengebäude im Garten",49.650479,7.174009
