Denkmalzone Jüdischer Friedhof (südwestlich des Ortes im Wald),Rhaunen,"33 Grabsteine in zwei Reihen, ab 1893; überwiegend Vorderseiten hebräisch, Rückseiten lateinisch beschriftet",49.863736,7.346638
Am Wartenberg 2,Rhaunen,"Eckwohnhaus, teilweise Fachwerk (verschiefert), frühes 18. Jahrhundert; ortsbildprägend",49.864316,7.344536
Am Wartenberg 3,Rhaunen,"blockhafter Walmdachbau, spätes 19. Jahrhundert",49.864537,7.344329
Hauptstraße 8,Rhaunen,"Rathaus; Krüppelwalmdachbau mit Ratslaube, teilweise Fachwerk (verschiefert), Glockenstuhl, bezeichnet 1723",49.864218,7.345461
Hauptstraße 10,Rhaunen,"ehemaliges Amtshaus; späthistoristischer Schieferbruchsteinbau, Neurenaissance, 1901",49.864055,7.345614
Hauptstraße 43,Rhaunen,"Forstamt; Heimatstilbau, 1911",49.861517,7.351058
Kirchstraße,Rhaunen,"Katholische Pfarrkirche St. Martin; dreischiffige neugotische Hallenkirche, 1887/88, nach Plänen des Franziskaners Paschalis (bürgerlich: Theodor Gratze), Warendorf; ortsbildprägend",49.862743,7.347069
Kirchstraße 3,Rhaunen,"Katholisches Pfarrhaus; spätklassizistischer Massivbau, 1863",49.862696,7.348489
Otto-Conrad-Straße 3,Rhaunen,"ehemaliger Wildgräflicher Hof; Putzbau mit Mansarddach, zweite Hälfte des 18. Jahrhunderts",49.864148,7.346243
Poststraße 18,Rhaunen,"ehemaliges Katasteramt; leicht asymmetrisch gruppierter Mansarddachbau, 1911",49.861918,7.352118
Pühlstraße 35/37,Rhaunen,"ehemaliges Königliches Amtsgericht mit Gefängnis und Gefängnishof; schlossartiger neubarocker Schieferbruchstein-Komplex, 1899; Ausstattung",49.863666,7.350114
Salzengasse 1,Rhaunen,"gründerzeitliches Wohnhaus mit Schwebegiebel, spätes 19. Jahrhundert",49.863829,7.345758
Salzengasse 3,Rhaunen,"ehemalige katholische Schule; blockhafter Walmdachbau, Rundbogenstil, 1862",49.863805,7.345659
Schulstraße 9,Rhaunen,"ehemalige neue Schule; Dreiflügelanlage, 1928, Architekt Nicolaus Coenen, Bernkastel",49.864914,7.341976
Schustergasse 3,Rhaunen,"Evangelische Pfarrkirche; Saalbau, um 1700; Dreiseitschluss und Westgiebel spätgotisch; Nordturm aus der zweiten Hälfte des 13. Jahrhunderts, Spitzhelm um 1570; Ausstattung; Orgel 1723 von Johann Michael Stumm; ortsbildprägend",49.863236,7.345614
Unterdorf 8,Rhaunen,"stattliches Wohnhaus, teilweise Fachwerk (verputzt), Mansarddach, um 1800",49.864769,7.345776
Unterdorf 12,Rhaunen,"Wohnhaus, teilweise Fachwerk, teilweise verschiefert, 18. Jahrhundert",49.864647,7.34636
