Denkmalzone Katholische Kirche St. Remigius (Koblenzerstraße 11),Alf (Mosel),"neugotische Basilika, Bruchstein, 1892–94; vor der Kirche Kriegerdenkmal; neugotische Kreuzigungsgruppe; Christus in der Rast, um 1500; Missionskreuz; Denkmalzone mit Friedhof und Pfarrhaus","",""
auf dem Friedhof,Alf (Mosel),"Friedhofskreuz, bezeichnet 1869; vier Grabkreuze, bezeichnet 1848 und 18(..), vom Ende des 19. Jahrhunderts und um 1900",50.072124,6.964513
Auf der Hill 2,Alf (Mosel),"spätklassizistische Villa, zweite Hälfte des 19. Jahrhunderts",50.056066,7.127665
Auf der Hill 3,Alf (Mosel),"klassizistische Villa, bezeichnet 1853",50.05587,7.127593
Auf der Hill 4/5,Alf (Mosel),"zweieinhalbgeschossiges spätklassizistisches Wohnhaus mit Kellerei, Bruchstein, zweite Hälfte des 19. Jahrhunderts",50.055557,7.127485
Auf Kockert,Alf (Mosel),"Alter Pfarrkirchenturm; dreigeschossiger Turm mit Pyramidalhelm, bezeichnet 1734, im Kern mittelalterlich",50.057934,7.127296
Auf Kockert 6,Alf (Mosel),"Kurtrierisches Amtshaus; dreigeschossiges frühbarockes Giebelhaus, Ende des 16. Jahrhunderts, Umbau wohl 1620/21 (Dendrodatierung des Dachstuhls), Portal bezeichnet 1700",50.057888,7.126955
Auf Kockert 10,Alf (Mosel),"ehemalige Schule; Fachwerkbau, teilweise massiv, im Kern aus dem frühen 17. Jahrhundert; Backofen",50.057905,7.127332
Auf Kockert 14,Alf (Mosel),"Jugendstilvilla, um 1900",50.058119,7.127314
Auf Tannerd 7,Alf (Mosel),"Villa; klassizierender Mansardwalmdachbau, 1920er Jahre",50.052289,7.126371
Brunnenstraße 1,Alf (Mosel),"Fachwerkhaus, teilweise massiv, um 1600",50.056876,7.125446
Ferdinand-Remy-Straße 1,Alf (Mosel),"späthistoristisches Wohn- und Geschäftshaus, bezeichnet 1902",50.057107,7.126488
Junkergasse 8,Alf (Mosel),"dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1760",50.056598,7.124323
Koblenzerstraße 12,Alf (Mosel),"Fachwerkhaus, verputzt, zweite Hälfte des 18. Jahrhunderts",47.593629,8.236725
Koblenzerstraße 18,Alf (Mosel),"„Hotel zur Post“; ehemaliger Thurn- und Taxischer Hof, stattlicher nachbarocker Putzbau, um 1810",47.593629,8.236725
(an) Mühlenstraße 2,Alf (Mosel),"neugotisches Kreuz, Sandstein",50.055899,7.123721
Mühlenstraße 13,Alf (Mosel),"Wohnhaus, teilweise verschiefert, Heimatstil, um 1910",50.05565,7.122984
Schulgasse 2,Alf (Mosel),"Fachwerkhaus, teilweise massiv, 18. Jahrhundert, bezeichnet 1580",50.057055,7.125464
Wilburgstraße 5,Alf (Mosel),"spätmittelalterliches Burgmannenhaus; Bruchsteinbau, 1448 (Dendrodatierung)","",""
an der B 49,Alf (Mosel),Wappen; 18. Jahrhundert (?),52.603269,8.071731
Bergkapelle,Alf (Mosel),"kleiner Saalbau, 19. Jahrhundert; Vesperbild, 18. Jahrhundert",50.072124,6.964513
