Denkmalzone Burgruine Metternich,Beilstein (Mosel),"1268 erwähnt, 1689 zerstört; Bergfried um 1200, Südwest-Rundturm aus dem 14. Jahrhundert, Keller eines Gebäudetrakts, Teile von Palas und Nebengebäuden, Vorburg mit Rundturm, Mauer zur Stadt, Außentor, Ring- und Zwingermauer",49.040766,9.314263
Denkmalzone Karmeliterkirche St. Josef und Karmeliterkloster,Beilstein (Mosel),"dreischiffige Hallenkirche, 1691 begonnen, bezeichnet 1738, Entwurf Frater Franz Wynant, Kloster Springiersbach; bauliche Gesamtanlage mit Klostergebäuden, Friedhof und ummauertem Klosterbezirk; Klostergebäude/Pfarrhaus: Putzbauten, 1686–92, bezeichnet 1687 (Kellerportal); Klostertreppe 56: barocker Pavillon; auf dem Friedhof drei Grabkreuze, 1663, 18. Jahrhundert, 19. Jahrhundert, neugotisches Grabkreuz, 1887","",""
"Denkmalzone „Historischer Ortsbereich Beilstein“ (Alte Wehrstraße, Auf dem Teich, Bachstraße, Fürst-Metternich-Straße, Klosterstraße, Marktplatz, Moselstraße, Schloßstraße, Weingasse)",Beilstein (Mosel),"historisches Ortsgefüge mit Resten der Befestigung bis zur Moselfront, einschließlich Weinbergpavillon im Norden, ehemaliger Schule im Osten und Burgruine im Süden",49.040766,9.314263
Ortsbefestigung,Beilstein (Mosel),"Anfang des 14. Jahrhunderts begonnen, ursprünglich mit der Burg verbunden, mit fünf Toren und mit Türmen; erhalten zwei Rundtürme: an der Südwestecke (Moselstraße 3/4) und an der Nordwestecke (Alte Wehrstraße 19); zwei überbaute Tore (Alte Wehrstraße und Bachstraße 39)",49.040766,9.314263
Alte Wehrstraße,Beilstein (Mosel),"Stadtmauertor, darüber Bruchsteinhaus",50.110366,7.240951
Alte Wehrstraße 19,Beilstein (Mosel),"Mansarddachbau mit rundem, mit Fachwerkbau überbautem Turmstumpf, im Kern spätmittelalterlich, Umbau im 18. Jahrhundert",50.110655,7.23743
(zu) Alte Wehrstraße 22,Beilstein (Mosel),"Weinbergpavillon, barock, 18. Jahrhundert; bauliche Gesamtanlage mit Bruchsteinhaus, 19. Jahrhundert, Garten und Pavillon",50.110655,7.23743
Bachstraße 8,Beilstein (Mosel),"Mansarddachbau, teilweise Fachwerk, 18. Jahrhundert",50.110655,7.23743
Bachstraße 32,Beilstein (Mosel),"dreigeschossiges Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.110655,7.23743
(an) Bachstraße 39,Beilstein (Mosel),Torbogen der Stadtmauer,50.110655,7.23743
Bachstraße 50,Beilstein (Mosel),"Mansarddachbau, teilweise Fachwerk, 18. Jahrhundert",50.110655,7.23743
Fürst-Metternich-Straße 28,Beilstein (Mosel),"Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1757",50.110655,7.23743
Fürst-Metternich-Straße 37,Beilstein (Mosel),"Haus Sausen; dreigeschossiger Krüppelwalmdachbau, teilweise Fachwerk, verschiefert, bezeichnet 1726",50.110655,7.23743
Im Mühlental 17,Beilstein (Mosel),"Krüppelwalmdachbau, teilweise Fachwerk, um 1800",50.110655,7.23743
Klostertreppe 29,Beilstein (Mosel),"Mansarddachbau, teilweise Fachwerk, bezeichnet 1757",50.110655,7.23743
Klostertreppe 30,Beilstein (Mosel),"Haus Ekartz; dreigeschossiger Krüppelwalmdachbau, teilweise Fachwerk, verschiefert, bezeichnet 1714",50.110655,7.23743
Klostertreppe 31,Beilstein (Mosel),"Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1726",50.110655,7.23743
Klostertreppe 39,Beilstein (Mosel),"Fachwerkhaus, teilweise massiv, bezeichnet 1747, 1761 und 1826",50.110655,7.23743
Marktplatz,Beilstein (Mosel),"Zehnthaus; Bruchsteinbau mit polygonalem Treppenturm, Krüppelwalmdach, 1537, Umbau bezeichnet 1759",50.110279,7.239065
Marktplatz 1,Beilstein (Mosel),"ehemalige katholische Pfarrkirche St. Christophorus, sogenannte „Alte Schule“; Saalbau, bezeichnet 1732, mit Bauteilen des 16. Jahrhunderts, Portal bezeichnet 1578; Brunnen, 19. Jahrhundert",50.110655,7.23743
Marktplatz 3,Beilstein (Mosel),"ehemaliger Metternicher Hof; dreigeschossiger abgewalmter Mansarddachbau, teilweise Fachwerk, bezeichnet 1727 und 1770",50.110655,7.23743
Marktplatz 34,Beilstein (Mosel),"Mansarddachbau, teilweise Fachwerk, 18. Jahrhundert; gusseiserne Pumpe, 19. Jahrhundert",50.110655,7.23743
Marktplatz 35,Beilstein (Mosel),"dreigeschossiger Putzbau mit Fachwerkobergeschoss, um 1800",50.110655,7.23743
Moselstraße ohne Nummer,Beilstein (Mosel),"Altes Zollhaus; abgewalmter Mansarddachbau, teilweise Fachwerk, früher bezeichnet 1634, Umbau (?) im 18. oder frühen 19. Jahrhundert",50.110655,7.23743
