Am Storchenhaus 1,Bremm,"Storchenhaus; dreigeschossiges reiches Fachwerkhaus, teilweise massiv, Rähmbau, bezeichnet 1695 und 1696; Fachwerkanbau, teilweise massiv, bezeichnet 1670",50.101509,7.117343
Am Storchenhaus 3,Bremm,"Fachwerkhaus, teilweise massiv, bezeichnet 1740 sowie Fachwerkhaus, teilweise massiv, 18. oder 19. Jahrhundert",50.101445,7.117199
Am Storchenhaus 10,Bremm,"Fachwerkhaus, teilweise massiv, um 1900",50.101278,7.116472
Am Storchenhaus 11,Bremm,"Fachwerkhaus, teilweise massiv, verputzt, Krüppelwalmdach, 17. Jahrhundert",50.101289,7.116687
Am Storchenhaus 13,Bremm,"Fachwerkhaus, teilweise massiv, Ende des 19. Jahrhunderts, um Drempel erhöht; Kelterhaus, Bruchstein",50.101214,7.116472
Brunnenstraße,Bremm,"Brunnen, Basalt, bezeichnet 1813, Umbau 1913",50.100429,7.116346
Brunnenstraße,Bremm,"Katholische Kirche St. Laurentius; romanischer Westturm, Obergeschoss und Helm von 1841; zweischiffige Halle, Ende des 15. Jahrhunderts, Verlängerung 1895; bauliche Gesamtanlage mit dem ummauerten Friedhof, hier Grabkreuz, 18. Jahrhundert, barockes Kreuz",50.100429,7.116346
Brunnenstraße 6,Bremm,"Fachwerkhaus, teilweise massiv, Ständerbau, Krüppelwalmdach, bezeichnet 1552; davor Bruchsteinhaus mit Gewölbekeller, 1400 (?)",50.101105,7.117235
Brunnenstraße 11,Bremm,"Fachwerkhaus, teilweise massiv, Mansarddach, 18. Jahrhundert; angrenzend Fachwerkhaus, teilweise massiv, 19. Jahrhundert; zwei Takenplatten",50.100816,7.116777
Brunnenstraße 39,Bremm,"Fachwerkhaus, teilweise massiv, bezeichnet 1810",50.100637,7.115996
Calmontstraße 8/10,Bremm,"Mansarddachbau, teilweise Fachwerk, bezeichnet 1824",50.100117,7.11631
Gartenstraße 2,Bremm,"Fachwerkhaus, teilweise massiv, verputzt, 18. oder 19. Jahrhundert",50.100128,7.117253
Kirchstraße 1,Bremm,"Fachwerkhaus, teilweise massiv, Ständerbau, 16. Jahrhundert",50.101867,7.116696
Kirchstraße 3,Bremm,"Fachwerkhaus, teilweise massiv oder verputzt, Mansarddach, 18. Jahrhundert",50.101815,7.116579
Kirchstraße 8,Bremm,"dreigeschossiges Fachwerkhaus, teilweise massiv, verputzt und verschiefert, Krüppelwalmdach, im Kern aus dem 16. Jahrhundert, im 17. Jahrhundert umgestaltet",50.101769,7.116319
Kirchstraße 21,Bremm,"Fachwerkhaus, teilweise massiv, Anfang des 18. Jahrhunderts",50.100949,7.116256
Moselstraße 26 a–c,Bremm,"Nr. 26a Bruchsteinbau mit Neurenaissancegiebel, um 1900, Tanzsaal; Nr. 26b barocker Mansarddachbau, 18. Jahrhundert; Nr. 26c dreigeschossiger Putzbau, teilweise Fachwerk, bezeichnet 1626 und 1747",50.099458,7.120245
Moselstraße 27,Bremm,"Wohn- und Geschäftshaus; Bruchsteinbau, bezeichnet 1624",50.100949,7.117783
Moselstraße 40,Bremm,"Bruchsteinbau, bezeichnet 1847",50.099885,7.11896
(bei) Moselstraße 47,Bremm,"Wegekreuz, bezeichnet 1707",50.099689,7.119274
Moselstraße 48,Bremm,"Bruchsteinhaus, „Moselstil“, um 1900",50.099544,7.119292
"Moselstraße, Ecke An der Kapelle",Bremm,Michaelskapelle; offener Bruchsteinbau mit barockem Gitter,50.099458,7.120245
Turmstraße 2,Bremm,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert; Bruchsteinscheune, teilweise Fachwerk",50.100729,7.117514
"Turmstraße 5, Zehnthausstraße 8",Bremm,"ehemaliges Zehnthaus; dreigeschossiger Bruchsteinbau, im Kern wohl aus dem 15. Jahrhundert",50.100475,7.117199
in der Moselschleife östlich des Ortes,Bremm,Ruine des Klosters Stuben; einschiffige Klosterkirche,50.10207,7.117181
nordöstlich von Bremm,Bremm,Weinbergterrassen; terrassiert angelegte Weinberge,50.10207,7.117181
südwestlich des Ortes,Bremm,"Kreuzweg mit Kreuzkapelle, wohl aus dem 19. Jahrhundert; Kreuzweg, Bruchstein, Bildstocktyp, 20. Jahrhundert",50.10207,7.117181
