Am Moselufer ohne Nummer,Bruttig-Fankel,"Rathaus; dreigeschossiger Putzbau, Treppenturm, bezeichnet 1619",50.133145,7.231124
Am Moselufer 6,Bruttig-Fankel,"Schunksches Haus; ehemaliges Gerichts- und Wohnhaus; Putzbau, Spätrenaissance, bezeichnet 1652, Eckfigur der heiligen Margarethe (17. oder 18. Jahrhundert); im Hof sogenanntes Hinterhaus, teilweise Fachwerk, bezeichnet 1529, mit fünfseitigem Erker, teilweise Fachwerk, erste Hälfte des 17. Jahrhunderts; Gesamtanlage",50.135478,7.235004
Am Moselufer 7,Bruttig-Fankel,"Gasthaus „Alte Winzerschenke“; Fachwerkhaus, teilweise massiv, bezeichnet 1667",50.13527,7.234825
Am Moselufer 9,Bruttig-Fankel,"dreigeschossiges Fachwerkhaus, verputzt, 1441",50.135016,7.234708
Am Moselufer 10,Bruttig-Fankel,"Fachwerkhaus, teilweise massiv, verkleidet, Krüppelwalmdach, 1680",50.135045,7.234537
Am Moselufer 23,Bruttig-Fankel,"Fachwerkhaus, teilweise massiv, verputzt, Krüppelwalmdach, bezeichnet 1601",50.132417,7.230773
Fausenburg 4/6,Bruttig-Fankel,"Fachwerkhaus, teilweise massiv, bezeichnet 1665, Fachwerkerweiterung und Dachausbau im 18. Jahrhundert, Fachwerkanbau aus dem 19. Jahrhundert",50.132365,7.231007
Gobeliusstraße 6,Bruttig-Fankel,"Fachwerkhaus, teilweise massiv, verputzt und verkleidet, Krüppelwalmdach, 1685",50.135755,7.235858
Hauptstraße,Bruttig-Fankel,"Katholische Pfarrkirche St. Margaretha; spätmittelalterlicher Westturm, bezeichnet 1507, Skulptur vom Anfang des 16. Jahrhunderts; neuromanischer Bruchsteinsaal, 1845–47; in der Kirchhofmauer: Kreuz, 19. Jahrhundert, Grabkreuz, bezeichnet 1504; zwei Grabkreuze von 1807 und 1833; Grabplatte, 1555; elf Grabkreuze, unter anderem von 1567, 1572, 1598, 1600, 1614; Nische mit Kreuzigungsgruppe, bezeichnet 1599, renoviert 1905, Maria und Johannes, 18. Jahrhundert; Gesamtanlage mit Friedhof und Pfarrhaus",50.132977,7.233881
Hauptstraße,Bruttig-Fankel,"Wegekreuz, 18. oder 19. Jahrhundert",50.132977,7.233881
Hauptstraße,Bruttig-Fankel,"Ziehbrunnen, angeblich 1593 erwähnt",50.132977,7.233881
Hauptstraße 2,Bruttig-Fankel,"Bruchsteinhaus, Kelterhaus, zweite Hälfte des 19. Jahrhunderts; Gesamtanlage",50.136349,7.236747
Hauptstraße 5,Bruttig-Fankel,"ehemaliges Pfarrhaus; klassizistischer Putzbau, 1824; bauliche Gesamtanlage mit Kirche und Friedhof",50.134617,7.235984
(bei) Hauptstraße 13,Bruttig-Fankel,"Wegekreuz, bezeichnet 1816",50.133486,7.234735
Hauptstraße 16,Bruttig-Fankel,"kleiner zweigeschossiger Massivbau, Satteldach; erbaut 1388, erweitert um 1465; Holzwendeltreppe, 17. oder 18. Jahrhundert",50.134756,7.235885
Hauptstraße 22,Bruttig-Fankel,"Bruchsteinhaus, 19. Jahrhundert",50.134155,7.235516
Hauptstraße 23,Bruttig-Fankel,"ehemalige Schule; stattlicher Bruchsteinbau, um 1900",50.132527,7.234043
Hauptstraße 24,Bruttig-Fankel,"Bruchsteinhaus, bezeichnet 1894",50.134057,7.235409
(bei) Hauptstraße 49,Bruttig-Fankel,"Wegekreuz, bezeichnet 1816",50.13184,7.232696
"Hauptstraße, Ecke Kirchstraße",Bruttig-Fankel,"Bildstock, barock, 18. Jahrhundert",50.132977,7.233881
Herrenstraße 2,Bruttig-Fankel,"Fachwerkhaus, teilweise massiv, Ständerbau, Dendrodateirung 1473/74",50.133208,7.231483
Kirchstraße 2,Bruttig-Fankel,"dreigeschossiges Fachwerkhaus, teilweise massiv, Krüppelwalmdach, Dendrodatierung 1510/11, Fachwerk im ersten Obergeschoss jünger",50.134548,7.233944
Kirchstraße 6,Bruttig-Fankel,"Fachwerkhaus, um 1910 (?)",50.134508,7.234393
Klosterstraße 1,Bruttig-Fankel,"Fachwerkhaus, teilweise massiv, Dendrodatierung 1472/73; bauliche Gesamtanlage mit angrenzendem Bruchsteinbau",50.134017,7.232974
