Brunnenstraße,Ellenz-Poltersdorf,Brunnen,50.117309,7.231519
Hauptstraße,Ellenz-Poltersdorf,Heiligenhäuschen,50.116691,7.232076
Hauptstraße 1,Ellenz-Poltersdorf,"Katholische Kirche St. Martin; zweischiffige neugotische Halle, Bruchstein, Fassade mit neugotische Steinfiguren, Treppenturm, 1905; Kriegerdenkmal, reliefierter Pylon",50.114017,7.234349
Hauptstraße 6,Ellenz-Poltersdorf,"eingeschossiger Bruchsteinbau, Neurenaissance, 1907",50.114537,7.234277
Hauptstraße 14,Ellenz-Poltersdorf,"ehemalige Schule; Bruchsteinbau, Mitte des 19. Jahrhunderts",50.11493,7.233917
Hauptstraße 16,Ellenz-Poltersdorf,"Bruchsteinbau, um 1900",50.115068,7.233774
Hauptstraße 24,Ellenz-Poltersdorf,"Fachwerkhaus, teilweise massiv, 16. Jahrhundert und jünger",50.115617,7.233235
Hauptstraße 34,Ellenz-Poltersdorf,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1622",50.116015,7.232705
Hauptstraße 37,Ellenz-Poltersdorf,"großes L-förmiges Gebäude, im Kern wohl aus dem 16. Jahrhundert, Vorderhaus, bezeichnet 1911, im Kern älter",50.116148,7.232507
Hauptstraße 41,Ellenz-Poltersdorf,"Rathaus; Fachwerkhaus, teilweise massiv, bezeichnet 1541",50.116339,7.232336
Hauptstraße 42,Ellenz-Poltersdorf,"Bruchsteinbau, um 1845; spätgotische Inschriftplatte mit Wappen Erzbischofs Johann II. von Baden, Steinmetz Peter von Wederath",50.116495,7.232282
Hauptstraße 45,Ellenz-Poltersdorf,"Fachwerkhaus, teilweise massiv, Ständerbau, wohl noch aus dem 15. Jahrhundert (?), dreigeschossiger Fachwerkanbau, teilweise massiv, 18. Jahrhundert",50.116547,7.232112
Moselweinstraße,Ellenz-Poltersdorf,"Katholische Sebastianuskapelle; nachgotischer Saalbau, bezeichnet 1624; Wegekreuz, Basalt, bezeichnet 1816",50.118297,7.231384
(vor) Moselweinstraße 1,Ellenz-Poltersdorf,"Brunnen, Basalt, 19. Jahrhundert",50.11337,7.236334
Moselweinstraße 6,Ellenz-Poltersdorf,"späthistoristischer Putzbau, teilweise Fachwerk, um 1900",50.114444,7.235615
Moselweinstraße 15,Ellenz-Poltersdorf,"Bruchsteinbau, um 1845, Erweiterung um 1900",50.1159,7.233944
Moselweinstraße 16,Ellenz-Poltersdorf,"ehemaliger Isenburger Hof; skulptierte Knaggen, spätgotisch (?)",50.116247,7.233819
Moselweinstraße 22,Ellenz-Poltersdorf,"Putzbau, teilweise Fachwerk, wohl aus dem 17. Jahrhundert",50.117327,7.23222
Neustraße 4,Ellenz-Poltersdorf,"Putzbau, teilweise Fachwerk, Heimatstil, 1914",50.114745,7.23469
(in) Neustraße 7,Ellenz-Poltersdorf,"spätmittelalterlicher Gewölbekeller, Takenplatte",50.114594,7.234582
Rathausstraße 3,Ellenz-Poltersdorf,"Fachwerkhaus, teilweise massiv, verputzt, abgewalmtes Mansarddach, 18. Jahrhundert",50.116379,7.232768
Schulstraße 1/3,Ellenz-Poltersdorf,"ehemaliges Burghaus Warsberg; zweigeschossiger, ursprünglich dreigeschossiger Bruchsteinbau, zwei Rundtürme, wohl nach 1473",50.11508,7.233522
Sebastianusstraße,Ellenz-Poltersdorf,"Alte Kirche St. Martin; spätromanischer Westturm, zweischiffiges Langhaus, bezeichnet 1494 und 1499, Chor und Sakristei von 1762; 15 Grabkreuze, 18. und 19. Jahrhundert; drei Sandsteinreliefs, Umkreis oder Nachfolge Hans Ruprecht Hoffmanns; bauliche Gesamtanlage mit Friedhof: Kreuzigungsgruppe, bezeichnet 1670; skulptiertes Grabmal, bezeichnet 1892; Friedhofskreuz, 19. Jahrhundert",50.114456,7.231195
Sebastianusstraße 11,Ellenz-Poltersdorf,"Massivbau, im Kern aus dem 16. Jahrhundert (?)",50.116645,7.231582
