Auf der Winneburg 29,Ernst (Mosel),"Doppelhaus; Fachwerkhaus, teilweise massiv, dendrodatiert 1503/04; Fachwerkhaus, teilweise massiv, bezeichnet 1578",50.144646,7.2278
(vor) Fährstraße 2,Ernst (Mosel),"Fachwerkhaus, teilweise massiv, im Kern aus dem 16. oder 17. Jahrhundert, im 18. Jahrhundert erweitert, zweiteilig, im hinteren Teil hohes Erdgeschoss, Obergeschoss weit vorkragend, gebogene Streben, der vordere Teil ebenfalls Fachwerk-Obergeschoss mit Jochstreben, Krüppelwalmdach; Gesamtanlage mit Garten mit Pavillon",52.406946,11.959765
(an) Fährstraße 9,Ernst (Mosel),"Portal, bezeichnet 1772",52.409385,11.962613
Fährstraße 11,Ernst (Mosel),"Fachwerkhaus, teilweise massiv, Mansarddach, 16. Jahrhundert, Dachumbau im 18. Jahrhundert; rückwärtig Bruchsteinbau mit spätgotischem Portal",52.409638,11.962928
Herrenstraße 5,Ernst (Mosel),"Bruchsteinbau, verputzt, spätes 18. Jahrhundert",48.875758,8.684095
Herrenstraße 14,Ernst (Mosel),"Fachwerkhaus, teilweise massiv, 16. Jahrhundert",51.154846,12.102705
(bei) Kleinstraße 3,Ernst (Mosel),Brunnen,49.853125,8.499877
Klosterstraße 5,Ernst (Mosel),"neubarockes Winzerhaus, um 1900/10",52.851908,11.162654
Klosterstraße 11,Ernst (Mosel),"zweiflügeliges Fachwerkhaus, teilweise verputzt, bezeichnet 1779",50.30559,11.914167
Moselstraße,Ernst (Mosel),"Heiligenhäuschen, 1850; Kreuz, bezeichnet 1663; Grabkreuz, bezeichnet 1762",50.144929,7.223892
Moselstraße 30,Ernst (Mosel),"Fachwerkhaus, teilweise massiv, verputzt, abgewalmtes Mansarddach, 18. Jahrhundert",51.451337,6.647506
Moselstraße 38,Ernst (Mosel),"Krüppelwalmdachbau, Bruchstein, bezeichnet 1901",52.665116,13.553395
Moselstraße 46,Ernst (Mosel),"ehemalige Schule; Bruchsteinbau, um 1845; Wegekreuz, Basalt, bezeichnet 1616; neue Schule; Mansarddachbau, 1913; Gesamtanlage",52.664859,13.552272
Moselstraße 48,Ernst (Mosel),"Katholische Kirche St. Salvator; Kreuzkuppelkirche mit Doppelturmfassade, 1844–48, Architekt Johann Claudius von Lassaulx; außen fünf Grabsteine, 19. Jahrhundert; Gesamtanlage mit Friedhof",52.664799,13.552038
"Moselstraße, Ecke Weingartenstraße",Ernst (Mosel),"Heiligenhäuschen; Relief, bezeichnet 1686",51.215728,6.762167
Weingartenstraße,Ernst (Mosel),"Wegekreuz, Basalt",50.143895,7.225644
Weingartenstraße 24,Ernst (Mosel),"Bruchsteinhaus, Mitte des 19. Jahrhunderts",49.85366,8.50233
(bei) Weingartenstraße 24,Ernst (Mosel),"Wegekreuz; Basalt, bezeichnet 1777",49.85366,8.50233
(bei) Weingartenstraße 24,Ernst (Mosel),Ziehbrunnen mit Brunnenhaus,49.85366,8.50233
Weingartenstraße 74,Ernst (Mosel),"Ziehbrunnen, 18. Jahrhundert",49.857609,8.504647
Weingartenstraße 75a,Ernst (Mosel),"Massivbau, im Kern wohl aus dem 16. Jahrhundert",49.857812,8.504899
(an) Weingartenstraße 77,Ernst (Mosel),"Sandsteinportal, spätmittelalterlich, bezeichnet (15)48",49.858178,8.505087
Weingartenstraße 81,Ernst (Mosel),"Massivbau, Krüppelwalmdach, bezeichnet 1832; rückwärtig Fachwerkhaus, verputzt, wesentlich älter",49.857958,8.504809
"Weingartenstraße, Ecke Fährstraße",Ernst (Mosel),Ziehbrunnen mit Brunnenhaus,49.854374,8.502258
"Weingartenstraße, Ecke Herrenstraße",Ernst (Mosel),"Heiligenhäuschen, darin barocke Madonna (Kopie ?), 18. Jahrhundert",49.854374,8.502258
"an der B 49, Richtung Cochem",Ernst (Mosel),"Wegekreuz; Basalt, bezeichnet 1603",52.603269,8.071731
"an der B 49, Richtung Cochem",Ernst (Mosel),"Wegekreuz; Basalt, bezeichnet 1633",52.603269,8.071731
südlich des Ortes am Neuberg,Ernst (Mosel),"Kreuzkapelle; Putzbau, um 1709",51.9335,12.225388
