Binniger Straße,Forst (Eifel),"Wegekapelle, 18. oder 19. Jahrhundert",51.741488,14.643033
Hauptstraße 7,Forst (Eifel),"ehemalige Schule; Krüppelwalmdachbau, teilweise verschiefert, Heimatstil, bezeichnet 1912",49.624698,10.684364
Hauptstraße 8,Forst (Eifel),"sogenannter Fränkischer Hof; Bruchsteinbau, bezeichnet 1896; am Stall zweitverwendeter Stein, bezeichnet 1686; Gesamtanlage",49.335176,8.653525
In der Hohl,Forst (Eifel),"Alte katholische Pfarrkirche St. Kastor; romanischer Turm, Obergeschoss von 1873; Gesamtanlage mit Friedhof",50.219656,7.249683
"In der Hohl, auf dem Friedhof",Forst (Eifel),"Kreuz mit Kriegerdenkmal, 1920er Jahre; Wegekreuz, 1711; Grabkreuz, Basalt, 1598; Wegekreuz mit Kreuzigungsgruppe, Basalt, 1702 und 1846 (Renovierung)",49.795486,9.295802
(an) Pfaffenhausener Straße 25,Forst (Eifel),zweigeteilte Barocktür,50.22093,7.250572
"an der K 23, Richtung Binnigen",Forst (Eifel),Grabkreuz: 18. Jahrhundert,49.160943,11.261586
an der K 28,Forst (Eifel),"Wegekapelle; verputzter Bruchsteinbau, 18. Jahrhundert",49.160943,11.261586
"an der K 28, Richtung Dünfus",Forst (Eifel),"Wegekreuz; Basalt, 18. oder 19. Jahrhundert",49.160943,11.261586
Molzigerstraße,Forst (Eifel),"Wegekreuz; Basalt, bezeichnet 1696",51.741488,14.643033
