Denkmalzone Alter Friedhof (Pankratiusstraße),Kaisersesch,"Kapelle, neugotischer Backsteinsaalbau, 19. Jahrhundert; Grabsteine, 18. und 19. Jahrhundert",50.230698,7.140843
Denkmalzone Jüdischer Friedhof (südlich des Ortes an der L 98),Kaisersesch,22 Grabsteine von 1920 bis 1941,50.230698,7.140843
Auf der Wacht,Kaisersesch,"Waldkapelle „Zur schmerzhaften Muttergottes“; Putzbau, einseitig abgewalmtes Satteldach, bezeichnet 1796 und 1833",50.229349,7.126542
Bahnhofstraße 33,Kaisersesch,"Walmdach-Villa, 1928; Gesamtanlage mit Garten",50.231487,7.129524
Balduinstraße,Kaisersesch,"Katholische Pfarrkirche St. Pankratius; neuromanische Stufenhalle, 1898–1900, Architekt Lambert von Fisenne, Gelsenkirchen, Flankenturm vom Anfang des 14. Jahrhunderts",50.230779,7.142002
Balduinstraße 7,Kaisersesch,"Burgmannenhaus, sogenanntes altes Gefängnis; im Kern mittelalterlich, Teile der alten Mauer",50.230767,7.141894
Koblenzer Straße ohne Nummer,Kaisersesch,"ehemalige Schule; Zweiflügelbau, ab 1836, Architekt Johann Claudius von Lassaulx, Koblenz; Lehrerwohnhaus, 1901",50.232248,7.143017
Koblenzer Straße 46,Kaisersesch,"Hofreite, 18. Jahrhundert; Fachwerkhaus, teilweise massiv, verputzt",50.231355,7.141615
Koblenzer Straße 48,Kaisersesch,"Fachwerkhaus, teilweise massiv oder verschiefert, 17. Jahrhundert, im Kern wohl aus dem 16. Jahrhundert; Gesamtanlage mit Scheune",50.231268,7.141517
Turmgarten,Kaisersesch,Rundturm der in geringen Resten erhaltenen Stadtbefestigung,50.230698,7.140843
"Von der Leyenstraße, Ecke Höfchen",Kaisersesch,Reliefstein,50.591171,7.059411
