Denkmalzone Burg Coraidelstein,Klotten,"angeblich von Pfalzgraf Hermann I. (996 letztmals genannt) gegründet, 1338 bedeutend erweitert, 1545 Errichtung eines „neuen Baus auf der Veste zu Klotten“, unzerstört, 1830 auf Abbruch verkauft; von der Höhenburg erhalten: im Kern romanischer Bergfried mit gotischer Ummantelung, Burghaus mit Rundturm, Nebengebäude (im Südosten 1543–47 errichtetes Herrschaftshaus mit Resten dreier Rundtürme), Villa der 1950er Jahre",50.163796,7.199305
Am Mühlenberg,Klotten,"Wegekapelle, 17. Jahrhundert; Nischenkreuz, 17. Jahrhundert; Wegekreuz, Basalt, bezeichnet 1683",50.167962,7.196952
Bahnhofstraße ohne Nummer,Klotten,"Bahnhof; eingeschossiger Bruchsteinbau, teilweise Fachwerk, Anfang des 20. Jahrhunderts",50.165215,7.202656
Bahnhofstraße 6,Klotten,"Fachwerkhaus, teilweise massiv, verputzt und verschiefert, Krüppelwalmdach, 16. Jahrhundert",50.164869,7.201138
Bahnhofstraße 9,Klotten,"Fachwerkhaus, teilweise massiv, Ständerbau, 16. Jahrhundert",50.16491,7.201353
(an) Bahnhofstraße 13,Klotten,"Wegekreuz; Nischenkreuz, bezeichnet 1646",50.164875,7.20165
Brauweiler Platz,Klotten,Stein mit Abtskrümme,50.163796,7.199305
Fahrstraße 8,Klotten,"gotischer Massivbau, 16. Jahrhundert, Rückwand teilweise Fachwerk",50.164425,7.200222
(gegenüber) Fahrstraße 8,Klotten,"Relief, Stein mit Abtskrümme",50.164425,7.200222
(bei) Hauptstraße 19,Klotten,"Kapelle, neugotisch, 19. Jahrhundert",50.161869,7.195029
Hauptstraße 26,Klotten,"Schule; Bruchsteinbau, bezeichnet 1907",50.162019,7.195658
(an) Hauptstraße 56,Klotten,"Nikolaus-Skulptur, 19. Jahrhundert",50.163069,7.198191
Hauptstraße 69,Klotten,"dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1588",50.163427,7.199036
Hauptstraße 72,Klotten,"Fachwerkhaus, teilweise massiv, verputzt, um 1600",50.163548,7.199036
Hauptstraße 75,Klotten,"ehemaliger Malmedyer Hof, Fronhof der Abtei Brauweiler; dreigeschossiges Fachwerkhaus, teilweise massiv, 16. Jahrhundert, Zwerchhaus aus dem 19. Jahrhundert",50.163675,7.199135
Hauptstraße 80,Klotten,"Fachwerkhaus, teilweise massiv, bezeichnet 1632; Takenplatte, 18. Jahrhundert",50.163929,7.199557
Hauptstraße 89/91,Klotten,"Doppelhaus, Bruchstein, bezeichnet 1896",50.164385,7.199961
Hauptstraße 101,Klotten,"dreigeschossiges Fachwerkhaus, bezeichnet 1545",50.164656,7.200374
Hauptstraße 102/103,Klotten,"dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1545; Brunnen, bezeichnet 1463 (oder 1863)",50.164696,7.200446
Hauptstraße 104,Klotten,"dreigeschossiges Fachwerkhaus, teilweise massiv, verputzt, Krüppelwalmdach, bezeichnet 1583, 1585 und 1664",50.164858,7.200644
Hohlstraße 4,Klotten,"Fachwerkhaus, teilweise massiv oder verkleidet, wohl aus dem 16. oder 17. Jahrhundert",50.165475,7.200329
Hohlstraße 20,Klotten,"Moselwinzerhaus; Bruchsteinbau, 19. Jahrhundert",50.166069,7.199997
"Hohlstraße, Ecke Schulstraße",Klotten,"Schwengelpumpe, 19. Jahrhundert",50.166612,7.199
"Kernstraße, auf dem Neuen Friedhof",Klotten,"Kreuzigungsgruppe, 19. Jahrhundert",50.16454,7.197769
"Kernstraße, Ecke Hauptstraße",Klotten,"Wegekreuz, bezeichnet 1772",50.16454,7.197769
(an) Martinstraße 3,Klotten,"Portal, bezeichnet 1776",50.164685,7.201389
Mittelstraße 48,Klotten,"Fachwerkhaus, verputzt, 17. Jahrhundert",50.16345,7.199826
Mittelstraße 52,Klotten,"Moselwinzerhaus; großer Bruchsteinbau, bezeichnet 1871",50.163796,7.200096
