Bergstraße,Landkern,"Heiligenhäuschen, 19. Jahrhundert",50.194404,7.158216
"Hauptstraße, auf dem Friedhof",Landkern,"neugotisches Friedhofskreuz, Sandstein, zweite Hälfte des 19. Jahrhunderts; Kriegerdenkmal, Erzengel Michael, 1920er Jahre",50.193268,7.152934
Hauptstraße 9,Landkern,"Katholische Pfarrkirche St. Servatius; neugotische Basilika, Schieferbuchstein, 1859–62, Architekt Vincenz Statz, Köln, Westturm 1892–94 durch Neubau ersetzt; Gesamtanlage mit Friedhof",50.192219,7.152773
Hauptstraße 23,Landkern,"ehemaliger Pfarrhof; Fachwerkhaus, teilweise massiv, bezeichnet 1668; Fachwerk-Scheune, teilweise massiv, bezeichnet 1780; Stall, 19. Jahrhundert. Seit 1984 im Besitz des Architekten und Grünen Politiker Holger Haupt und seither dem unwiederbringlichen Verfall ausgeliefert.",50.194018,7.153383
Hauptstraße 37,Landkern,"L-förmige Anlage; Fachwerkhaus und Fachwerkhaus, teilweise massiv, im Kern aus dem 18. Jahrhundert, Veränderungen im 19. Jahrhundert",50.195206,7.153446
Unterer Berg 1,Landkern,"Streckhof; eingeschossiges Fachwerkhaus, teilweise verputzt, im Kern aus dem 18. Jahrhundert, im 19. Jahrhundert überformt",50.193828,7.155674
an der K 17 Richtung Greimersburg,Landkern,"Heiligenhäuschen; Putzbau mit Relief, 18. Jahrhundert",49.160943,11.261586
an der L 107 östlich des Ortes,Landkern,"Meilenstein, Basalt-Obelisk",53.975883,10.588352
"im Landkerner Wald, an der Kreuzung L 98/L 100",Landkern,"Meilenstein; Basalt-Obelisk, bezeichnet 1834","",""
südöstlich des Ortes,Landkern,"Dreifaltigkeitskapelle; sechseckiger Putzbau, Pyramidaldach, 18. Jahrhundert, innen Wegesäule; vier Reliefs, 18. Jahrhundert, eines bezeichnet 1787; Grabkreuzfragment, Sandstein, bezeichnet 1819",50.19437,7.154893
