Denkmalzone Jüdischer Friedhof,Lütz,umzäuntes Areal mit 30 Grabstelen,28.152344,-82.461498
"Herrengrabstraße, auf dem Friedhof",Lütz,"neugotisches Friedhofskreuz, 19. Jahrhundert","",""
Hollstraße 2,Lütz,"Fachwerkhaus, verputzt, 19. Jahrhundert",50.159687,7.359116
Kirchplatz 3,Lütz,"ehemaliges Pfarrhaus und ehemalige Schule; Fachwerkbau, teilweise massiv, verputzt und verschiefert, Mansarddach, 1739",50.160189,7.358972
Kirchplatz 4,Lütz,"altes Rathaus; Fachwerkbau, teilweise massiv, Krüppelwalmdach, drittes Viertel des 18. Jahrhunderts, Backofen",50.159999,7.358954
Kirchplatz 5,Lütz,"Katholische Kirche St. Maximin; barocke Saalkirche, bezeichnet 1753, romanischer Westturm; außen Kreuz, Wegekreuz, zwei Grabkreuze mit Grabplatten",50.160097,7.359241
Mehlgasse 4,Lütz,"Fachwerkhaus, teilweise massiv, abgewalmtes Mansarddach, 18. oder 19. Jahrhundert; Gesamtanlage mit Bruchsteinscheune",50.159947,7.359637
Mehlgasse 6,Lütz,"Fachwerkhaus, abgewalmtes Mansarddach, 18. Jahrhundert",50.159739,7.359825
"Schnellbachstraße 3, Mehlgasse 6",Lütz,"Massivbau, teilweise Fenster mit gotischer Laibung, bezeichnet 1551, Fachwerk-Zwerchhaus wohl aus dem 17. Jahrhundert",50.159739,7.359825
Schnellbachstraße 113,Lütz,"Hakenhof, 19. Jahrhundert; eingeschossiges Fachwerkhaus, Scheune",50.159012,7.360643
an der L 108 beim Gotteshäuser Hof,Lütz,"Wegekapelle; Bruchsteinbau, 19. Jahrhundert; Grabkreuz",53.975883,10.588352
nördlich des Ortes,Lütz,"Wegekapelle; kleiner gratgewölbter Saalbau, 19. Jahrhundert",28.152344,-82.461498
südlich des Ortes am Lützbach,Lütz,Bildstock; neugotische Christusfigur,51.9335,12.225388
