"Denkmalzone Ortskern (Abteistraße, Briedener Weg 2 und 4, Kehrstraße 6, 7, 8, 9 und 11, Kirchstraße, Kochstraße, Pützstraße, Römerstraße 1–11 (ungerade Nummern), 6 und 8, Weinbergstraße 3–13 (ungerade Nummern), 14, 16 und 18, sowie katholische Pfarrkirche, Zehnthofstraße 1–21 (ungerade Nummern) und 2–8 (gerade Nummern))",Mesenich,engerer Dorfkern mit leiterförmigem Grundriss und zahlreichen Fachwerkhäusern seit dem 16. Jahrhundert,"",""
Abteistraße 6,Mesenich,"Massivbau, 17. oder 18. Jahrhundert",50.096077,7.197841
Abteistraße 7,Mesenich,"Fachwerkhaus, teilweise massiv, verputzt, abgewalmtes Dach, dendrodatiert 1478/79 und 1486, Erweiterungen im 18. und am Anfang des 20. Jahrhunderts; Anbau; Ökonomiegebäude mit mittelalterlichem Eingang; Gesamtanlage",50.096326,7.19794
Abteistraße 8,Mesenich,"Fachwerkhaus, teilweise massiv, verputzt, Krüppelwalmdach, Dachstuhl um 1470/80, Umbau wohl im 18. Jahrhundert",50.096257,7.197913
(zwischen) Abteistraße und Römerstraße,Mesenich,"Scheune, um 1480",50.096176,7.197563
An der L 98,Mesenich,"Schwengelpumpe, Gusseisen, Ende des 19. Jahrhunderts",53.975883,10.588352
Briederner Weg 1,Mesenich,"Massivbau, teilweise Fachwerk, dendrodatiert 1529/30",50.09836,7.196547
(bei) Briederner Weg 2,Mesenich,"Schwengelpumpe, Gusseisen, Ende des 19. Jahrhunderts",50.097846,7.196718
Briederner Weg 10,Mesenich,"alte Schule; Bruchsteinbau, 1886/87",50.099105,7.196664
(vor) Briederner Weg 10,Mesenich,"Schwengelpumpe, Gusseisen, Ende des 19. Jahrhunderts",50.099105,7.196664
Briederner Weg 11,Mesenich,"Bruchsteinhaus mit Sandsteingewänden, bezeichnet 1898",50.098868,7.19644
Im Winkel 4,Mesenich,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.097297,7.195937
Kehrstraße 6,Mesenich,"Fachwerkhaus, eternitverschiefert, Mansarddach, 18. Jahrhundert",50.097516,7.196206
Kirchstraße 5,Mesenich,"Massivbau mit Fachwerkerker, dendrodatiert 1460 ± 5 Jahre",50.096488,7.197122
Kirchstraße 6,Mesenich,"ehemaliger Brauweiler Hof, Zehnthof der Abtei Brauweiler; repräsentativer Krüppelwalmdachbau, Wappen des Abtes Amandus Herriger (1756–78), um 1770, Architekt wohl Nikolaus Lauxen; barocke Nikolausfigur; Kelterhaus, dendrodatiert 1651",50.096366,7.196988
Kirchstraße 7,Mesenich,"Massivbau, im Kern spätmittelalterlich, 15. Jahrhundert, Fachwerkerker, bezeichnet 1762",50.09654,7.197311
Kirchstraße 8,Mesenich,"Kelterhaus, teilweise Fachwerk, um 1605/06",50.096499,7.197437
