Denkmalzone Friedhof (Oberstraße),Moselkern,"auf dem Friedhof Kapelle: Zentralraum mit Dachreiter, 1910, Architekten Franz Schenk und K. Frank, Saarbrücken; Knorpelkartusche bezeichnet 1707; Friedhofskreuz mit Pfarrergrablege; in der Umfassungsmauer (Innenseite) 19 Grabkreuze vom 16. bis zum 18. Jahrhundert, außen Nischen, unter anderem mit neubarockem Vesperbild, 20. Jahrhundert; Portal bezeichnet 1916",50.194508,7.371692
Am Bahnhof 2–4,Moselkern,"Bahnhof; eingeschossige Empfangshalle, Fachwerkgüterschuppen, zweigeschossiger Wirtschaftsteil mit Wohnung, Heimatstil, 1909; Gesamtanlage mit Gleisen",50.19546,7.371863
Bergweg 1,Moselkern,"Bruchsteinbau, um 1900/10",50.193545,7.370192
Elztalstraße,Moselkern,"Alte Lohmühle; 19. Jahrhundert; späthistoristische Bruchsteinvilla, Ende des 19. Jahrhunderts; zwei Bruchsteinmühlengebäude; Fabrikgebäude; Gesamtanlage mit Garten",50.194508,7.371692
Fährstraße 2,Moselkern,"Hotel „Burg Eltz“; dreigeschossiger Bruchsteinbau, bezeichnet 1902",50.192576,7.370273
Kirchstraße 2,Moselkern,"Krüppelwalmdachbau, bezeichnet 1767",50.191596,7.368746
Kirchstraße 5,Moselkern,"Fachwerkhaus, teilweise massiv, bezeichnet 1629",50.19159,7.368539
"Kirchstraße, Ecke Moselstraße",Moselkern,Garten mit Eckpavillons,50.191503,7.368826
Moselstraße,Moselkern,"zweibogige Brücke über den Elzbach, bezeichnet 1892",50.191711,7.369563
Moselstraße 5,Moselkern,"ehemaliges Halfenhaus; Fachwerkbau, teilweise massiv, Krüppelwalmdach, bezeichnet 1738",50.19546,7.371863
(an) Moselstraße 10,Moselkern,"Nischenfigur, 19. oder 20. Jahrhundert",50.19546,7.371863
Moselstraße 13,Moselkern,"dreigeschossiges klassizistisches Fachwerkhaus, verputzt, Krüppelwalmdach, Anbau mit Gusseisenloggia, um 1900",50.19546,7.371863
Moselstraße 15,Moselkern,"Wegekreuz, 19. Jahrhundert",50.19546,7.371863
Moselstraße 31,Moselkern,"späthistoristische Bruchstein-Villa, teilweise Fachwerk, Moselstil, um 1900",50.19546,7.371863
Moselstraße 33,Moselkern,"späthistoristische mehrflügelige Bruchstein-Villa, teilweise Fachwerk, um 1900; Gesamtanlage mit Garten",50.19546,7.371863
Oberstraße 7,Moselkern,"Winzervilla; Mansarddachbau, Bruchstein; bauliche Gesamtanlage mit Ökonomie",50.19546,7.371863
Oberstraße 14,Moselkern,"Bruchsteinbau, teilweise Fachwerk, erste Hälfte des 16. Jahrhunderts",50.19546,7.371863
Oberstraße 21,Moselkern,"ehemaliges Gräflich von Eltzsches Oberrentamt; breiter Putzbau, bezeichnet 1709; historistischer Treppenturm, 19. Jahrhundert; Gesamtanlage mit Garten",50.19546,7.371863
Oberstraße 22,Moselkern,"Winzerhaus, Schieferbruchstein, 19. Jahrhundert",50.19546,7.371863
(an) Oberstraße 33,Moselkern,"Oberlichttür, bezeichnet 1821",50.19546,7.371863
(an) Oberstraße 43,Moselkern,"Türsturz, bezeichnet 1722",50.19546,7.371863
Oberstraße 47,Moselkern,"ehemaliges Rathaus; dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1535; Rückseite wohl aus der zweiten Hälfte des 16. Jahrhunderts",50.19546,7.371863
Oberstraße 57,Moselkern,"Katholische Pfarrkirche St. Valerius; Saalbau, 1788–90, romanischer Westturm, Turmportal bezeichnet 1781; über dem Turmportal Vesperbild, bezeichnet 1681; merowingischer Grabstein (Abguss); Missionskreuz, 18. Jahrhundert; Assistenzfiguren des alten Hochaltars, 18. Jahrhundert; Grabkreuz, 1755; Basaltkreuz, 1766; Grabplatte, 1791; Marienkrönung, Anfang des 18. Jahrhunderts; Grabmal mit Vase; Kriegerdenkmal, neubarocker reliefierter Pylon",50.19546,7.371863
Oberstraße 60,Moselkern,"Fachwerkhaus, verputzt, Anfang des 19. Jahrhunderts",50.19546,7.371863
Oberstraße 62,Moselkern,"späthistoristisch-romantisches Bruchsteinhaus, bezeichnet 1897; Gesamtanlage mit Garten",50.19546,7.371863
"Oberstraße, Ecke Fährstraße",Moselkern,"Fachwerkscheune, teilweise massiv, um 1800",50.19546,7.371863
Seilerstraße 1,Moselkern,"Fachwerkhaus, teilweise massiv, bezeichnet 1717",50.19546,7.371863
an der K 33 Richtung Münstermaifeld,Moselkern,"Kapelle, Bruchstein, 1876/80; drei Kreuzwegstationen, Bruchstein, reliefierte Bildstock- oder Stelentypen",49.160943,11.261586
nördlich des Ortes,Moselkern,"Heiligenhäuschen mit Kreuz; Eiche und Basalt, bezeichnet 1689 und 1733",50.194508,7.371692
nördlich des Ortes,Moselkern,"Weinbergkapelle, neugotischer Zentralbau, Bruchstein, 1891",50.194508,7.371692
