(an) Bachstraße 4,Müden (Mosel),"Tür, Anfang des 19. Jahrhunderts",50.184998,7.339173
Hauptstraße 12,Müden (Mosel),"Hofreite; drei Fachwerkhäuser, teilweise massiv, bezeichnet 1638, 1664 (Fachwerk aus dem 16. Jahrhundert), 1774",52.874573,10.123348
Hauptstraße 21,Müden (Mosel),"ehemaliger Weinhof der Grafen von Eltz; Fachwerkhaus, teilweise massiv, Ständerbau, 16. Jahrhundert",52.874573,10.123348
Hauptstraße 22/24,Müden (Mosel),"zwei dreigeschossige Fachwerkhäuser, teilweise massiv, Nr. 22 dendrodatiert 1452/53, Nr. 24 um 1490",52.874573,10.123348
Hauptstraße 27,Müden (Mosel),"Fachwerkhaus, teilweise massiv, bezeichnet 1671, eventuell älter",52.874573,10.123348
Hauptstraße 28,Müden (Mosel),"Fachwerkhaus, teilweise massiv, bezeichnet 1744",52.874573,10.123348
Hauptstraße 37,Müden (Mosel),"Wegekreuz, Basalt, bezeichnet 1705",52.874573,10.123348
(an) Hauptstraße 43,Müden (Mosel),"barockes Relief, Ende des 17. Jahrhunderts",52.874573,10.123348
Hauptstraße 44,Müden (Mosel),"Fachwerkhaus, teilweise massiv, bezeichnet 1614 und 1722; rückwärtiger Bau, 17. Jahrhundert",52.874573,10.123348
(an) Hauptstraße 51,Müden (Mosel),"barockes Relief, bezeichnet 1671, in Backsteinstele, 19. Jahrhundert",52.874573,10.123348
"Hauptstraße, Ecke Hochkreuz",Müden (Mosel),"Wegekreuz, Basalt, 1699",52.874573,10.123348
Kirchstraße 2,Müden (Mosel),"Katholische Kirche St. Stephan; romanischer Rautenturm, um 1200, Chor spätgotisch gewölbt, Schiff 1923; Gesamtanlage mit Friedhof; hier: Kreuz, 1939; Wegekreuz, bezeichnet 1708; 24 Grabkreuze, 17. und 18. Jahrhundert; sieben Kreuzfragmente, 18.und 19. Jahrhundert; Kriegerdenkmal; 18 Grabkreuze, 18. Jahrhundert; Kreuz, bezeichnet 1678; zwei Grabkreuze; fünf Kreuze, unter anderem von 1573, 1582 und aus dem 18. Jahrhundert; Wegekreuz, bezeichnet 1722",50.184998,7.339173
Moselstraße 1,Müden (Mosel),"Halfenhaus; Fachwerkbau, teilweise massiv, Krüppelwalm, bezeichnet 1658 (?) und 1738, eher aus dem 18. Jahrhundert",50.184998,7.339173
Moselstraße 5,Müden (Mosel),"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1665 und 1784 (Umbau)",50.184998,7.339173
Schulstraße 2,Müden (Mosel),"Bruchsteinhaus, bezeichnet 1871; Gesamtanlage",52.874573,10.123348
(an) Silberstraße 24,Müden (Mosel),"Kellerportal, 16. oder 17. Jahrhundert",50.184998,7.339173
"Silberstraße, Ecke Hauptstraße",Müden (Mosel),"Kapelle, 19. Jahrhundert, neugotische Kreuzigungsgruppe",50.184998,7.339173
Speichstraße 5,Müden (Mosel),"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.184998,7.339173
Speichstraße 8,Müden (Mosel),"Fachwerkhaus, teilweise massiv, bezeichnet 1610, wohl eher aus dem späten 17. Jahrhundert",50.184998,7.339173
am Osterhof nördlich des Ortes,Müden (Mosel),"Kapelle, 19. Jahrhundert",50.19802,7.340862
an der Mosel,Müden (Mosel),"Marienkapelle; Wegekapelle, Saalbau, 1875; Vesperbild, 18. Jahrhundert",49.949913,7.122661
in der Nähe des Osterhofs nördlich des Ortes,Müden (Mosel),"Wegekreuz; Basalt, bezeichnet 1884",50.185228,7.338158
nördlich des Ortes,Müden (Mosel),"Relief, barock, eingesetzt in modernen Bildstock",50.185228,7.338158
nordwestlich des Ortes,Müden (Mosel),"Kapelle, Backstein, bezeichnet 1895, neugotische Figuren; Kreuzwegstationen, Backstein, reliefierter Stelentyp, 1895",50.185228,7.338158
Müdenerberg 8,Müden (Mosel),"Kapelle; Saalbau, Bruchstein, bezeichnet 1856",50.194727,7.332274
