Denkmalzone Burg Pyrmont (südöstlich des Ortes),Roes,"1225 erwähnt, wohl von Kuno von Schönberg dem Jüngeren (1209–1225) errichtet, ab 1810 abgebrochen; Hauptburg mit zwei durch Gräben getrennte Vorburgen; runder Bergfried, 13. Jahrhundert, nördlich weitere Reste; Chor der Kapelle südlich des Schlosses erhalten, 15. Jahrhundert; Ausbau zum Schloss: Wohnhaus 1712 begonnen, ehemals dreigeschossiger Putzbau mit Walmdach, ab 1963 von Architekt Helmut Hentrich, Düsseldorf, zu Wohnzwecken unter anderem mit Flachdach wieder aufgebaut; an Südwestseite Niederburg mit zwei Rundtürmen, jenseits des Halsgrabens Vorburg mit Einbauten",50.243967,7.256941
Hauptstraße 38,Roes,ehemaliger Pyrmonter Zehnthof; massives Wohnhaus mit Krüppelwalmdach,50.2452,7.259079
Kirchstraße 2,Roes,"Katholische Filialkirche St. Aegidius; Saalbau, Bruchstein, 1861/62",50.244566,7.258873
"Zur Schwanenkirche, auf dem Friedhof",Roes,"Wegekreuz; Basalt, bezeichnet 1697",50.242607,7.256627
an der K 25 Richtung Brachtendorf,Roes,"Wegekreuz; Basalt, 17. Jahrhundert",49.160943,11.261586
an der K 25 Richtung Forst,Roes,Wegekreuz,49.160943,11.261586
an der K 25 Richtung Kaifenheim,Roes,"Meilenstein; Obelisk, erstes Drittel des 19. Jahrhunderts",49.160943,11.261586
an der K 27,Roes,"Wegekreuz; Basalt, bezeichnet 1603",49.160943,11.261586
"an der K 27, nordöstlich der Pyrmonter Mühle",Roes,"Brücke mit Brückenkapelle, 20. Jahrhundert, darin barockes Dreifaltigkeitsrelief; Wegekreuz; skulptierter Basaltpfeiler",49.160943,11.261586
an der Kreuzung der K 25 mit der Straße nach Kaifenheim,Roes,"Wegekreuz, bezeichnet 1847","",""
nordöstlich des Ortes Richtung Mühlen,Roes,"Wegekreuz; Basalt, bezeichnet 1758",50.243967,7.256941
"Schwanenkirche 3, an der K 25 südlich des Ortes",Roes,"Schwanenkirche; Saalbau, 1952; Wegekreuz, bezeichnet 1705",50.243137,7.258352
südlich der Burg Pyrmont,Roes,"Pyrmonter Mühle; Fachwerkhaus, teilweise massiv, Krüppelwalmdach, 18. oder 19. Jahrhundert",50.243967,7.256941
