"Denkmalzone Ortskern (Alte Kirchgasse, Am Moselstausee, Auf der Teusch 1, 2, 3, 8, 9, 10, Brunnenstraße, Christophorusstraße 1–14 (alle Nummern), Kapellenstraße, Moselpromenade 2–15 (alle Nummern), Römerstraße, Zehnthausstraße 1 und 2–8 (gerade Nummern))",Sankt Aldegund,"Dorfkern um die Alte Kirchgasse mit Fachwerkhäusern des 16. bis 19. Jahrhundert , wenigen Backstein- und Putzbauten des 18. bis frühen 20. Jahrhunderts einschließlich des Alten Rathauses und der mittelalterlichen, im 18. Jahrhundert umgebauten alten katholischen Pfarrkirche mit dem alten Friedhof und der neuen katholischen Pfarrkirche","",""
Alte Kirchgasse,Sankt Aldegund,"Wegekreuz, bezeichnet 1656",50.082553,7.129237
Alte Kirchgasse 2,Sankt Aldegund,"Fachwerkhaus, teilweise massiv, verputzt, 16. Jahrhundert; zweite Haushälfte: dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1619",50.082449,7.129551
Alte Kirchgasse 5,Sankt Aldegund,"ehemalige Schule (?); eingeschossiger Putzbau, angeblich um 1500, 1769 nachgewiesen",50.082536,7.129345
Alte Kirchgasse 6a,Sankt Aldegund,"Alte Katholische Pfarrkirche St. Bartholomäus; Westturm mit spätromanischem Rhombendach, Turmspitze und Gauben spätgotisch; dreiachsiges Schiff, im Kern gotisch, Umbau im 18. Jahrhundert (1762/63?); Friedhof: acht Grabkreuze, 1728, 1766, 1783, 1811; reliefiertes Grabkreuz, 18. Jahrhundert; unterhalb der Kirche Quelle; Gesamtanlage mit altem Friedhof",50.082438,7.128967
Alte Kirchgasse 7,Sankt Aldegund,"Fachwerkhaus, teilweise massiv oder verschiefert, 16. Jahrhundert; Gesamtanlage",50.08249,7.129318
Am Moselstausee 6,Sankt Aldegund,"Fachwerkhaus, teilweise massiv, Ständerbau, wohl noch aus dem 16. Jahrhundert",50.082958,7.131267
Am Moselstausee 9,Sankt Aldegund,"späthistoristischer Backsteinbau, Neurenaissancemotive, bezeichnet 1896",50.082657,7.131348
(an) Am Moselstausee 12,Sankt Aldegund,"Barockportal, bezeichnet 1782",50.082218,7.131078
(neben) Am Moselstausee 14,Sankt Aldegund,"Weinkeller; winkelförmig, Bruchstein, bezeichnet 1892",50.081969,7.130935
