Denkmalzone Burg Ulmen,Ulmen (Eifel),"Burganlage bestehend aus Niederburg, vor 1292, und Oberburg, 1679 teilzerstört; zwingerartiger Torweg, von der Niederburg nur geringe Mauerreste; in der Oberburg die Umfassungsmauern des kurtrierischen Amtshauses, einem im Kern spätmittelalterlichen Bau, der 1682/83 instand gesetzt wurde, Teile der Ringmauer, Brunnen rekonstruiert; einschließlich Burgberg sowie der Gebäude des 18. und 19. Jh.d in Bachstraße 2 und Burgfrieden 4, 5, 8 und 12",50.210445,6.978122
Am Maar,Ulmen (Eifel),"Katholische Pfarrkirche St. Matthias; zweischiffige Hallenkirche, 1905, unter Verwendung von Mauerteilen des spätgotischen Vorgängers; Querhaus anstelle des Chors, 1966/67; Friedhof: Grabmal Bonsig, 19. Jahrhundert; Kriegerdenkmal, 1920er Jahre; Gesamtanlage aus Kirche und Friedhof",50.21086,6.966327
Antoniusstraße 2,Ulmen (Eifel),"ehemaliges kurtrierisches Zehnthaus; Mansarddachbau, bezeichnet 1727",50.20762,6.981069
"Cochemer Straße, Ecke Burgfrieden",Ulmen (Eifel),"Wegekreuz; Sandstein, erstes Drittel des 18. Jahrhunderts",50.212555,6.982883
(an) In der Lay 1,Ulmen (Eifel),"Wegekreuz; Basalt, bezeichnet 1817",50.210105,6.980601
In der Lay 2,Ulmen (Eifel),"Fachwerkhaus, Ökonomiegebäude, um 1840",50.20988,6.98
(an) In der Lay 3,Ulmen (Eifel),"Wappen, 18. Jahrhundert",50.210277,6.980763
(zu) In der Lay 3,Ulmen (Eifel),"Fachwerkhaus, Ständerbau, frühes 16. Jahrhundert, im 19. Jahrhundert überformt",50.210277,6.980763
In der Lay 4,Ulmen (Eifel),"Fachwerkhaus, teilweise massiv, erstes Drittel des 19. Jahrhunderts",50.209776,6.980251
Winkelstraße 22,Ulmen (Eifel),"ehemalige Schule; Putzbau auf Bruchsteinsockel, teilweise Fachwerk, Heimatstil, bezeichnet 1910/11",50.208963,6.974367
(an) Winkelstraße 36,Ulmen (Eifel),"Bildstock,19. Jahrhundert",50.208963,6.974367
"an der L 101 südöstlich des Ortes, in der Nähe des Wasserwerks",Ulmen (Eifel),"Antoniuskapelle; offene Kapelle, bezeichnet 1659; Kreuz, bezeichnet 1659, Wappen des kurtrierischen Amtsmanns Georg von Metzenhausen",53.975883,10.588352
an der L 101 südöstlich des Ortes,Ulmen (Eifel),"Wasserwerk; zwei Basaltbruchsteingebäude, bezeichnet 1940; Gesamtanlage",53.975883,10.588352
Ulmener Straße 1,Ulmen (Eifel),"Katholische Filialkapelle St. Anna; Saalbau, im Kern spätgotisch (1521), Verlängerung um Turm bezeichnet 1793",50.199819,6.957766
Ulmener Straße 3,Ulmen (Eifel),"Hakenhof, 19. Jahrhundert",50.199905,6.957614
(vor) Ulmener Straße 4,Ulmen (Eifel),"Schwengelpumpe, mit Vase, bezeichnet 1909",50.199606,6.957946
