Bachstraße 2,Valwig,"Fachwerkhaus, teilweise massiv, frühes 17. Jahrhundert, Torbogen bezeichnet 1607",50.142717,7.210561
Bachstraße 4,Valwig,"ehemalige Schule; dreigeschossiges Fachwerk(?)haus, verputzt, im Kern wohl aus dem 16. Jahrhundert",50.142816,7.210561
Brühlstraße 16,Valwig,"Winzerhaus; Bruchsteinbau, bezeichnet 1610",50.142544,7.208055
Herrenbergstraße 12,Valwig,"Kelterhaus; Fachwerkbau, teilweise massiv, 18. Jahrhundert",50.143139,7.210732
(bei) In der Schweiz 10,Valwig,"Wegekreuz; Basalt, bezeichnet 1767",50.143116,7.212097
Kreuzstraße,Valwig,"Katholische Filialkirche St. Martin; dreischiffige Hallenkirche, Bruchstein, Rundbogenstil, 1823–26, Architekt Johann Claudius von Lassaulx, Koblenz; Friedhof: Missionskreuz, 1867; Kriegerdenkmal, reliefierte Stele; Grabkreuze; 18. Jahrhundert; Grabkreuz Meschel, gestorben 1870; Gesamtanlage mit Friedhof",50.142706,7.209959
Kreuzstraße 5,Valwig,"Fachwerkhaus, teilweise massiv, verputzt, 17. Jahrhundert",50.142579,7.209977
Kreuzstraße 6,Valwig,"Bruchsteinbau, Konsolenfries, Mitte des 19. Jahrhunderts",50.142648,7.210031
nördlich des Ortes,Valwig,Weinbergkapelle; Saalbau,50.142498,7.210004
westlich des Ortes,Valwig,"Wegekreuz, Basalt, bezeichnet 1619",50.142498,7.210004
Kapellenweg,Valwig,"Wallfahrtskirche St. Maria und Maria Magdalena; spätgotischer Chor, um 1440, dreischiffige Stufenhalle, um 1500/10",50.149806,7.222266
Kapellenweg,Valwig,vier Kreuzwegstationen,50.149806,7.222266
Kapellenweg 3,Valwig,"ehemaliges Pfarrhaus; Krüppelwalmdachbau, Fachwerk verputzt, teilweise massiv, um 1760",50.149858,7.222913
