Friedhofstraße 1,Bruchmühlbach,"Katholische Pfarrkirche St. Maria Magdalena; neuromanischer Saalbau, 1863/64, Architekt Ludwig Hagemann, Speyer, erweitert 1932, 1947 und 1959 von Tameran, Seeberger, Stempfle und Wingert",49.390369,7.465323
Kaiserstraße 19,Bruchmühlbach,"ehemaliges katholisches Pfarrhaus (?), spätklassizistischer Krüppelwalmdachbau, um 1860",49.38946,7.439838
Kaiserstraße 21,Bruchmühlbach,"Hofanlage, drittes Viertel des 19. Jahrhunderts; spätklassizistische Einfirstanlage mit Torbogen, Ladeneinbau des 19. Jahrhunderts",49.38946,7.439838
Kaiserstraße 47,Bruchmühlbach,"Hofanlage, Ende des 18. oder 19. Jahrhundert; spätbarockes Wohnhaus, teilweise Fachwerk, bezeichnet 1792; Hofflügel wohl gleichzeitig, Wirtschaftsgebäude, gründerzeitlicher Fabrik-Schornstein",49.38946,7.439838
Kaiserstraße 54,Bruchmühlbach,"Wohnhaus (ehemalige Schule?); stattlicher gründerzeitlicher Putzbau mit Mittelrisalit, zweite Hälfte des 19. Jahrhunderts",49.38946,7.439838
Kaiserstraße 76,Bruchmühlbach,"Hofanlage; spätklassizistisches Wohnhaus, um das dritte Viertel des 19. Jahrhunderts; dahinter mehrteilige Baugruppe mit dreigeschossigem Lagerhaus, wohl aus der ersten Hälfte des 19. Jahrhunderts",49.38946,7.439838
Tausendmühle,Bruchmühlbach,"spätklassizistisches Hauptgebäude mit Kniestock, wohl um 1870/80",49.379126,7.457203
Schanzerstraße 2,Elschbach,"Einfirstanlage, teilweise Fachwerk, wohl aus der ersten Hälfte des 19. Jahrhunderts",49.416596,7.433325
Bahnhofstraße 3,Miesau,"ehemalige (?) Schmiede; kleiner Putzbau mit Torbogen, 19. Jahrhundert",49.38946,7.439838
Bahnhofstraße 4,Miesau,"stattliche Hofanlage, Ende des 19. Jahrhunderts; Walmdachbau mit Mittelrisalit, Neurenaissance, Großscheune",49.38946,7.439838
"Elschbacher Straße, auf dem Friedhof",Miesau,"Grabstätte Familie Dr. Pracht, Granitstele mit lebensgroßem Galvanorelief, 1902, Bildhauer Menges, Kaiserslautern; Grabmal Karl Weber, spätklassizistische Stele, Mitte des 19. Jahrhunderts",49.408103,7.435697
Hütschenhauser Straße 4,Miesau,"Hofanlage, Vierseithof, 19. Jahrhundert; spätklassizistisches Wohnhaus mit Kniestock, um 1870, Altenteil bezeichnet 1838",49.405137,7.43859
Hütschenhauser Straße 11,Miesau,"Hofanlage, Ende des 18. oder 19. Jahrhundert; spätbarocker Krüppelwalmdachbau, bezeichnet 1780, Nebengebäude",49.405225,7.438419
St. Wendeler Straße 18,Miesau,"ehemalige Schule; langgestreckter klassizistischer Putzbau, um 1830, wenig später erweitert",59.27986,11.123596
St. Wendeler Straße 24,Miesau,"Protestantische Kirche; barocker Saalbau, 1738",59.286548,11.116535
St. Wendeler Straße 25/27,Miesau,"Doppelwohnhaus; eineinhalbgeschossiger spätgründerzeitlicher Klinkerbau, um 1900",7.115207,-73.139752
St. Wendeler Straße 26,Miesau,"Protestantisches Pfarrhaus; Walmdachbau, Heimatstil, 1929",59.279887,11.122284
"St. Wendeler Straße, Ecke Elschbacher Straße",Miesau,"Kriegerdenkmal 1914/18, um 1930, nackter Krieger",7.115207,-73.139752
an der L 356,Miesau,"Schanzenmühle; Vierseitanlage, 19. Jahrhundert; spätklassizistisches Hauptgebäude mit Mezzanin und Mühlenteil; Scheune; gründerzeitliches Gartenhaus mit originalen Glasfenstern, gegen 1900",53.975883,10.588352
an der L 356 am westlichen Ortsausgang,Miesau,"Wasserbehälter; Fassade mit Segmentgiebel, bezeichnet 1912",53.975883,10.588352
Dorfstraße 13,Vogelbach,"Simultankirche St. Philippus und Jakobus; romanischer Saalbau nach Art der Wormser Schule, um 1200, um 1500, 1751 (bezeichnet) und 1821 verändert, achteckiger spätgotischer Turm",49.37932,7.427522
Vogelbachermühle 1 (nordwestlich des Ortes),Vogelbach,"Vogelbachermühle; langgestrecktes Hauptgebäude, teilweise Fachwerk, wohl aus der ersten Hälfte des 19. Jahrhunderts",,
