Alsenzstraße 1,Alsenborn,"sogenanntes Orthsches Haus; spätbarockes Herrenhaus; Mansarddachbau, bezeichnet 1600, klassizistisches Portal",49.492697,7.919332
"Burgstraße, auf dem Friedhof",Alsenborn,"Kriegergedächtniskapelle 1914/18, neuklassizistische Rotunde, bezeichnet 1921; Kriegerdenkmal 1849, 1866 und 1870/71, Löwe, Sandstein, Porträt-Relief des Prinzregenten Luitpold, Bronze, um 1900",48.074934,8.643239
Rosenhofstraße 56,Alsenborn,"Walmdach-Villa, Turmrisalit, 1920er Jahre",49.490315,7.909495
Rosenhofstraße 73,Alsenborn,"sogenanntes Kutschenhaus Ritter; zweiflügeliger späthistoristischer Krüppelwalmdachbau, tleilweise Fachwerk, Remise, um 1900/10",49.490789,7.916844
Rosenhofstraße 95,Alsenborn,"Protestantische Pfarrkirche; ehemals St. Vitus, barocker Saalbau, 1733, Chorturm aus der Mitte des 13. Jahrhunderts, 1686 aufgestockt, Schieferhaube wohl 1733",49.491158,7.920742
Rosenhofstraße 104,Alsenborn,"ehemalige Schule; langgestreckter zweiteiliger Walmdachbau, 1823/24",49.490707,7.919628
Rosenhofstraße 106,Alsenborn,"große Hofanlage; spätbarocker Krüppelwalmdachbau, bezeichnet 1798",49.490678,7.920428
Rosenhofstraße 108,Alsenborn,"sogenanntes Haus Althoff; eingeschossiger barocker Mansardwalmdachbau über Hochkeller, bezeichnet 1728",49.490508,7.9205
"





Alsenzstraße 1",Enkenbach,"sogenanntes Orthsches Haus


",49.492697,7.919332
"





Burgstraße",Enkenbach,"Friedhof; Kriegergedächtniskapelle 1914/18


",49.491041,7.925566
"





Burgstraße",Enkenbach,"Friedhof; Kriegerdenkmal 1849, 1866 und 1870/71


",49.491041,7.925566
"





Rosenhofstraße",Enkenbach,"Protestantische Pfarrkirche


",49.489759,7.910412
"





Rosenhofstraße 104",Enkenbach,"ehemalige Schule


",49.490707,7.919628
"





Rosenhofstraße 108",Enkenbach,"sogenanntes Haus Althoff


",49.490508,7.9205
Denkmalzone Daubenbornerhof (Daubenbornerhof 1–5),Enkenbach,"gut erhaltene Hofanlagen vom 18. bis zum Anfang des 20. Jahrhunderts, die Wirtschaftsgebäude oft aus unverputztem Rotsandstein; gepflasterte Hofräume; Friedhof, zweite Hälfte des 19. Jahrhunderts",49.485756,7.897835
Kirchenstraße 15,Enkenbach,"Protestantische Kirche; spätklassizistischer Saalbau, 1832/33, neuromanischer Frontturm, fortgeschrittenes 19. Jahrhundert",49.488407,7.897045
Klosterstraße 9,Enkenbach,"Hofanlage; spätbarockes Fachwerkwohnhaus, bezeichnet 1774, Scheune, bezeichnet 1855",49.486137,7.898356
Klosterstraße 10,Enkenbach,"Katholische Pfarrkirche St. Norbert; ehemalige Klosterkirche St. Maria, spätromanische Gewölbebasilika, nach Abbruch von Klostergebäuden und südlichem Kreuzarm 1707/08 mit Turm über Vorhalle wiederhergestellt, 1876/77 südlicher Kreuzarm und Chor in romanischen Formen aufgebaut",49.486195,7.899156
"Ludwigshohl, Ecke Neuhohl",Enkenbach,"Ziehbrunnen, wohl vor 1835",49.485663,7.896048
Sembacher Straße,Enkenbach,"Kriegerdenkmal 1870/71; Obelisk aus Rotsandstein, letztes Viertel des 19. Jahrhunderts",49.49296,7.890631
"Sembacher Straße, auf dem Friedhof",Enkenbach,"Grabmal M. Krehbiehl, spätklassizistische Stele, 1839; Grabmal Familie Gebrüder Riess, Jugendstil-Schauwand, Sandstein, Inschrifttafeln Granit, um 1905/10; Grabmal D. F. Müller, gründerzeitliche Rotsandsteinstele, um 1900",49.49296,7.890631
an der B 48 nördlich des Ortes,Enkenbach,"ehemaliges protestantisches Kindererholungsheim; herrenhausartiger neubarocker Mansardwalmdachbau, Turmrisalit, bezeichnet 1906",54.137362,10.495574
an der B 48 nördlich des Ortes,Enkenbach,"Hahnerhof; Vierseithof, im Wesentlichen aus der Mitte des 19. Jahrhunderts; Wohnhaus und Scheune einfirstartig, langgestreckte Stallung",54.137362,10.495574
an der B 48 nördlich des Ortes,Enkenbach,"Obere Eselsmühle; Hofanlage; Mühle und Wohnhaus unter einem (Walm-)Dach, im Kern vielleicht aus dem 18. Jahrhundert, heutiges Erscheinungsbild vor allem aus dem 19. Jahrhundert",54.137362,10.495574
Daubenbornerhof 5,Enkenbach,"Hofanlage, Vierseithof; spätbarockes Einfirsthaus, teilweise Fachwerk, bezeichnet 1781 und 1868",49.465526,7.864104
"





Kirchenstraße",Enkenbach,"Protestantische Kirche


",49.487857,7.897018
"





Klosterstraße 9",Enkenbach,"Hofanlage


",49.486137,7.898356
"





Klosterstraße 10",Enkenbach,"Katholische Pfarrkirche St. Norbert


",49.486195,7.899156
"





Ludwigshohl/Ecke Neuhohl",Enkenbach,"Ziehbrunnen


",49.485663,7.896048
