Denkmalzone Alter Friedhof (Friedhofstraße),Frankenstein (Pfalz),"reich verzierte Stele, um 1861; barocker Doppel-Grabstein, um 1750; Kreuzigungsgruppe mit Stifterfamilie, um 1760 sowie zwei weitere, um 1787 und um 1758; Kriegerdenkmal 1914/18, Sandstein, 1920er Jahre; klassizistischer Obelisk, nach 1772",49.438487,7.978082
Am Friedhof 1,Frankenstein (Pfalz),"Protestantische Kirche; neugotischer Saalbau, 1871/72, Bauinspektor Tanera und Bezirksbaumeister Julius Huth, Kaiserslautern; Ensemble mit Burgruine und Tunnelportal der Bahnlinie Ludwigshafen am Rhein–Saarbrücken",49.438469,7.976276
Hauptstraße 9,Frankenstein (Pfalz),"Bahnhof; zweieinhalbgeschossiger spätklassizistischer Walmdachbau mit Giebelrisalit, wohl drittes Viertel des 19. Jahrhunderts",49.439055,7.969853
Hauptstraße 19,Frankenstein (Pfalz),"Katholische Kirche Heilige Dreifaltigkeit und St. Ludwig; Saalbau, barockisierender Heimatstil, 1932/33, Architekt Paul Klostermann",49.439167,7.971785
Hauptstraße 22,Frankenstein (Pfalz),"eingeschossiges Unterstallhaus, Mitte des 19. Jahrhunderts",49.43912,7.972162
Hauptstraße 54,Frankenstein (Pfalz),"ehemalige Schule; Krüppelwalmdachbau, Heimatstil, Portalvorhalle, Jugendstil",49.440256,7.975126
Hauptstraße 98,Frankenstein (Pfalz),"Wohnhaus, stattlicher spätklassizistischer Krüppelwalmdachbau, um 1850, Anbau des 19. Jahrhunderts",49.438739,7.977633
oberhalb des Ortes,Frankenstein (Pfalz),"Burgruine Frankenstein; von der Anfang des 13. Jahrhunderts errichteten Anlage erhalten: Reste der Ringmauer und des Bergfried (Oberburg), des Wohnhauses, des ehemaligen Saals und der Kapelle (Unterburg); Zwinger und Flankenturm, wohl 15. Jahrhundert",49.438487,7.978082
nächst der B 37,Frankenstein (Pfalz),Tunnelportal; drittes Viertel des 19. Jahrhunderts,48.301866,15.066562
unterhalb der Burgruine,Frankenstein (Pfalz),"Tunnelportal der 1848 eröffneten Bahnlinie Ludwigshafen am Rhein–Saarbrücken; abgestufter Zinnengiebel, Rotsandsteinquader",49.438487,7.978082
Diemerstein,Frankenstein (Pfalz),"Brunnen, 19. Jahrhundert",49.4439,7.961373
Diemerstein,Frankenstein (Pfalz),"Brunnenstube, 19. Jahrhundert",49.4439,7.961373
Diemerstein 2,Frankenstein (Pfalz),"ehemalige Posthalterei; spätbarocker Massivbau, bezeichnet 1763, Baumeister Schmeisser; langgestreckter Rotsandsteinquader-Anbau, 19. Jahrhundert",49.438487,7.978082
Diemerstein 9,Frankenstein (Pfalz),"Villa Denis; sogenanntes Schlösschen, klassizistische Baugruppe mit Belvedereturm, 1847",49.438487,7.978082
"2 km oberhalb Frankenstein, kurz vor Mündung des Glasbachs in den Hochspeyerbach",Frankenstein (Pfalz),"Burgruine Diemerstein; Ringmauerreste der Unterburg; Bergfried, 13. Jahrhundert; Reste eines Wohnhauses, 16. Jahrhundert; 1847 Wiederherstellung von Ringmauer, Treppenanlagen, Felsgang",48.785201,132.904039
