Bachstraße ohne Nummer,Katzweiler,"ehemalige Mühle; Dreiflügelanlage, um 1830/40, im Kern wohl älter; Krüppelwalmdachbau, teilweise Fachwerk, mit Mühlenteil; Wasserrad; Ökonomiegebäude, Rotsandstein",49.503462,7.699838
Hauptstraße,Katzweiler,"Kilometerstein, Sandstein-Zylinder, 19. Jahrhundert",47.540529,8.824735
Hauptstraße,Katzweiler,"Kriegerdenkmal 1914/18, 1920er Jahre",47.540529,8.824735
Hauptstraße 23,Katzweiler,"Hofanlage, Hakenhof, erste Hälfte des 19. Jahrhunderts; eingeschossiges klassizistisches Wohnhaus, teilweise Fachwerk, bezeichnet 1815",47.539914,8.821447
Hauptstraße 36,Katzweiler,"ehemaliger Lehnshof der Grafen von der Leyen; Einfirstanlage, bezeichnet 1732, wohl im späten 18. Jahrhundert verändert",47.545875,8.843088
Hauptstraße 51,Katzweiler,"Protestantische Pfarrkirche; klassizistischer Saalbau, 1822–26, Kreisbauinspektor Friedrich Samuel Schwarze",47.540699,8.824753
Hauptstraße 55,Katzweiler,"Protestantisches Pfarrhaus; spätklassizistischer Walmdachbau, 1854",47.09193,7.455253
Hauptstraße 86,Katzweiler,"Katholische Kuratiekirche Mariä Himmelfahrt; romanisierender Saalbau, 1936, Architekt Paul Klostermann, Kaiserslautern",47.863749,16.376674
(an) Hebelstraße 2,Katzweiler,"Portal, barockes Oberlicht-Portal, bezeichnet 1726",49.502129,7.699775
"Mehlbacher Straße, auf dem Friedhof",Katzweiler,"Grabmal J. K. und H. Henn, gründerzeitliche Schauwand mit Ädikula, um 1902; Grabmal Hübner, Grabstele mit Relief einer Trauernden, Neurenaissance, 1890/1900; Grabmal D. und H. Christmann, Schauwand mit Reliefstele, um 1910",49.505604,7.696864
Storcheneckerstraße 3,Katzweiler,"ehemalige katholische Kirche mit Schule; spätklassizistischer Walmdachbau, 1838",49.502924,7.696855
an der B 270,Katzweiler,"Sonnenhof; Dreiseithof; eingeschossiger Krüppelwalmdachbau mit Kniestock, 1845, langgestreckter Scheunen-Stall-Trakt, bezeichnet 1838",54.137362,10.495574
Kühbörncheshof,Katzweiler,"Mennonitenkirche; Saalbau, Krüppelwalmdach, bezeichnet 1832",49.499648,7.674164
Schafmühle 1,Katzweiler,"Hofanlage; langgestrecktes spätklassizistisches Wohnhaus, um 1860, Mahlmühle 1897",49.507458,7.687324
Schafmühle 2,Katzweiler,"Schafmühle; ehemalige Ölmühle; klassizistischer Krüppelwalmdachbau, bezeichnet 1807",49.50754,7.686902
