Denkmalzone Jüdischer Friedhof,Mehlingen,"um 1800 angelegtes Areal mit 194 Grabsteinen, überwiegend aus dem 19. Jahrhundert",49.492188,7.856073
Abtsstraße,Mehlingen,mittelalterliche Reliefstele eines Abtes von Otterberg,49.492188,7.856073
Birkenstraße 1,Mehlingen,"Backofen, langgestreckter Satteldachbau, um 1900 (?)",49.494435,7.852039
"Dreihübelstraße, auf dem Friedhof",Mehlingen,"vier Grabsteine, zwei spätklassizistiche Grabsteine, 1849, 1855, und eine gründerzeitliche Stele, um 1893",49.495342,7.86087
Hauptstraße 39,Mehlingen,"Rat- und ehemaliges Schulhaus; vierteilige Baugruppe aus eingeschossigen Putzbauten, Schulsaal im Heimatstil, zweite Hälfte des 19. und erste Hälfte des 20. Jahrhunderts",49.493639,7.854842
(an) Hauptstraße 45,Mehlingen,"spätklassizistisches Haustürblatt, wohl 1831",49.494675,7.853944
Hauptstraße 51,Mehlingen,"sogenanntes Dorotheenschlößchen; dreiflügelige Hofanlage, barockes Fachwerkwohnhaus, wohl aus dem 17. Jahrhundert; einfirstartige Scheune, 19. Jahrhundert",49.495336,7.853521
Hauptstraße 55,Mehlingen,"barocke Einfirstanlage, teilweise Fachwerk, 1786",49.495388,7.852336
Hauptstraße 72/74,Mehlingen,"Doppelwohnhaus, teilweise Fachwerk, drittes Viertel des 19. Jahrhunderts, und zwei Hofanlagen mit Wirtschaftsgebäuden",49.494815,7.854204
Mehlingerhof 3,Mehlingen,"nachbarocker Krüppelwalmdachbau, Fachwerk, um 1800",,
"





Dreihübelstraße",Mehlingen,"Friedhof


",49.495342,7.86087
"





Hauptstraße 39",Mehlingen,"Rat- und ehemaliges Schulhaus


",49.493639,7.854842
Otterberger Straße 14/16,Mehlingen,"Hofanlage; Doppelwohnhaus, teilweise Fachwerk, im Kern aus der ersten Hälfte des 18. Jahrhunderts, Scheune bezeichnet 1865",49.501286,7.836417
Otterberger Straße 15,Mehlingen,"Dreiseithof; eingeschossiger Krüppelwalmdachbau, teilweise Fachwerk, erste Hälfte des 19. Jahrhunderts, Scheune bezeichnet 1888",49.501315,7.836912
südwestlich des Ortes,Mehlingen,"Wasserwerk; Heimatstil, bezeichnet 1912",49.492188,7.856073
"





Otterberger Straße 14/16",Baalborn,"Hofanlage


",49.501286,7.836417
"





südwestlich des Ortes",Baalborn,"Wasserwerk


",49.492188,7.856073
Eckstraße 1,Neukirchen,"Hakenhof; eingeschossiges spätbarockes Wohnstallhaus, Mansarddach, bezeichnet 1767",49.48973,7.858058
Eckstraße 6,Neukirchen,"Streckhof; eingeschossiges Wohnhaus, bezeichnet 1831",49.488957,7.858067
"Enkenbacher Straße, auf dem Friedhof",Neukirchen,"Kriegerdenkmal 1914/18, Expressionismus, 1920er Jahre",49.488987,7.861714
"Enkenbacher Straße, Ecke Alte Schulstraße",Neukirchen,"Wegekreuz, Anfang des 19. Jahrhunderts",49.488987,7.861714
Fischbacher Straße 1,Neukirchen,"Sickingerhof; ehemaliger Adelshof, Dreiseithof; Einfirsthaus, teilweise Fachwerk, 1801, Torhaus mit Brennerei und Backofen",49.488548,7.860304
Fischbacher Straße 3,Neukirchen,"Katholische Kirche St. Anton; neugotischer Saalbau, 1898, Architekt Wilhelm Schulte I., Neustadt an der Weinstraße; Pfarrhaus, 1920er Jahre",49.488045,7.860654
Hauptstraße 11,Neukirchen,"Schule; Kernbau, Renaissancemotive, 1902, historisierender Erweiterungsbau bezeichnet 1914",49.490116,7.858732
Ludwigstraße 14,Neukirchen,"Hofanlage; eingeschossiges Einfirsthaus, bezeichnet 1842, Nebengebäude wohl aus der zweiten Hälfte des 19. Jahrhunderts",49.489437,7.856207
Spelzenhofstraße 25,Neukirchen,"Protestantische Kirche; kleiner Saalbau, 1933, Architekt Friedrich Larouette, Frankenthal; drei Grabmäler, 1740, spätbarocke Stele, um 1800, klassizistischer Grabstein, Mitte des 19. Jahrhunderts",49.489835,7.852533
"





Fischbacher Straße 1",Neukirchen,"Sickingerhof


",49.488548,7.860304
"





Fischbacher Straße 3",Neukirchen,"Katholische Kirche St. Anton


",49.488045,7.860654
"





Spelzenhofstraße 25",Neukirchen,"Protestantische Kirche


",49.489835,7.852533
