Denkmalzone Neuer jüdischer Friedhof,Niederkirchen (Westpfalz),"1860 eröffnet, ummauertes Areal mit etwa 70 Grabsteinen, 19. und frühes 20. Jahrhundert",49.578037,7.695912
Hahnenhügel,Niederkirchen (Westpfalz),"Alter jüdischer Friedhof; zwei Grabsteine, wohl vom Anfang des 19. Jahrhunderts",49.577978,7.693388
Kirchstraße 1,Niederkirchen (Westpfalz),"Protestantische Kirche; barocker Saalbau, bezeichnet 1723",49.580987,7.69593
(an) Schulstraße 17,Niederkirchen (Westpfalz),"zwei Portale, Renaissance, bezeichnet 1552 und 1606",49.581466,7.696523
an der L 382,Niederkirchen (Westpfalz),"Bügenmühle (Buchenmühle); eingeschossiges spätbarockes Wohnhaus, zweite Hälfte des 18. Jahrhunderts, Scheune und Mühlengebäude wohl aus der ersten Hälfte des 19. Jahrhunderts; Brücke 19. Jahrhundert",53.975883,10.588352
Bornweg,Heimkirchen,"Kriegerdenkmal 1914/18, Expressionismus, 1920er Jahre",49.57549,7.714839
Bornweg 1,Heimkirchen,"Hofanlage; spätklassizistisches Einfirsthaus, bezeichnet 1875, Gewölbestall",49.574877,7.713258
Bornweg 3,Heimkirchen,"Protestantische Kirche; neugotischer Sandsteinquaderbau, 1877/78, Bauleiter Menges, Kaiserslautern",49.574958,7.714256
(an) Brunnenstraße 19,Heimkirchen,"Inschriftstein, reliefiert, bezeichnet 1554",49.574509,7.712612
nach dem nördlichen Ortsausgang,Heimkirchen,"Holbornerhof; ehemalige Mühle; eingeschossiger nachbarocker Krüppelwalmdachbau, teilweise Fachwerk; Wohnhaus und Bruchsteinscheune, 19. Jahrhundert",49.578037,7.695912
Holbornerhof 10,Heimkirchen,"spätbarocke Einfirstanlage, bezeichnet 1794",49.562549,7.715774
Lindenstraße,Moorbach,"Kriegerdenkmal 1939/45, ursprünglich 1914/18, nach 1930 bzw. 1950",49.576395,7.668145
Olsbrücker Straße 14,Wörsbach,"protestantischer Glockenturm; Sandsteinquader, bezeichnet 1902",49.557232,7.671819
Amoshof 2,Wörsbach,"eingeschossige barocke Einfirstanlage, Krüppelwalmdach, 18. Jahrhundert",49.566207,7.705587
"an der K 28, auf dem Friedhof",Wörsbach,"Kriegerdenkmal 1914/18, Expressionismus, 1920er Jahre",49.160943,11.261586
Neuhof 1,Wörsbach,"klassizistischer Krüppelwalmdachbau, um 1800",49.552977,7.684189
