Kirchmohr 3,Kirchmohr,"Katholische Pfarrkirche St. Georg; später Heimatstilbau, spätgotischer Chor, wohl aus dem 14. Jahrhundert, Südturm im Unterbau romanisch, sonst von 1911–15, Architekt Rudolf von Perignon, wohl mit Bauteilen von 1765",49.461715,7.460949
Kirchmohr 7,Kirchmohr,"klassizistische Einfirstanlage, Krüppelwalmdachbau, bezeichnet 1812",49.461715,7.460949
"Friedhofstraße, auf dem Friedhof",Niedermohr,"Christusfigur, galvanoplastisch, um 1900",49.458219,7.462637
Friedhofstraße 9,Niedermohr,"ehemalige Schule; langgestreckter barocker Krüppelwalmdachbau, 1823",49.458096,7.46253
Hauptstraße 25,Niedermohr,"Hakenhof; eingeschossiger spätklassizistischer Krüppelwalmdachbau, bezeichnet 1854, Doppelscheune",49.459648,7.465216
Luitpoltstraße 4,Niedermohr,"barocke Einfirstanlage, teilweise Fachwerk, bezeichnet 1738",,
Katzenbacher Straße 4,Schrollbach,"ehemalige Mühle, Hakenhof; spätklassizistisches Wohnhaus und Mühlengebäude aus dem 19. Jahrhundert, Lagergebäude wohl aus der ersten Hälfte des 20. Jahrhunderts, wasserbauliche Anlagen",49.457177,7.481304
Katzenbacher Straße 22,Schrollbach,"ehemaliges Schulhaus mit Lehrerwohnung; klassizistischer Putzbau, bezeichnet 1822",49.454875,7.484502
"an der K 6, auf dem Friedhof",Schrollbach,"Friedhofskreuz, bezeichnet 1899",49.16066,11.261559
nahe dem Sportplatz,Schrollbach,"Kriegerdenkmal 1914/18; Expressionismus, 1920er Jahre",49.461715,7.460949
