Am Berg 6,Olsbrücken,"Katholische Pfarrkirche Maria Rosenkranzkönigin; Heimatstilbau, 1931/32, Architekt Hans Seeberger, Kaiserslautern",49.539124,7.660689
Bachstraße 10,Olsbrücken,"Einfirstanlage, erste Hälfte des 19. Jahrhunderts",49.540024,7.65971
Hauptstraße 34,Olsbrücken,"Dreiseithof, um 1860 bis 1890",47.091494,7.446055
Hauptstraße 50,Olsbrücken,"eingeschossiges Wohnhaus, bezeichnet1825",47.482588,9.032946
Hauptstraße 52,Olsbrücken,"Dreiseithof; eingeschossiges hochgesockeltes Wohnhaus, bezeichnet 1885",47.546988,8.844579
Hauptstraße 55,Olsbrücken,"eingeschossige Einfirstanlage, bezeichnet 1836",47.09193,7.455253
Hauptstraße 58,Olsbrücken,"ehemalige Schule; klassizistischer Walmdachbau, 1835/36",47.091574,7.451974
(bei) Hauptstraße 58,Olsbrücken,"Kriegerdenkmal 1914/18, 1920er Jahre, Löwe",47.091574,7.451974
(an) Hauptstraße 69,Olsbrücken,"Biedermeier-Türblatt, erste Hälfte des 19. Jahrhunderts",47.499015,9.023173
Hauptstraße 95,Olsbrücken,eingeschossige Einfirstanlage,47.861954,16.377527
Hauptstraße 97,Olsbrücken,"barockes Fachwerkhaus, bezeichnet 1767, im Kern vielleicht älter",47.861809,16.377608
Hebelstraße 5,Olsbrücken,"Protestantische Kirche; neuspätromanisch-frühgotischer Saalbau, 1884/85, Architekt Ludwig Levy, Karlsruhe",49.539159,7.658856
Hohlstraße,Olsbrücken,"Wasserbehälter; Rotsandsteinquader, bezeichnet 1911",49.535844,7.663618
Wörsbacher Straße 4,Olsbrücken,"Einfirstanlage, erste Hälfte des 19. Jahrhunderts",49.539469,7.656512
Auf dem Wasen,Olsbrücken,"Jüdischer Friedhof; nur zwei Torpfosten und zwei Grabsteinsockel, 19. Jahrhundert",50.313839,6.254915
Hauptstraße,Olsbrücken,"Neumühle; stattliche, großteils spätklassizistische Baugruppe, bezeichnet 1848 und 1921",47.540529,8.824735
