Denkmalstraße,Otterbach (Westpfalz),"Kriegerdenkmal 1914/18 und 1939/45; Obelisk in Rundhalle, wohl aus den 1950er Jahren",49.487096,7.728018
Hauptstraße 2,Otterbach (Westpfalz),"Hachsche Mühle, Vierseithof; barockes Fachwerkhaus, 1752, Wohnanbau mit Fachwerkgiebel; Steinplatte bezeichnet 1799/1800, Pforte bezeichnet 1756",47.084248,7.741214
Hauptstraße 12,Otterbach (Westpfalz),"barockes Fachwerkhaus, Mitte des 18. Jahrhunderts, ehemaliger Gewölbekeller der Scheune",47.085696,7.736112
Kirchenstraße,Otterbach (Westpfalz),"Gedenkkreuz; reliefiertes Steinkreuz, wohl erste Hälfte des 19. Jahrhunderts",49.483924,7.733174
Kirchenstraße,Otterbach (Westpfalz),"Katholische Pfarrkirche Mariä Himmelfahrt; neugotische Pseudobasilika, 1887–89, Architekt Franz Schöberl, Speyer",49.483924,7.733174
Kirchenstraße 4,Otterbach (Westpfalz),"Katholisches Pfarrhaus; villenartiger eineinhalbgeschossiger Sandsteinquaderbau, teilweise neugotisch, 1888",49.484656,7.728647
"Morlauterer Straße, auf dem Friedhof",Otterbach (Westpfalz),"Friedhofskreuz, bezeichnet 1898; Grabmäler Hach, zwei spätklassizistische Grabsteine, 1831 und 1853",49.484118,7.742193
Otterstraße 4,Otterbach (Westpfalz),"ehemalige protestantische Kirche; spätklassizistischer historisierender Saalbau, 1847/48, 1906 verlängert",49.487108,7.740388
Schulstraße 17,Otterbach (Westpfalz),"ehemaliges Schul- und Rathaus mit Lehrerwohnung; spätklassizistischer Putzbau mit Kniestock, 1827/28, königlicher Bezirksingenieur Bernhard Spatz, Speyer, Umbau 1882–84",49.115729,8.318085
Schulstraße 3,Sambach,"ehemalige Schule; 1884; eineinhalbgeschossiger Schulsaal, eingeschossiges Lehrerwohnhaus, im Bestand wohl von 1850",49.11606,8.323035
