Stadtbefestigung,Otterberg,"ehemalige Stadtmauer, aus der Klostermauer des 12. und 13. Jahrhunderts hervorgegangen, um 1580 erweitert",49.503995,7.771577
Bergstraße 2,Otterberg,"spätbarockes Wohnhaus mit Fachwerkteilen, bezeichnet 1771",49.478903,7.793137
Bergstraße 7,Otterberg,"eingeschossiger spätbarocker Mansarddachbau mit Krüppelwalmen, bezeichnet 1780",49.478903,7.793137
(an) Gerberstraße 2,Otterberg,"Giebelwand eines mittelalterlichen Klostergebäudes, 13. Jahrhundert (?)",49.502275,7.773877
(gegenüber) Gerberstraße 2,Otterberg,"Portal; Grundstein, barockes Portalgewände, 1743, sowie Grundstein der Kirche, 1732",49.502275,7.773877
Hauptstraße 16,Otterberg,"Goethe-Schule; spätgründerzeitlicher Krüppelwalmdachbau, Neurenaissance, um 1890/1900",49.499876,7.773149
Hauptstraße 20,Otterberg,"ehemaliges Amtsgericht (Schiller-Schule); Rotsandsteinquaderbau, Giebelrisailte, um 1900",49.500309,7.773086
Hauptstraße 27,Otterberg,"Verwaltungsgebäude (Verbandsgemeindeverwaltung); ehemaliges Direktionsgebäude der Aktiengesellschaft der Vereinigten Spinnereien und Zwirnereien Alost, Zweigniederlassung Otterberg, sogenanntes Schlösschen; dreigeschossiger kubischer Gründerzeitbau mit Turmrisalit, um 1886/90",49.500958,7.772233
Hauptstraße 35,Otterberg,"ehemaliges lutherisches Pfarrhaus; spätbarocker Fachwerkbau, bezeichnet 1752",49.501356,7.772224
Hauptstraße 44,Otterberg,"Gasthaus „Alt-Otterberg“; Gründerzeitbau, Ende des 19. Jahrhunderts, städtebaulich wichtig.",49.501824,7.772547
Hauptstraße 47,Otterberg,"ehemaliges Gasthaus; Renaissance-Motive, bezeichnet 1902, städtebaulich wichtig",49.502134,7.772565
Hauptstraße 54,Otterberg,"Rathaus; sogenanntes Stadthaus, spätbarocker Mansardwalmdachbau, 1751, Teile eines Vorgängers vom Ende des 16. Jahrhunderts",49.502374,7.772736
Hauptstraße 59,Otterberg,"dreigeschossiges spätbarockes Fachwerkhaus, zweite Hälfte des 18. Jahrhunderts, Scheune und Nebengebäude",49.502667,7.772278
Hauptstraße 61,Otterberg,"Alte Apotheke; dreigeschossiger Fachwerkbau, 1608",49.502737,7.772242
Hauptstraße 68,Otterberg,"Gasthaus „Zur Krone“; langgestreckter spätbarocker Fachwerkbau, bezeichnet 1778, Wirtschaftsgebäude",49.503106,7.772278
Hauptstraße 77,Otterberg,"Gasthaus „Zum Schwanen“, bezeichnet 1791",49.503205,7.771972
(an) Hauptstraße 82,Otterberg,"Inschrifttafel, 1735",49.503778,7.771838
Hauptstraße 85,Otterberg,"spätbarockes Wohnhaus, bezeichnet 1754",49.503457,7.771829
Hauptstraße 95,Otterberg,"spätbarockes Fachwerkhaus, bezeichnet 1799",49.503966,7.771514
Hauptstraße 96,Otterberg,"barockes Fachwerkhaus, 18. Jahrhundert",49.50427,7.771541
Hauptstraße 98,Otterberg,"Hofanlage; spätbarockes Fachwerkhaus, bezeichnet 1769, Fachwerkscheune, bezeichnet 1764",49.504416,7.771478
Hauptstraße 101,Otterberg,"spätklassizistisches Wohnhaus, Torfahrt, erste Hälfte des 19. Jahrhunderts",49.504176,7.771379
Hauptstraße 105/105a,Otterberg,"drei Handwerker-Wohnhäuser, 18. und 19. Jahrhundert",49.504539,7.771182
"Johannisstraße, auf dem Friedhof",Otterberg,"Grabkreuz, barock, erste Hälfte des 18. Jahrhunderts; Grabmal, barock, 1755; Grabmal Familie Hoffmann, um 1900, Engel; Grabmal F. Stauch, klassizistisch, Anfang des 19. Jahrhunderts; Grabmal, klassizistisch, 1824; sechs barocke und klassizistische Grabmäler, 18. und erste Hälfte des 19. Jahrhunderts; Familien-Grabmal Klee und Cherdron, neuklassizistisch, 1920er Jahre; Friedhofskreuz, spätklassizistisch, bezeichnet 1841",49.502058,7.776149
Kirchstraße 2,Otterberg,"sogenanntes Blaues Haus; Wohn- und Geschäftshaus, dreigeschossiger Fachwerkbau, bezeichnet 1612, 1840 Umbau",49.502444,7.773059
Kirchstraße 10,Otterberg,"Simultanpfarrkirche Mariä Himmelfahrt; ehemalige Zisterzienserklosterkirche, spätromanische kreuzförmige Pfeilerbasilika, 1168 bis 1254",49.503006,7.773032
Kirchstraße 12,Otterberg,"spätbarockes Wohnhaus, bezeichnet 1773",49.503187,7.772907
Kirchstraße 11,Otterberg,"spätklassizistisches Wohn- und Geschäftshaus, erste Hälfte des 19. Jahrhunderts",49.503439,7.772646
"Kirchstraße 26, 28",Otterberg,"zwei eingeschossige Wohnhäuser, 19. Jahrhundert",49.503556,7.772763
Kirchstraße 15,Otterberg,"Theis’sche Schmiede (sogenannte Alte Schmiede); teilweise Fachwerk, 18. oder Anfang des 19. Jahrhunderts, vor 1820 (?)",49.503597,7.772583
Klosterstraße 17,Otterberg,"ehemaliger Kapitelsaal, spätromanisch, zweite Hälfte des 12. Jahrhunderts; katholisches Pfarrhaus, eingeschossiger barocker Krüppelwalmdachbau, 1732",49.502807,7.773949
Lauerstraße 14/16,Otterberg,"ehemalige Engelsche Mühle; Fachwerkhaus, um 1560, Fachwerkhaus mit kleiner Hofanlage, 18. Jahrhundert",49.50138,7.773787
Mühlstraße 11,Otterberg,"ehemaliges wallonisches Pfarr- und Schulhaus; barocker Walmdachbau, Fachwerk, bezeichnet 1720",49.501865,7.773886
Mühlstraße 12,Otterberg,"Fachwerkhaus, im Kern von 1617",49.501789,7.773625
Otterstraße 3,Otterberg,"ehemaliges Feuerwehrgebäude; Heimatstil, um 1910",49.498829,7.773374
an der Grenze mit Höringen und Heiligenmoschel,Otterberg,"Grenzstein; reliefiert, mittelalterlich",49.503995,7.771577
an der Grenze mit Höringen und Heiligenmoschel,Otterberg,"Menhir, jungsteinzeitlich",49.503995,7.771577
