"Denkmalzone 23er-Kaserne (Kleberkaserne) (Mannheimer Straße 205, 210, 212, 214, Stiftswaldstraße 60)",Kaiserslautern,"anspruchsvolle Kasernenanlage, 1913/14, Architekt Rudolf von Perignon, 1937/38 erweitert; Hauptgebäude (Mannheimer Str. 205): schlossartiger Dreiflügelbau mit hohem Uhrturm mit Kuppeldach; ehemaliges Offizierskasino (Stiftswaldstraße 60): eineinhalbgeschossiger palastartiger Mansardwalmdachbau, Ausstattung; entlang der Mannheimer- und Stiftswaldstraße neubarocke Mansardwalmdachbauten; ehemaliges Garnisonslazarett (Mannheimer Straße 214): schlossartiger Mansardwalmdachbau mit Dachturm mit Kuppeldach","",""
Denkmalzone Adolph-Kolping-Platz 1–6,Kaiserslautern,"segmentbogig angeordnete, gründerzeitliche Zeilenwohn- und Wohn- und Geschäftshäuser, Ziegel- und Putzbauten, teilweise mit Walmdächern, um 1900, älterer Teil der Bebauung des kreisförmigen Platzes, der auf die Stadterweiterungsplanung von 1887 zurückgeht, in städtebaulich hervorgehobener Lage anschauliches Bild der Formenvielfalt damaliger Bürgerhäuser","",""
"Denkmalzone Albertstraße 16–26 (gerade Nummern), Steinmetzstraße 11",Kaiserslautern,"L-förmige Anlage einschließlich vorgelagerter Gärten und Grünanlage, ein- und zweigeschossige Zeilenwohnhäuser, teilweise mit Walmdächern, Heimatstil, 1912–23","",""
"Denkmalzone Altenwoogstraße 43–59 (ungerade Nummern), Barbarossaring 1, Mannheimer Straße 94–108 (gerade Nummern)",Kaiserslautern,"Wohnsiedlung der Gemeinnützigen Baugesellschaft Kaiserslautern; langgezogene Häuserzeilen mit kubisch gestaffelten, viergeschossigen Putzbauten mit turmartigen Risaliten um zwei baumbestandene Innenhöfe, Neue Sachlichkeit, 1926–28, Architekt Hermann Hussong",49.445399,7.783938
"Denkmalzone Am Vogelgesang 1–33 (ungerade Nummern), Benzinoring 15–51 (ungerade Nummern), Buchfinkstraße 1–23, Hackstraße 5–19 (ungerade Nummern), 12–24 (gerade Nummern), Haspelstraße 17–21 (ungerade Nummern), Ottostraße 13–19 (ungerade Nummern), 18–26 (gerade Nummern), Villenstraße 11–17 (ungerade Nummern), 16, 18, 21",Kaiserslautern,"großbürgerliches Wohnviertel an einem steilen Südhang, von 1893 bis 1929 gemäß dem Stadterweiterungsplan von 1887; ein- bis dreigeschossige, überwiegend gründerzeitliche, meist zusammenhängende Zeilenwohnhäuser, Backstein-, Putz- und Sandsteinquaderbauten, vereinzelt Jugendstilmotive oder geometrisch geprägter Zeitstil um 1910","",""
Denkmalzone Auf dem Bännjerrück 2–14 (gerade Nummern),Kaiserslautern,"gleichartig strukturierte Villen, errichtet im Auftrag des Guss- und Armaturenwerkes; ein- bis zweigeschossige kubische Putzbauten mit Mansardwalmdächern, Heimatstil, 1925/26, Architekten Heinrich Hastenteufel und Philipp Spelger","",""
"Denkmalzone Bahnheim (Bahnheim 2a, 2b, 3, 4a, 4b, 4c, 4–27, 28a, 28b, 29–39, 41–49, 51–54, 56, 60–80 (gerade Nummern))",Kaiserslautern,"von der Gartenstadtbewegung geprägte Eisenbahnersiedlung der Baugenossenschaft Bahnheim; Putzbauten in langen Baublocks und als Einzel- oder Doppelhäuser, Heimatstil, 1919–30, rückwärtig anschließend ein Nutzgarten pro Wohneinheit; im Zentrum der Anlage Brunnen, Kunststein, 1930, großflächige Grünanlagen zwischen Bahngleisen und Pariser Straße",49.442078,7.760447
"Denkmalzone Blücherstraße 6–36 (gerade Nummern), Pollichstraße 3, 5, 6 und 8",Kaiserslautern,"ein- und zweigeschossige spätgründerzeitliche Zeilenwohnhäuser, sandsteingegliederte Putz- und Ziegelbauten, um 1900","",""
"Denkmalzone Wohnanlage Fischerstraße (Fischerstraße 15–37 (ungerade Nummern), 16–28 (gerade Nummern), Bismarckstraße 27, 29, 31, 37c, Friedrichstraße 13, 15, 17, 19, Kanalstraße 34–46 (gerade Nummern), Wilhelmstraße 2, 4, 6)",Kaiserslautern,"Wohnsiedlung für französische Offiziere mit um begrünte Innenhöfe gruppierten Baublöcken, zwei- bis dreigeschossige sandsteingegliederte Walm- und Mansarddachbauten, barockisierende und expressionistische Motive, 1922-24, Architekt Hermann Hussong, Arkadenöffnungen der Eckpavillons 1938","",""
"Denkmalzone Glockenstraße 54, 56, 58, 63",Kaiserslautern,"anspruchsvolle gründerzeitliche Zeilenwohnhäuser, letztes Viertel des 19. Jahrhunderts","",""
