Burgweg 6,Albessen,"eingeschossiger sandsteingegliederter Putzbau über hohem Keller, 1909, Architekt Adam Schneider, Konken",49.516998,7.331259
In der Alb 5,Albessen,"Dreiseithof; stattlicher Krüppelwalmdachbau, zwei Stallscheunen, 1906/07, Architekt Christoph Berndt, Kusel",49.517478,7.33293
Bahnhofstraße 2,Altenglan,"spätbarockes Wohnhaus, bezeichnet 1785; langgestreckter Krüppelwalmdachbau; ortsbildprägend",49.556636,7.464003
Eisenbahnstraße 3,Altenglan,"Bahnhof; großvolumiges Empfangsgebäude, eingeschossiger Güterschuppen mit Laderampe, 1862/68",49.548097,7.461613
Eisenbahnstraße 8/10,Altenglan,"Leitungsbezirks- und Wohngebäude der Post; zweigeschossige Flügelbauten, eingeschossiger Garagentrakt, 1925, Architekten Heinrich Müller und Mitarbeiter",49.548097,7.461613
Friedelhauser Straße 11,Altenglan,"ehemaliges Verwaltungsgebäude der Basalt Aktiengesellschaft, Linz am Rhein; neubarocker Walmdachbau, 1921/22, Architekten Heinrich Mattar und Eduard Scheler, Köln; rückwärtig Remisen- und Stallgebäude",49.554327,7.467057
Glanstraße 30,Altenglan,"ehemaliges Rathaus; sandsteingegliederter Krüppelwalmdachbau, 1856/57, Umbau 1896; platzbildprägend",49.556636,7.464003
Kuseler Straße 2,Altenglan,"Protestantische Pfarrkirche; barocker Saalbau mit Walmdach, bezeichnet 1720, im Kern älter, Dachreiter 1806; romanisches Skulpturenfragment; durchgreifende Sanierung 1956, Architekt Hans-Georg Fiebiger, Kaiserslautern; auf dem Friedhof: Kriegerdenkmal 1914/18, sterbender Krieger, 1927 von A. Bernd, Kaiserslautern",49.553947,7.460508
Denkmalzone Mühlbacher Mühle (Mühlweg 3),Altenglan,"Gebäudegruppe aus der ehemaligen Getreidemühle; siebenachsiger sandsteingegliederter Putzbau, Erweiterung 1892 und Ölmühle (1858), Scheunenanlage (nach 1845) und der vom Glan abgeleitete Mühlbach",49.549126,7.46147
(bei) Genickelstraße 4,Altenglan,"ehemalige Schmiede; eingeschossiger Fachwerkbau, teilweise massiv, Pultdachanbau, Schleifstein, erste Hälfte des 18. Jahrhunderts","",""
Moorstraße 13,Altenglan,"Protestantische Kirche; Bruchsteinsaal mit Glockenturm, Heimatstil, 1933/34, Architekt Regierungsbaumeister Stahl, Landau",49.543947,7.466392
Streitmühle 1,Altenglan,"ehemalige Seylsche Mühle; spätbarocker sandsteingegliederter Putzbau, zweite Hälfte des 18. Jahrhunderts; Wehranlage; Wirtschaftsgebäude: Remise und Gesindehaus, gegen 1859, Stallscheune und Lagerhaus jünger; einbogige Steinbrücke, 1854, Architekt Johann Schmeisser, Kusel",49.533839,7.456789
südlich des Ortes in der Nähe der Moorstraße,Altenglan,"Laufbrunnen; Brunnenanlage, Sandstein und Gusseisen, 1846, Architekt Karl Klee",49.549126,7.46147
Hauptstraße 24,Altenglan,"sandsteingegliedertes Quereinhaus, 1864",49.556636,7.464003
(bei) Zum Horst 6,Altenglan,"ehemalige Schmiede, Putzbau mit teilweise abgeschlepptem Satteldach, wohl um 1865; technische Ausstattung",49.565249,7.450501
Fockenmühle 2,Altenglan,"Fockenmühle; ehemalige Öl- und Getreidemühle; dreigeschossige Einfirstanlage, im Kern aus dem 18. Jahrhundert, bezeichnet 1864 und 1871 (Umbauten), Aufstockungen 1922 und 1938, Stallscheune 1871; technische Ausstattung aus den 1930er Jahren, unterirdisch herangeführter Mühlgraben und Lauf des Glan ab der zugehörigen Wehranlage",49.568877,7.452352
Bergstraße 1,Altenkirchen (Pfalz),"ehemalige Schule; eingeschossiger Krüppelwalmdachbau, 1782/83; Ausstattung der Grubenverwaltung, 1820",50.761066,7.621666
Breitenbacher Straße 1,Altenkirchen (Pfalz),"Protestantisches Pfarrhaus; aufgesockelter Putzbau, 1861/62",49.442769,7.320048
Breitenbacher Straße 4,Altenkirchen (Pfalz),"Gasthaus, großvolumiger hausteingegliederter Eckbau; ortsbildprägend",49.442869,7.319715
Schillerstraße 38,Altenkirchen (Pfalz),"Protestantische Pfarrkirche; spätromanischer Chorturm, Ende des 13. Jahrhunderts, barocker Saalbau, bezeichnet 1756, und Turmaufstockung mit welscher Haube von 1818",49.44274,7.320407
Schulstraße 12,Altenkirchen (Pfalz),"Grundschule; großvolumiger Walmdachbau, 1914–19, Architekt Bezirksbaumeister Löhmer, Homburg",50.741108,7.668971
"zwischen Altenkirchen und Frohnhofen, an der St. Wendeler Straße bei der Abzweigung nach Krottelbach",Altenkirchen (Pfalz),"Stundenstein, 1838/40","",""
Hauptstraße 14,Aschbach (Westpfalz),"Quereinhaus, 1798",49.281479,8.744309
Pitzerstraße 1,Aschbach (Westpfalz),"Scheune, Fachwerkbau, teilweise massiv, 17. Jahrhundert (?)",49.60027,7.575996
Hauptstraße 6,Bedesbach,"Quereinhaus, 1821, Scheunenanbau nach 1842, Wirtschaftshof mit Brunnen und Walnussbaum; ortsbildprägend",47.539495,8.821717
(bei) Ringstraße 16,Bedesbach,"ehemalige Schmiede; eingeschossiger Putzbau, Schleifstein, Mitte des 19. Jahrhunderts; technische Ausstattung",49.566739,7.456843
Im Röhrbach 10,Blaubach,"Quereinhaus, bezeichnet 1769",49.557968,7.395776
Matzenberg 5,Blaubach,"ehemaliges Schulhaus; sandsteingegliederter Putzbau, 1833/38, Architekt Johann Schmeisser, Kusel, Aufstockung und Dachreiter, 1891/95, Architekt Bezirksbaumeister Mergler, eingeschossiger Anbau 1914",49.55701,7.395785
Hauptstraße 21,Börsborn,"Dreiseithof, 19. Jahrhundert; sandsteingegliedertes Quereinhaus, bezeichnet 1826, Ökonomie 1895, Schweineställe, Dunggrube, Bauerngarten",49.440707,7.399136
(bei) Steinbacher Straße 4,Börsborn,"Glockenturm; Putzbau mit Zeltdach, 1758",49.441029,7.398641
(an) Eckstraße 3,Bosenbach,"reich dekorierter Ofenstein, bezeichnet 1801",49.540416,7.528457
Hauptstraße 5,Bosenbach,"ehemaliges protestantisches Pfarrhaus; sandsteingegliederter Krüppelwalmdachbau, 1830/31, Architekt Heinrich Ernst, Kaiserslautern; Scheune 1820/21",49.540206,7.527092
Hauptstraße 23,Bosenbach,"Protestantische Kirche; nachbarocker Saalbau mit Dachreiter, bezeichnet 1802; Glocken: 1474 von Johann Otto, Kaiserslautern, 1746 von Christoph Klein, Schwarzenacker; Ausstattung",49.539767,7.529068
Hauptstraße,Bosenbach,"Turm der sogenannten Wolfskirche; ehemaliger Ostchorturm, um 1310, Gelbsandstein, Fundament römisches Mauerwerk; Ausmalung um 1330/40, römische Skulpturengruppe",49.539779,7.530281
Im Brühl,Bosenbach,"Alte Brücke; einbogige Bruchsteinbrücke, 1764",49.543088,7.494842
Friedhofstraße 5,Breitenbach (Pfalz),"Protestantische Pfarrkirche; Chorturm aus dem 13. oder 14. Jahrhundert, spätbarocker Saalbau, 1783–87, Architekt Friedrich Gerhard Wahl, Zweibrücken; römische Spolien",50.121376,9.947333
Kirchstraße 12,Breitenbach (Pfalz),"Katholisches Pfarrhaus; Quaderbau mit Giebelrisalit, neugotische Motive, bezeichnet 1899",50.289115,9.821847
Kirchstraße 14,Breitenbach (Pfalz),"Katholische Pfarrkirche St. Jakob; neugotischer Sandsteinquaderbau, Chorflankenturm, 1898–1900/04, Architekt Wilhelm Schulte I., Neustadt an der Weinstraße",50.289305,9.822278
Waldmohrer Straße 13,Breitenbach (Pfalz),"Protestantisches Pfarrhaus; klassizistischer Walmdachbau, bezeichnet 1824",49.432945,7.272249
Bergstraße 2,Brücken (Pfalz),"Quereinhaus, Aufstockung 1841, Stallanlagen aus der zweiten Hälfte des 19. Jahrhunderts",51.495157,9.456017
(bei) Glanstraße 16,Brücken (Pfalz),"Wegekreuz; Postament und Kreuz aus Gelbsandstein, Korpus Gussmetall, 19. Jahrhundert",49.43274,7.362035
Glanstraße 24,Brücken (Pfalz),"Quereinhaus über hohem Keller, 1911; Stuckdecken",49.432599,7.363023
Hauptstraße 26,Brücken (Pfalz),"ehemalige katholische Schule; späthistoristischer Walmdachbau, Giebelrisalit, 1903, Architekt Bezirksbaumeister Löhner, Homburg; straßenbildprägend",52.293278,9.054524
Hauptstraße 66b,Brücken (Pfalz),"Katholische Pfarrkirche St. Laurentius; großvolumiges Hauptschiff mit Walmdach, niedrige Seitenschiffe, Glockenturm, 1953–55, Architekt Wilhelm Schulte II.",48.589816,9.551984
Friedhofstraße 5,Cronenberg (bei Lauterecken),"ehemalige Schule; Putzbau mit Dachreiter, Rundbogenstil, um 1840, Architekt wohl Johann Schmeisser, Kusel",49.653098,7.624298
Friedhofstraße 7,Cronenberg (bei Lauterecken),"kleine Hofanlage, wohl aus dem 18. Jahrhundert; Wohnhaus, teilweise Fachwerk, Stallscheune; Treppenhausanbau 1870",49.653016,7.62464
(bei) Hauptstraße 15,Cronenberg (bei Lauterecken),"römische Säule, Sandstein",51.205532,7.130189
Hauptstraße 29,Dennweiler-Frohnbach,"Protestantische Pfarrkirche; hausartiger sandsteingegliederter Putzbau über Bossenquadersockel, Glockenturm, 1906, Architekt Bauamtsassessor Dünnbier, Kaiserslautern",49.578966,7.386918
(an) Frohnbacher Hof 9,Dennweiler-Frohnbach,"Ofenstein, um 1805","",""
(bei) St. Wendeler Straße 71,Dittweiler,"Kriegerdenkmal, monumentale Soldatenskulptur, 1936, von August Deubzer, Kaiserslautern",59.281639,11.117801
St. Wendeler Straße 73,Dittweiler,"Alte Schmiede („Hiwwelschmidd“); eingeschossiger Ziegelbau, 1872, Umbau 1908; technische Ausstattung von 1920",59.281588,11.117173
Brunnenstraße 14,Dunzweiler,"Protestantische Kirche; gotisierender Quaderbau, oktogonales Turmobergeschoss, 1840/41",49.414569,7.306465
Schulstraße 10,Einöllen,"Protestantische Pfarrkirche; kleiner Saalbau, 1430, Überformung 1729; Stumm-Orgel von 1812/13",49.608729,7.638779
"Denkmalzone Mühle (Mühlweg 10, 21, 23, 25)",Erdesbach,"ehemalige Mühle samt Wehr und zwei bäuerliche Anwesen: Nr. 10 und 21: ehemalige Mühle: Nr. 10, 18. Jh., Nr. 21: Krüppelwalmdachbau, Ende des 19. Jahrhunderts, Nr. 23: Quereinhaus, bezeichnet 1758 und 1806 (Umbau), Nr. 25: Quereinhaus, 1869",49.573118,7.444033
Zweibrücker Straße 32,Erdesbach,"ehemalige Schule; Putzbau mit Dachreiter, Rundbogenöffnungen, 1838, Architekt wohl Johann Schmeisser, Kusel",49.574958,7.441832
Denkmalzone ehemalige Arbeiterkolonie Schneeweiderhof (westlich des Ortes am Hermannsberg),Eßweiler,"Wohngebäude für die Steinbrucharbeiter, zwei- und dreigeschossige Heimatstilbauten aus Basaltbruchstein, rückwärtig Hof und Ziegenställe, 1922–24, Architekten Heinrich Mattar und Eduard Scheler, Köln",49.558406,7.564497
Läppchen 1,Eßweiler,"Protestantische Kirche; barocker Saalbau, 1733, Turm mit Zeltdach, 1865, Architekt Johann Schmeisser, Kusel; Orgel von E.F. Walcker & Cie. Ludwigsburg aus dem Jahr 1869; steinerner Laufbrunnen, 1857",49.558985,7.564444
(bei) Läppchen 1,Eßweiler,"Kriegerdenkmal 1914/18 und 1939/45, Brunnenanlage, 1927, von Karl Dick, Kaiserslautern, nach 1945 erweitert",49.558985,7.564444
