Bahnhofstraße 2,Altenglan,"spätbarockes Wohnhaus, bezeichnet 1785; langgestreckter Krüppelwalmdachbau; ortsbildprägend",49.556636,7.464003
Eisenbahnstraße 3,Altenglan,"Bahnhof; großvolumiges Empfangsgebäude, eingeschossiger Güterschuppen mit Laderampe, 1862/68",49.548097,7.461613
Eisenbahnstraße 8/10,Altenglan,"Leitungsbezirks- und Wohngebäude der Post; zweigeschossige Flügelbauten, eingeschossiger Garagentrakt, 1925, Architekten Heinrich Müller und Mitarbeiter",49.548097,7.461613
Friedelhauser Straße 11,Altenglan,"ehemaliges Verwaltungsgebäude der Basalt Aktiengesellschaft, Linz am Rhein; neubarocker Walmdachbau, 1921/22, Architekten Heinrich Mattar und Eduard Scheler, Köln; rückwärtig Remisen- und Stallgebäude",49.554327,7.467057
Glanstraße 30,Altenglan,"ehemaliges Rathaus; sandsteingegliederter Krüppelwalmdachbau, 1856/57, Umbau 1896; platzbildprägend",49.556636,7.464003
Kuseler Straße 2,Altenglan,"Protestantische Pfarrkirche; barocker Saalbau mit Walmdach, bezeichnet 1720, im Kern älter, Dachreiter 1806; romanisches Skulpturenfragment; durchgreifende Sanierung 1956, Architekt Hans-Georg Fiebiger, Kaiserslautern; auf dem Friedhof: Kriegerdenkmal 1914/18, sterbender Krieger, 1927 von A. Bernd, Kaiserslautern",49.553947,7.460508
Denkmalzone Mühlbacher Mühle (Mühlweg 3),Altenglan,"Gebäudegruppe aus der ehemaligen Getreidemühle; siebenachsiger sandsteingegliederter Putzbau, Erweiterung 1892 und Ölmühle (1858), Scheunenanlage (nach 1845) und der vom Glan abgeleitete Mühlbach",49.549126,7.46147
(bei) Genickelstraße 4,Altenglan,"ehemalige Schmiede; eingeschossiger Fachwerkbau, teilweise massiv, Pultdachanbau, Schleifstein, erste Hälfte des 18. Jahrhunderts","",""
Moorstraße 13,Altenglan,"Protestantische Kirche; Bruchsteinsaal mit Glockenturm, Heimatstil, 1933/34, Architekt Regierungsbaumeister Stahl, Landau",49.543947,7.466392
Streitmühle 1,Altenglan,"ehemalige Seylsche Mühle; spätbarocker sandsteingegliederter Putzbau, zweite Hälfte des 18. Jahrhunderts; Wehranlage; Wirtschaftsgebäude: Remise und Gesindehaus, gegen 1859, Stallscheune und Lagerhaus jünger; einbogige Steinbrücke, 1854, Architekt Johann Schmeisser, Kusel",49.533839,7.456789
südlich des Ortes in der Nähe der Moorstraße,Altenglan,"Laufbrunnen; Brunnenanlage, Sandstein und Gusseisen, 1846, Architekt Karl Klee",49.549126,7.46147
Hauptstraße 24,Altenglan,"sandsteingegliedertes Quereinhaus, 1864",49.556636,7.464003
(bei) Zum Horst 6,Altenglan,"ehemalige Schmiede, Putzbau mit teilweise abgeschlepptem Satteldach, wohl um 1865; technische Ausstattung",49.565249,7.450501
Fockenmühle 2,Altenglan,"Fockenmühle; ehemalige Öl- und Getreidemühle; dreigeschossige Einfirstanlage, im Kern aus dem 18. Jahrhundert, bezeichnet 1864 und 1871 (Umbauten), Aufstockungen 1922 und 1938, Stallscheune 1871; technische Ausstattung aus den 1930er Jahren, unterirdisch herangeführter Mühlgraben und Lauf des Glan ab der zugehörigen Wehranlage",49.568877,7.452352
