"Denkmalzone Ortskern (Auf dem Schloß, Friedhofweg, In der Hohl, Oberstraße, Sonnhofweg, Unterstraße, Weiherdamm)",Grumbach (Glan),"aus den beiden Siedlungskernen Grumbach-Tal und Grumbach-Schloß zusammengewachsener historischer Ortskern; weitgehend geschlossene Bebauung entlang der hangparallelen Straßen an dem steil aufsteigenden Schlossberg über Substruktionen, Bausubstanz des 18. und 19. Jahrhunderts, kennzeichnendes Ortsbild",50.425789,11.498597
"Denkmalzone Schloßberg (Auf dem Schloß, Oberstraße)",Grumbach (Glan),"von der im 13. Jahrhundert errichteten wildgräflichen Burg nur noch das sogenannte Archivgebäude und Substruktionsmauern erhalten, vom rheingräflichen Schloss Teile der ehemaligen Zehntscheune (Oberstraße 33), eine weitere Scheune (Oberstraße 34 und 35) und Obergeschoss des Archivs (Auf dem Schloß 15) erhalten, im Westen Lustgarten, auf seiner Nordseite fünfachsiger unvollendeter Schlossneubau (Sonnhofweg 4)",50.425789,11.498597
"Auf dem Schloß 3, 5",Grumbach (Glan),"ehemaliges preußisches Amtsgericht; ursprünglich freistehender Quaderbau (heute verputzt), vor 1834, anschließend dreiachsiger übergiebelter Quaderbau, 1879",49.6583,7.556305
Auf dem Schloß 8,Grumbach (Glan),"sogenanntes rheingräfliches Archivgebäude; dreigeschossiger Putzbau, im Kern aus dem 16. Jahrhundert, jüngeres Zwischengeschoss, offene Loggia und Mansarddach, bezeichnet 1722, Umbau 1879",49.657967,7.556071
Auf dem Schloß 9,Grumbach (Glan),"Evangelische Pfarrkirche; klassizistischer Saalbau mit Vorhalle und eingestelltem Turm, 1836–38, Architekt Kommunalbaumeister Leonhard, St. Wendel; Stumm-Orgel von 1863",49.65781,7.556547
Oberstraße 14,Grumbach (Glan),"ehemaliger Adelshof; großvolumiger spätbarocker Krüppelwalmdachbau, bezeichnet 1780, Stallscheune 1781",49.657495,7.557446
Oberstraße 31,Grumbach (Glan),"sogenanntes Hofratsgebäude; großvolumiger Krüppelwalmdachbau über hohen Substruktionen, 18. Jahrhundert, im Kern wohl älter; ortsbildprägend",49.657297,7.555784
"Oberstraße 33, 34, 35",Grumbach (Glan),"ehemaliger Wirtschaftshof; Scheunenkomplex, vor 1631, Umbau im 18. Jahrhundert; Nr. 33 drei- und eingeschossige Zehntscheune, dendrodatiert 1766; Nr. 34 und 35 in den Substruktionen wohl aus dem 17. Jahrhundert",49.657617,7.555712
(an) Sonnenhofweg 8,Grumbach (Glan),Wappen der Rheingrafen zu Grumbach; quadrierter Wappenstein mit aufgesetztem Mittelschild,48.731604,9.681755
Unter dem Schloß 1,Grumbach (Glan),"Krüppelwalmdachbau, teilweise Fachwerk, bezeichnet 1779, eingeschossiger Anbau mit Krüppelwalmdach, eventuell jünger; ortsbildprägend",49.657997,7.555757
Unter dem Schloß 3,Grumbach (Glan),"spätbarocker Mansarddachbau, teilweise Fachwerk, um 1792",49.658189,7.555703
