Hirsauer Straße 9,Offenbach-Hundheim,"ehemalige Schule; neubarocker Krüppelwalmdachbau, 1907, Architekt Bezirksbaumeister Kleinhans",49.617409,7.548759
Hirsauer Straße 15,Offenbach-Hundheim,"Dreiseithof, 1926; Krüppelwalmdachbau, Nebengebäude",49.617117,7.547915
Hirsauer Straße 30,Offenbach-Hundheim,"Evangelische Pfarrkirche; sogenannte Hirsauer Kirche, Rechtecksaal, im Kern aus dem frühen 12. Jahrhundert, Umbau 1507, Seitenschiff und Treppenturm 1894; Chorturm 1197/1269, Glockenstuhl 1692 erneuert; Wandmalerei, zweite Hälfte des 13. Jahrhunderts; Glocke, 1480 von Johannes Otto, Kaiserslautern, zweite Glocke um 1500; römische Spolien; Friedhofsmauer, wohl noch aus dem 15. Jahrhundert; westlich der Kirche: Kriegerdenkmal 1914/18, 1927",49.616784,7.541707
Denkmalzone Neuer jüdischer Friedhof (Höhweg),Offenbach-Hundheim,"umfriedetes Areal, 1887 angelegt; 41 Grabsteine von 1887 bis 1937",49.623986,7.551589
Denkmalzone Alter jüdischer Friedhof (Oberster Frimschenberg),Offenbach-Hundheim,"etwa 100 Grabsteine sowie Bruchstücke und Sockelfragmente, um 1739 bis um 1890",49.623986,7.551589
Bergstraße 4,Offenbach-Hundheim,"Katholische Pfarrkirche St. Peter und Paul; neugotischer Quader-Saalbau mit Westturm, 1884, Architekt Joseph Hoffmann (Ludwigshafen), revidiert von Dombaumeister Schmidt, Wien; ortsbildprägend; Klais-Orgel von 1910",49.625136,7.550026
Brückenstraße 3,Offenbach-Hundheim,"ehemalige Klostermühle; U-förmig um einen Hof gruppierte Mühlenanlage mit Wohn-, Wirtschafts- und Stallräumen, im Kern aus dem 15. Jahrhundert, Umbauten um 1700 und im 19. Jahrhundert, Ölmühlengebäude 1605, Umbau 1816; Renaissanceportal, bezeichnet 1573; bauliche Gesamtanlage",49.623385,7.553313
Hauptstraße 62/73,Offenbach-Hundheim,"ehemaliges Prangergebäude; Eckbau, Fachwerkobergeschoss mit Eckerker im 18. Jahrhundert erneuert, Torbogen bezeichnet 1754",49.623636,7.551705
Klosterstraße 12,Offenbach-Hundheim,"Evangelische Pfarrkirche; Kirche der ehemaligen Benediktinerpropstei St. Maria, spätromanisch/frühgotischer Sandsteinquaderbau auf kreuzförmigem Grundriss, dreischiffiges Langhaus, Vierungsturm, drei polygonale Apsiden, um 1225 begonnen, Querhaus wohl bald nach 1250, Langhaus um 1300, 1808–10 bis auf Südseitenschiff abgebrochen, Osttravée und ein Mittelschiffjoch 1892–94, Architekten Kreisbauinspektor Koch und Regierungsbaumeister Bennstein; ortsbildprägend; im Lapidarium Reste des Vorgängers, wohl um 1150",49.624365,7.550412
Klosterstraße 13,Offenbach-Hundheim,"ehemaliges katholisches Pfarrhaus; Quaderbau, 1872; Ensemble mit katholischem Schulhaus und katholischer Kirche",49.62471,7.550169
Klosterstraße 14,Offenbach-Hundheim,"ehemalige katholische Schule; Putzbau, 1855, Aufstockung 1905/06; Ensemble mit katholischem Pfarrhaus und katholischer Kirche",49.624587,7.550008
Klosterstraße 16,Offenbach-Hundheim,"ehemalige Klosterschaffnerei; Fachwerkbau, teilweise massiv, Holzloggia, bezeichnet 1560",49.624587,7.550008
