Denkmalzone Kirchengasse 1–6,Schönenberg-Kübelberg,"kennzeichnendes dörfliches Platzbild um die katholische Kirche mit dem ehemaligen katholischen Schulhaus (Nr. 3), dem ehemaligen Schwesternheim (Nr. 4), Pfarrhaus (Nr. 6), Wegekreuz und einem kleinen Quereinhaus (Nr. 1)","",""
Kirchengasse 5,Schönenberg-Kübelberg,"Katholische Pfarrkirche St. Valentinus; barocker Saalbau, 1702–09, bezeichnet 1790, 1826 Turmaufstockung; Stumm-Orgel von 1841, 1963 erweiternder Umbau",49.407506,7.365044
(bei) Saarbrücker Straße 71,Schönenberg-Kübelberg,"Kriegerdenkmal 1914/18 und 1939/45, 1935 von Richard Menges, Kaiserslautern, Erweiterung 1956",49.408016,7.364739
Miesauer Straße 39,Schönenberg-Kübelberg,"eingeschossiges Quereinhaus mit Kniestock, 1898, im rechten Winkel Stall und Remise",49.411884,7.390862
Höcherbergstraße 2,Schönenberg-Kübelberg,"ehemalige Schule; sandsteingegliederter Putzbau, 1879 Architekt wohl Bezirksbauschaffner Rottmüller, Homburg; ortsbildprägend",49.408965,7.340655
Höcherbergstraße 5,Schönenberg-Kübelberg,"Quereinhaus, Wohntrakt mit Kniestock um 1780, Ökonomietrakt, teilweise Fachwerk, zwischen 1806 und 1842",49.408379,7.340619
Lindenstraße 2,Schönenberg-Kübelberg,"stattliches Quereinhaus, bezeichnet 1844, rechtwinklig Schweinestall; ortsbildprägend",49.409358,7.345102
Lindenstraße 16,Schönenberg-Kübelberg,"Quereinhaus mit Krüppelwalmdach, bezeichnet 1839",49.409258,7.341554
Denkmalzone Bahnhofstraße 48/52,Schönenberg-Kübelberg,"Bahnhof mit Nebengebäuden (Pissoir und Lagergebäude) und Bahnhofshotel; Bahnhof (Nr. 52) Sandsteinquaderbau, 1903/04, Zwerchhaus nach 1920, zugehörig der Bahnsteig; Bahnhofshotel: sandsteingegliederter Krüppelwalmdachbau, 1908","",""
Glanstraße 50,Schönenberg-Kübelberg,"Wohntrakt eines ehemaligen Quereinhauses, teilweise Fachwerk (verputzt), 18. Jahrhundert, hölzerne Galerie und Einfriedung wohl aus der zweiten Hälfte des 19. Jahrhunderts; straßenbildprägend",49.410976,7.376902
