"Denkmalzone Ortskern (Rathausstraße 1, 2, 3, 4, 5, 6, 7, 12/14, 16)",Waldmohr,"Ortskern um die Einmündung von Blücherstraße und Höcher Straße in die Hauptstraße, mit Kirche und Rathaus, Geschäfts- und Bauernhäusern aus dem 18. und 19. Jahrhundert",49.386739,7.334484
Denkmalzone ehemalige Grube „Consolidiertes Nordfeld“,Waldmohr,"Fundamente des Zwillingsförderturms und der Maschinenhäuser, Abraumhalden, ehemalige Bahntrasse, um 1900",49.386739,7.334484
Bahnhofstraße 45,Waldmohr,"ehemaliges Postamt; Walmdachbau, Heimatstil, 1926, Architekt Heinrich Müller, Speyer",52.281247,7.922898
Blücherstraße 3,Waldmohr,"Protestantische Pfarrkirche; Saalbau, bezeichnet 1765, Architekt Philipp Heinrich Hellermann, Zweibrücken, Erweiterung 1903, Turm, bezeichnet 1831, auf spätgotischem Erdgeschoss; Stumm-Orgel von 1861",49.386745,7.333747
Eichelscheiderstraße,Waldmohr,"Kriegerdenkmal 1914/18 und 1939/45, Unterbau von F. Cullmann und B. Marx, Waldmohr, Soldatenskulptur von Ludwig Rech, Zweibrücken, 1930, nach 1945 ergänzt; gegenüber Gedenkstein für die Opfer des Nationalsozialismus",49.385654,7.344796
Rathausstraße 3,Waldmohr,"Pfarrhaus; klassizistischer Putzbau, 1864–66; ortsbildprägend; zugehörig ehemaliger Pfarrgarten und -scheune",49.387085,7.332876
Rathausstraße 12/14,Waldmohr,"Rathaus und bis 1901 Königlich-bayerisches Amtsgericht; aufgesockelter Quaderbau mit Walmdach, Rundbogenstil, 1849/50, Architekt Bezirksbauschaffner Portscheller, Homburg; ortsbildprägend",49.387278,7.333002
(bei) Rathausstraße 37,Waldmohr,"Laufbrunnen, Steintrog, gusseiserne Säule, erste Hälfte des 19. Jahrhunderts",49.389067,7.332993
Saarpfalzstraße 11,Waldmohr,"Forstamt; Sandsteinquaderbau, 1901, Architekt Christian Jakoby, Waldmohr, bauzeitliche Remise",49.384076,7.331223
Saarpfalzstraße 12,Waldmohr,"ehemaliges Königlich-bayerisches Amtsgericht; U-förmiger Sandsteinquaderbau, Risalit mit Stufengiebel, 1900/01",49.384299,7.331699
in der Verlängerung der Weiherstraße in den Wald,Waldmohr,"ehemalige Verladerampe der Grube Nordfeld, etwa 8 m hohe Rampe, 1902",49.379601,7.331897
Eichelscheiderhof 2–5,Waldmohr,"ehemaliges Herzoglich-zweibrückisches Gestüt Eichelscheider Hof; eingeschossiges hufeisenförmiges Stallgebäude mit zweigeschossigem Torhaus, Wohn- und Wirtschaftsgebäude, hohe Walmdächer, 1752–57",49.379977,7.383056
