Denkmalzone Alter jüdischer Friedhof (Dantestraße), Mainz-Bretzenheim,"1883 angelegt, teilweise Backsteinmauer, originale Torpfosten; 18 Grabsteine von 1888 bis 1919"
"Denkmalzone Am Mühlbach 20–28 (gerade Nummern), 23–33 (ungerade Nummern), Teichstraße 2", Mainz-Bretzenheim,"geschlossene Gruppe villenartiger eineinhalb- bis zweigeschossiger traufständiger Doppelwohnhäuser mit Vorgärten, erstes Jahrzehnt des 20. Jahrhunderts"
Denkmalzone Mühlweg 42, Mainz-Bretzenheim,"ehemalige „Regnersche Mühle“; Mahlraum des Hauptgebäudes von der im Kern eventuell noch aus dem 17. Jahrhundert stammenden, im 18. und 19. Jahrhundert überformten Anlage, integriert in den Neubau, im Obergeschoss wiederverwendete Fachwerkteile (dendrodatiert um 1800)"
Denkmalzone Neuer jüdischer Friedhof (Am Ostergraben), Mainz-Bretzenheim,"1911 angelegt inmitten des christlichen Friedhofs; 19 Grabsteine, originale Grabeinfassungen"
"Denkmalzone Ortskern (An der Oberpforte, An der Riegelspforte, An der Wied, Anzengasse, Bäckergasse, Faulhaberstraße, Gänsmarkt, Kirchenpforte, Rathausstraße, Roetgenstraße, Steinbiedengasse, Wilhelmstraße, Zaybachstraße)", Mainz-Bretzenheim,"Ortskern des zweizeiligen Straßendorfes in den Grenzen der mittelalterlichen Wall-Graben-Befestigung, Straßen- und Wegenetz bis zum Spätmittelalter ausgeformt, kleinteiliges Parzellengefüge mit kleinbäuerlichen Hofanlagen, überwiegend Hakenhöfe des 19. Jahrhunderts, im Kern teilweise aufs 18. Jahrhundert zurückgehend; kennzeichnendes Ortsbild um die barocke Pfarrkirche St. Georg, das ehemalige Schulhaus (1846/48) und das renaissancezeitliche Rathaus"
Denkmalzone Alte Ziegelei (an der Pariser Straße), Mainz-Bretzenheim,"1904 ff. angelegt; stattlicher Ringofen mit Fachwerküberbau, 1904 von Peter Koppa, Weisenau, hochaufragender Schornstein, überdachte Trockengestelle"
Am Ostergraben, Mainz-Bretzenheim,"Friedhof; Kreuzigungsgruppe, Rotsandstein, 1913 von Ludwig Lipp senior"
An der Kirchenpforte 1, Mainz-Bretzenheim,"Hofanlage; barockes Wohnhaus, teilweise Fachwerk (verputzt), wohl erste Hälfte des 18. Jahrhunderts"
An der Oberpforte 2, Mainz-Bretzenheim,"Dreiseithof; eingeschossiger Putzbau, bezeichnet 1835, im Kern wohl aus dem 18. Jahrhundert; Bruchsteinscheune, 19. Jahrhundert"
An der Oberpforte 21, Mainz-Bretzenheim,"spätbarockes Wohnhaus, teilweise Fachwerk (verputzt), im Kern aus der ersten Hälfte des 18. Jahrhunderts; straßenbildprägend"
An der Wied 2, Mainz-Bretzenheim,"Rathaus (Ortsverwaltung); Krüppelwalmdachbau, teilweise Fachwerk (verputzt), Erkerturm mit Schweifhaube, 1575"
An der Wied 3, Mainz-Bretzenheim,"Hakenhof; spätbarocker Putzbau, im Kern aus der Mitte des 18. Jahrhunderts, Umbau um 1840, Wirtschaftsgebäude aus dem 19. und frühen 20. Jahrhundert"
An der Wied 5, Mainz-Bretzenheim,"Katholische Pfarrkirche St. Georg; im Kern mittelalterlicher Chorturm (zwei romanische, ein spätgotisches Geschoss), barockisierendes Glockengeschoss und Zwiebelhaube 1896 von Ludwig Becker; barocker Saalbau, 1720–22 von Christoph Lechleitner, Südportal bezeichnet 1720 (Steinmetz B. Glöckner); Vorhalle und Sakreisteianbau 1959 von Hugo Becker, Mainz; nördlich der Kirche Kriegerdenkmal 1914/18, 1922 von Wilhelm Merten"
An der Wied 6, Mainz-Bretzenheim,"barockes Wohnhaus, teilweise Fachwerk, erste Hälfte des 18. Jahrhunderts"
An der Wied 8, Mainz-Bretzenheim,"Wohnhaus einer Hofanlage, teilweise Fachwerk, im Kern aus dem 18. Jahrhundert"
An der Wied 36, Mainz-Bretzenheim,"im Kern barockes Wohnhaus, teilweise Zierfachwerk (verputzt), 18. Jahrhundert, historisierende Giebelwand um 1860"
Bahnstraße, Mainz-Bretzenheim,"Ludwigsdenkmal; Veteranendenkmal, bezeichnet 1874"
Essenheimer Straße 40, Mainz-Bretzenheim,"Heinrich-Mumbächer-Schule; ehemals dreiflügeliger Gründerzeitbau, Klinkerfassade mit Keramikfriesen, bezeichnet 1887, von A. Regner"
Gänsmarkt 16, Mainz-Bretzenheim,"ehemaliges Spritzenhaus; Klinkerbau, Schlauchtrockenturm mit Pyramidenhelm, 1904"
Hochstraße 16, Mainz-Bretzenheim,"Evangelisches Pfarrhaus; anspruchsvoller villenartiger Putzbau mit ausgebautem Mansarddach, Heimatstil, 1909–11 von Regierungsbaumeister Leydhecker"
Mühlweg, Mainz-Bretzenheim,"Schönbornsche Wassergalerie; etwa 200 m langer, 2,20 m hoher tonnengewölbter Gang mit Stollen und Nischen, 1724–28 von Brunnenmeister Stumpf, Wien"
Pfarrer-Veller-Straße 14, Mainz-Bretzenheim,"ehemaliges evangelisches Bet- und Pfarrhaus; neugotischer Rotklinkerbau, 1892/93 von J. Meyer, Mainz; straßenbildprägend"
Rathausstraße 2, Mainz-Bretzenheim,"barockes Wohnhaus, teilweise Fachwerk, erste Hälfte des 18. Jahrhunderts"
im Westen der Gemarkung an einem Feldweg, Mainz-Bretzenheim,"Wasserbehälter; kleiner Jugendstilbau, Rustikamauerwerk, bezeichnet 1905, von der Kulturinspektion Mainz"
