Denkmalzone Jüdischer Friedhof (Zornheimer Straße), Mainz-Ebersheim,wohl in der ersten Hälfte des 19. Jahrhunderts angelegt. 41 Grabsteine von 1875 bis 1923
"Denkmalzone Laurentiusstraße 13–31 (ungerade Nummern), 40, Römerstraße 12, 14, 16", Mainz-Ebersheim,"ländlich geprägtes Straßenbild, kleinbäuerlich geprägtes Dorfgefüge des 19. Jahrhunderts in seltener Geschlossenheit bewahrt: Dreiseithöfe (zum Beispiel Laurentiusstraße 21, 23, 40, Römerstraße 14) und Hakenhöfe (zum Beispiel Laurentiusstraße 27) mit straßenbildprägenden Toranlagen, 19. Jahrhundert; Laurentiusstraße 29, Einfirsthaus, Mitte des 19. Jahrhunderts, Laurentiusstraße 40 mit Fachwerkobergeschoss; Römerstraße 12 mit spätgotischem Schildgiebel; Römerstraße 16, eineinhalbgeschossiges Wohnhaus mit gotisierender Sandsteingliederung, 1903"
"Denkmalzone Töngeshof (Im Töngeshof 1–11, Töngesstraße 54)", Mainz-Ebersheim,"ehemaliger Sitz der Kellerei des kurmainzischen Amtes Nieder-Olm, 1818 Parzellierung in mehrere Hofstellen; Wohn- und Wirtschaftsgebäude, 17. bis 19. Jahrhundert; teilweise bauzeitliche Umfassungsmauer; Nr. 1 spätbarockes Einfirsthaus, teilweise Fachwerk, zweite Hälfte des 18. Jahrhunderts, Mainzer Wappen (Spolie); Nr. 2 Wohnhaus, teilweise Fachwerk (verputzt), im Kern aus der ersten Hälfte des 18. Jahrhunderts; Nr. 5 Kleinhaus mit Bruchsteinscheune, 19. Jahrhundert; Nr. 6 Krüppelwalmdach-Scheune, 18. Jahrhundert, in der Garteneinfriedung Wappenstein Kurfürst Johann Schweikhard von Kronberg (Spolie); Nr. 8 ehemaliges Herrenhaus, um 1650, Nr. 9, 10 Wohnhäuser, teilweise Fachwerk, 18. Jahrhundert; Nr. 3, 4, 6, 11 Neubauten oder veränderte Altsubstanz; die in wesentlichen Grundzügen erhaltenen Anlage von herausragender Bedeutung für die Ortsgeschichte"
Denkmalzone Fort Muhl, Mainz-Ebersheim,"Reste des Infanteriewerks Fort Muhl, 1909/10: Reste der ehemaligen Mannschafts- und Munitionsräume sowie sonstiger Baulichkeiten, überwiegend Eisenbetonbauten einschließlich ehemaligem Graben"
Im Töngeshof 8, Mainz-Ebersheim,"ehemaliges Herrenhaus (Sitz des kurmainzischen Amtskellers); repräsentativer kubischer Walmdachbau, Spätrenaissance, um 1650; Wappen Kurfürst Johann Philipp von Schönborn; platzbildprägend"
(an) Konrad-Adenauer-Straße 26, Mainz-Ebersheim,"Teil eines Bildstocks, spätbarocke Marienkrönung, bezeichnet 1761"
Römerstraße 5, Mainz-Ebersheim,"Gasthaus Darmstädter Hof; Bruchsteinbau (heute verputzt), spätklassizistische Motive, 1860er Jahre; straßenbildprägend"
Römerstraße 21, Mainz-Ebersheim,"Katholische Pfarrkirche St. Laurentius; barocker Saalbau, 1725–29, Turm mit Spitzhelm, 1768, neubarocke dreischiffige Erweiterung, 1908/09 von Ludwig Becker, Mainz; Römerstraße 21: , Rotsandstein, Werkstatt Gebrüder Decker, Mainz"
Römerstraße 23, Mainz-Ebersheim,"Katholisches Pfarrhaus; repräsentativer historisierender Gelbklinkerbau, 1896/97 nach Musterplan des Mainzer Dombauamtes; Gartenmauer 18. und 19. Jahrhundert mit Renaissance-Pforte, bezeichnet 1612"
(bei) Töngesstraße 1, Mainz-Ebersheim,"ehemaliger Bildstockaufsatz; spätbarocke reliefierte Dreifaltigkeitsgruppe, bezeichnet 1776"
am Harxheimer Weg südöstlich des Ortskerns, Mainz-Ebersheim,"Wegekreuz; Kruzifix über Altarsockel, Rotsandstein, bezeichnet 1843, erneuert 1918"
auf einer Anhöhe südlich des Ortes, Mainz-Ebersheim,"Wasserbehälter; bossenquaderverkleideter Rechteckbau, Jugendstil, bezeichnet 1905, von der Kulturinspektion Mainz"
inmitten von Weinbergen an der Kühlhohlchaussee nach Mommenheim im Süden der Gemarkung, Mainz-Ebersheim,"Wegekreuz; Altarkruzifix, Rotsandstein, bezeichnet 1780, gusseiserner Korpus und Einfriedung, 1894"
