"Denkmalzone Bierothstraße 1–11 (ungerade Nummern), Poststraße 40, Veitstraße 1, 2, 3", Mainz-Finthen,"geschlossene regelmäßige Bebauung mit eineinhalb- bis zweigeschossigen spätgründerzeitlichen Kleinhäusern, um 1900"
"Denkmalzone Kirchgasse 2, 4, 6, 8, Borngasse 1, Poststraße 48, 53, 55, Jungenfeldstraße ohne Nummer", Mainz-Finthen,"historischer Ortsmittelpunkt mit Kirche, ehemaligem Rathaus, alter Schule, ehemaligem Adelshof der Gedult von Jungenfeld, ehemaliger Knabenschule, ehemaligem katholischem Pfarrhof sowie ein- und zweigeschossigen Wohn- und Geschäftshäuser, 18., 19. und 20. Jahrhundert"
"Denkmalzone Poststraße 3–9 (ungerade Nummern), Kurmainzstraße 2, Flugplatzstraße 1, 2, Adlergasse 9/11", Mainz-Finthen,"historische Eingangssituation zum engeren Kernbereich des Dorfes mit traditionell organisierten Hofanlagen (Poststraße 3, 5, 7, 9, Kurmainzstraße 2, 19. Jahrhundert), ehemaliger Poststation „Gasthaus zum Adler“ (Flugplatzstraße 1, 1850), und villenartigen Wohnhäusern (Adlergasse 9/11, Flugplatzstraße 2, 1920er Jahre)"
"Denkmalzone Poststraße 33, 35, 37", Mainz-Finthen,"Baugruppe des 19. Jahrhunderts aus Hakenhof, erste Hälfte des 19. Jahrhunderts; Wohnhaus, Bruchstein-Scheune, 19. Jahrhundert; eineinhalbgeschossiges Tagelöhnerhaus, Mitte des 19. Jahrhunderts; sandsteingegliedertes Wohnhaus, drittes Viertel des 19. Jahrhunderts"
Am Obstmarkt 2, Mainz-Finthen,"Obstmarkthalle; langgestreckter Backsteinbau mit historisierender Rotklinkerfassade, bezeichnet 1925"
"Am Obstmarkt 2, Kurmainzstraße 17", Mainz-Finthen,"unterkellerter Erweiterungsbau der Obstmarkthalle, Rotklinkerfassade, 1936"
Am Obstmarkt 4, Mainz-Finthen,"Hakenhof, drittes Viertel des 19. Jahrhunderts; eineinhalbgeschossiger sandsteingegliederter Bruchsteinbau, Bruchstein-Scheune"
Am Obstmarkt 31, Mainz-Finthen,"repräsentativer Krüppelwalmdachbau, teilweise Zierfachwerk, 1868, Aufstockung, Renaissance- und Jugendstilmotive, 1913 wohl von Jacob Struth; straßenbildprägend"
Bierothstraße 3, Mainz-Finthen,"ehemaliges Spritzenhaus; Bruchsteinbau, teilweise verbrettert, bezeichnet 1910, von Kreisbauinspektor Lucius"
Kettelerstraße, Mainz-Finthen,"Friedhof; barockisierende Kreuzigungsgruppe auf Unterbau, bezeichnet J. Struth Finthen, wohl um 1910"
Kirchgasse, Mainz-Finthen,"Kriegerdenkmal 1914/18 und 1939/45; Muschelkalkquaderstele mit Eisernem Kreuz, 1939 von Peter Dienstdorf, Wiesbaden, 1960 erweitert mit Stützenkranz mit Architrav, Beton"
Kirchgasse, Mainz-Finthen,"Kriegerdenkmal 1870/71; reliefierter Rotsandsteinobelisk, bezeichnet 1875"
Kirchgasse 4, Mainz-Finthen,"Katholische Pfarrkirche St. Martin; neuromanische dreischiffige Pseudobasilika, 1852–54 von Joseph Roedler, Mainz, Westturm spätgotisch, bezeichnet 1519, gotisierendes Obergeschoss 1910 wohl von Ludwig Becker, Mainz; am Turm Sandsteinkruzifix, bezeichnet 1763; ortsbildprägend"
Lambertstraße 14, Mainz-Finthen,"ehemalige Mädchenschule; zweiteiliger gründerzeitlicher Klinkerbau, 1896"
Poststraße 3, Mainz-Finthen,"Wegekreuz, spätbarock, bezeichnet 1779"
Poststraße 48, Mainz-Finthen,"ehemaliges Jungenfeldsches Haus; dreigeschossiger barocker Walmdachbau, bezeichnet 1719, Aufstockung 1886"
Poststraße 55, Mainz-Finthen,"ehemaliges Rathaus, heute Sparkasse; Krüppelwalmdachbau, im Kern eventuell um 1600, barocker Umbau im frühen 18. Jahrhundert; straßenbildprägend"
Poststraße 69, Mainz-Finthen,"ehemaliges Rathaus; 1928/29 Umbau eines Wohnhauses, im Kern aus der Mitte des 19. Jahrhunderts, in barockisierendem Heimatstil, bezeichnet 1928, vom Hochbauamt Mainz"
Poststraße 71, Mainz-Finthen,"Kloster der Schwestern von der Göttlichen Vorsehung (Mainz); historistische Baugruppe, bestehend aus: Schwesternhaus, gotisierender Quaderbau, Treppengiebel, 1853 ff., Erweiterung in den 1920er Jahren; Kapelle, neugotischer Ziegelbau, 1886/87 von Franz Schäfer; ehemalige Kleinkinder-Anstalt, zweiflügeliger Krüppelwalmdachbau, Jugendstilmotive, 1906; ehemalige Wirtschaftsgebäude, Backstein, Treppengiebel, Ende des 19. Jahrhunderts; an der Einfriedung ehemalige Totenkammer, um 1910; Heiligenhäuschen, 1920er Jahre"
Prunkgasse 79, Mainz-Finthen,"Villa Claß; Putzbau, um 1850, Aufstockung, Erker und Altan nach 1900, Giebelfassade mit Jugendstilmalereien"
Rosmerthastraße 46, Mainz-Finthen,"Katholische Kirche St. Hedwig, spätgotisches Sakramentshäuschen, 14. Jahrhundert; spätgotische Figurengruppe (heilige Sippe), frühes 16. Jahrhundert, neugotisches Gehäuse"
Sertoriusring, Mainz-Finthen,"Hessendenkmal; reliefierter Sandsteinobelisk auf Bruchsteinsockel, bezeichnet 1858, bauzeitliche Einfriedung"
am Ostrand der Gemarkung (Feldweg am Gonsbach), Mainz-Finthen,"Wasserbehälter; anspruchsvoller barockisierender Putzbau, 1900 von der Kulturinspektion Mainz"
