Denkmalzone Am Kartäuserhof 13, Mainz-Hechtsheim,"Hofanlage, spätbarockes Wohnhaus, 18. Jahrhundert, Umbau um 1847, Ökonomiegebäude um 1850"
"Denkmalzone Bergstraße 22, 37, 39, 43", Mainz-Hechtsheim,"dorftypisches Ensemble öffentlicher und konfessioneller Bauten: Nr. 43 katholische Pfarrkirche, Nr. 22 spätbarockes Pfarrhaus, Nr. 39 ehemaliges Schwesternhaus, 1907, Nr. 37 ehemaliges Schulhaus, 1841, Architekt Peter Wetter; Baugruppe von städtebaulicher Bedeutung und ortsgeschichtlicher Aussage"
Denkmalzone Jüdischer Friedhof (Heuerstraße), Mainz-Hechtsheim,"1882 angelegt, letzte Bestattung wohl 1938; 47 Grabsteine ab 1884; aufwändiger Grabstein S. Kapp (gestorben 1891)"
"Denkmalzone Ortskern (Am Kartäuserhof, Eckgasse, Froschmarkt, Grauelstraße, Heuerstraße, Lindenplatz)", Mainz-Hechtsheim,"dörflich geprägtes Ortsgefüge, spätmittelalterliches Straßen- und Wegenetz, Vierseithöfen des 18. und 19. Jahrhunderts mit Toranlagen und Kelterhäusern (darunter Grauelstraße 1-3, ehemaliger Zehnthof des Mainzer Liebfrauenstiftes)"
(an) Alte Mainzer Straße 4, Mainz-Hechtsheim,"Toranlage, frühes 19. Jahrhundert"
Alte Mainzer Straße 6, Mainz-Hechtsheim,"Hofanlage, 19. Jahrhundert; stattliches Wohnhaus, wohl um 1860/70, Backsteinscheune mit Taubenhaus"
(bei) Alte Mainzer Straße 30, Mainz-Hechtsheim,"Wegekapelle; Walmdachbau, um 1820"
Am Kartäuserhof 9, Mainz-Hechtsheim,"ehemaliger Kartäuserhof; Wohnhaus, spätbarocker Winkelbau, Mitte des 18. Jahrhunderts; ehemaliges Kelterhaus mit Krüppelwalmdach, Werkstatt, Waschküche und Scheune 19. Jahrhundert, Stall nach 1872; straßenbildprägend"
(gegenüber) Am Kartäuserhof 13, Mainz-Hechtsheim,"Wegekreuz; Altarkreuz, Rotsandstein, 19. Jahrhundert"
Bergstraße 22, Mainz-Hechtsheim,"Katholisches Pfarrhaus; spätbarocker Walmdachbau, 1792/93"
Bergstraße 43, Mainz-Hechtsheim,"Katholische Pfarrkirche St. Pankratius; im Kern wohl romanischer Turm, barockes Langhaus, bezeichnet 1752, neugotische Erweiterung als dreischiffige Stufenhalle, 1901/02 von Ludwig Becker; ortsbildprägend; am Südportal spätbarocke Kreuzigungsgruppe; am Turm Gedenkstein M. Klein († 1825); Friedhof mit neugotischer Leichenhalle, letztes Viertel des 19. Jahrhunderts; Veteranenstein, 1839; Kriegerdenkmal 1870/71, bezeichnet 1873"
Heuerstraße 6, Mainz-Hechtsheim,"Wohnhaus eines Vierseithofs, Eckhaus, teilweise Fachwerk (verputzt), bezeichnet 1746"
Heuerstraße 14, Mainz-Hechtsheim,"Alte Schule; gründerzeitlicher Backsteinbau mit Walmdach, bezeichnet 1886"
(in) Mittelstraße 7, Mainz-Hechtsheim,"Wandmalerei im Treppenhaus, 1906/07"
Morschstraße/Abzweigung Bischofsheimer Weg, Mainz-Hechtsheim,"Wegekreuz; Altarkruzifix, Rotsandstein, bezeichnet 1869"
Morschstraße/Einmündung Im Zuckergarten, Mainz-Hechtsheim,"Wegekapelle; gotisierender Putzbau, wohl gegen 1900"
(bei) Ringstraße 41, Mainz-Hechtsheim,"Wegekapelle; Putzbau in barockisierendem Heimatstil, um 1910/20"
am Weisenauer Weg, Mainz-Hechtsheim,"Wasserbehälter; historisierender Zweckbau, um 1910 von Kulturinspektion Mainz"
