Denkmalzone Im Winkel 2, Mainz-Marienborn,"Hofanlage, spätes 19. Jahrhundert; eingeschossiger Bruchsteinbau mit Kniestock, Bruchsteinscheune 1889, Ställe, Schuppen, Waschküche"
"Denkmalzone Ortskern (Gottfried-Schwalbach-Straße, Im Borner Grund, Mercatorstraße, Wiesenstraße)", Mainz-Marienborn,"Kernbereich des typisches rheinhessisches Straßendorfes einschließlich der hoch gelegenen Kirche und des Geländes des ehemaligen Priesterhauses, jetzt Friedhof; Haken-, Dreiseit- und Vierseithöfe aus dem 17. bis 19. Jahrhundert mit relativ vielen Fachwerkbauten darunter"
Gottfried-Schwalbach-Straße 38/40, Mainz-Marienborn,"ehemalige Schule und katholisches Pfarrhaus, heute „Haus St. Stephan“; Schulgebäude, Putzbau mit historisierender Giebelwand, 1829/30, Pfarrhaus, spätklassizistischer Putzbau, bezeichnet 1854; straßenbildprägend"
Im Borner Grund/Ecke Gartenstraße, Mainz-Marienborn,"Wegekreuz, Sandsteinkruzifix, barockisierender Korpus, 19. Jahrhundert"
Im Borner Grund 17/19, Mainz-Marienborn,"spätbarockes Doppelwohnhaus, teilweise Fachwerk (verputzt), (Krüppel-)Walmdach, spätes 18. Jahrhundert; straßenbildprägend"
Im Borner Grund 30, Mainz-Marienborn,"spätbarockes Wohnhaus, teilweise Fachwerk, wohl zweite Hälfte des 18. Jahrhunderts; im Hof Brunnen; in der Umfassungsmauer Ziehbrunnen; straßenbildprägend"
Im Borner Grund 34, Mainz-Marienborn,"barockes Wohnhaus, teilweise Fachwerk, Ende des 17. Jahrhunderts"
Im Borner Grund 36, Mainz-Marienborn,"Hofanlage, eingeschossiger Krüppelwalmdachbau, 1836, Bruchstein-Scheune, 18. Jahrhundert"
Im Borner Grund 43, Mainz-Marienborn,"Katholische Pfarr- und Wallfahrtskirche St. Stephan; barocker Saalbau mit Giebelfassade, 1729/30, Dachreiter bezeichnet 1738; ortsbildprägend; auf dem Kirchhof Lourdes-Kapelle und „Sieben Schmerzen“, Jugendstil"
Im Borner Grund 45, Mainz-Marienborn,"barocker Krüppelwalmdachbau, teilweise Fachwerk, erste Hälfte des 18. Jahrhunderts"
(bei) Im Borner Grund 45, Mainz-Marienborn,"Marienborn; barocker Ziehbrunnen, Rotsandstein, 18. Jahrhundert"
Im Borner Grund 55, Mainz-Marienborn,"Wohnhaus eines Vierseithofs, stattlicher Putzbau, um 1840"
Im Borner Grund 65, Mainz-Marienborn,"Eckwohnhaus, Barockbau, teilweise Fachwerk (verputzt), Mitte des 18. Jahrhunderts"
(bei) Im Borner Grund 89, Mainz-Marienborn,"Wegekreuz; Rotsandsteinsockel, bezeichnet 1730, neugotisches gusseisernes Kreuz"
Mercatorstraße, Mainz-Marienborn,"Torbogen des ehemaligen Priesterhauses, bezeichnet 1725"
Mercatorstraße 9, Mainz-Marienborn,"ehemalige Zehntscheune des St. Viktorstiftes; Bruchsteinbau mit Schildgiebeln, wohl um 1600, Giebelfachwerk wohl 18. Jahrhundert, Umfassungsmauer 18. oder 19. Jahrhundert"
Pariser Straße 65, Mainz-Marienborn,"Chausseehaus; ehemalige Mautstelle und Gasthaus, bezeichnet 1774; spätbarocker Krüppelwalmdachbau; Ökonomietrakt mit Krüppelwalmdach; zwei Scheunen, 19. Jahrhundert; im Hof Brunnen; Gartenumfriedung 19. Jahrhundert"
