"Denkmalzone Bahnhofplatz (Bahnhofplatz 1, 4, 8, Bahnhofstraße 14, 15, 17, Schottstraße 1, 3/5)", Mainz-Neustadt,"halbkreisförmige Platzanlage vor dem Empfangsgebäude des Hauptbahnhofs mit dem Ansatz der fünf strahlenförmig davon abgehenden Straßen und Teilen der Randbebauung, bis 1884 als repräsentativer Stadteingang mit Hotel- und Restaurationsbetrieben angelegt, für den Städtebau des 19. Jahrhunderts typische Platzform"
"Denkmalzone Bismarckplatz (Bismarckplatz, Barbarossaring, Corneliusstraße, Holsteinstraße, Kaiser-Karl-Ring, Kreißigstraße, Moltkestraße, Moselstraße, Richard-Wagner-Straße, Woynastraße)", Mainz-Neustadt,"am nördlichen Rand der Neustadt bei der Zufahrt zum Schlacht- und Viehhof gelegener Platz mit strahlenförmigen Zufahrtsstraßen, der anfangs nur zögerlich bebaut wurde, dementsprechend die geschlossene überwiegend fünfgeschossige Blockrandbebauung nur mit einigen Wohnhäusern aus der Zeit um 1890 bebaut, die übrigen Blocks von Reichsvermögensamt, Städtischem Hochbauamt und der Gesellschaft für die Errichtung von Kleinwohnungen in den 1920er Jahren errichtet, Zeugnis der Sozial- und der Stadtbaugeschichte der Stadt Mainz"
"Denkmalzone Feldbergplatz, Am Zollhafen, Frauenlobstraße, Hafenstraße, Taunusstraße", Mainz-Neustadt,"Bebauung der Ufererweiterung zwischen Frauenlobstraße und Zollhafen, ab 1887 bis in die ersten Jahren des 20. Jahrhunderts, mit blockrandbegleitenden Wohnhäusern, öffentlichen Gebäuden (Schulen, Chemische Untersuchungsanstalt) und dem südlichen Rand der Zollhafenbauten"
"Denkmalzone Gartenfeldplatz (Gartenfeldplatz, Gartenfeldstraße mit Eckbebauung zu Adam-Karillon-Straße, Frauenlobstraße und Kurfürstenstraße)", Mainz-Neustadt,"Platzanlage des Historismus mit der zuführenden Straße, die Bebauung begann direkt mit der Anlage der Neustadt ab 1875, geschlossenen Platzwand aus zwei- bis fünfgeschossigen Wohnbauten, von besonderer stadtgeschichtlicher und städtebaulicher Bedeutung"
Denkmalzone ehemaliges Neues Proviantamt (Rheinallee 111), Mainz-Neustadt,"von der einen gesamten Baublock einnehmenden Anlage des ehemaligen Proviantamtes zur Versorgung der Garnison erhalten die Bäckerei und das Mehlmagazin (Backsteinbauten, Bäckerei mit vier turmartigen Eckbauten mit Zeltdächern), die Gebäude des Hafermagazins und des Dienstwohngebäudes nur in Resten erhalten, nach 1900 nach Plänen des Militär-Bauamts, Zeugnis der Militärgeschichte von Mainz"
"Denkmalzone Peter-Cornelius-Platz (Peter-Cornelius-Platz 2–12 (gerade Nummern), Barbarossaring 1, Colmarstraße 3, 6, 8, 9, 10, 11, 13, 15, Goethestraße 1–5, Kaiser-Wilhelm-Ring 63–89 (ungerade Nummern), 72–82 (gerade Nummern), Nackstraße 50–56 (gerade Nummern), 57/59, Pankratiusstraße 24/24A, 26, 28, 30, 40/42, 44, Uhlandstraße 1, 1A, 2–5, 10, 12, 14, Werderstraße 2)", Mainz-Neustadt,"dreieckige Platzanlage mit den anschließenden Straßen, um 1905 errichtete durchgehend fünfgeschossige Blockrandbebauung mit Wohn- und Geschäftshäusern in späthistoristischer Gestaltung, meist aus rotem und gelbem Backstein mit Sandsteingliederungen, mehrgeschossige Kastenerker; anschauliches Bild einer zeittypischen Platzgestaltung"
117er Ehrenhof, Mainz-Neustadt,"Ehrenmal für das „Infanterie-Leib-Regiment „Großherzogin“ (3. Großherzoglich Hessisches) Nr. 117“; Platzanlage mit Wasserbecken und Sandsteinmauer, Spolie mit Inschrifttafel, 1933, Architekten Preis und Kreppel, Bronzelöwe von Carl Hoffmann; Ehrenmal für die Gefallenen der 263. Infanterie-Division, Stele, 1961"
117er Ehrenhof 2, Mainz-Neustadt,"Schulgebäude des Rabanus-Maurus-Gymnasiums; schlossartige neubarocke Dreiflügelanlage, 1886–89 nach Plänen des Großherzoglichen Kreisbauamtes"
Adam-Karrillon-Straße 5, Mainz-Neustadt,"viergeschossiger sandsteingegliederter Backsteinkubus mit dreigeschossigem Anbau, Neurenaissance, 1881, Architekt Jacob Prestel"
Adam-Karrillon-Straße 13, Mainz-Neustadt,"dreigeschossiges Wohnhaus, vorspringender Eckbaukörper mit Kuppeldach, Neurenaissance, 1885, Baufirma Zulehner & Cie."
(vor) Adam-Karrillon-Straße 23, Mainz-Neustadt,in den Bürgersteig eingelassenes halbrundes dunkles Pflasterband um ein weißes Pflastersteinfeld zum Gedenken an den Tod einer Fau durch einen Luftangriff 1918
Adam-Karrillon-Straße 31, Mainz-Neustadt,"fünfgeschossiges Zeilenwohnhaus mit gotisierender Back-Sandsteinfassade, dreigeschossigem Standerker, 1896, Architekten Clemens und Peter Gustav Rühl"
Adam-Karrillon-Straße 34, Mainz-Neustadt,"späthistoristisches Einfamilienhaus mit ausgebauten Mansarddach, 1883, Architekt Johann Hessel"
Adam-Karrillon-Straße 35, Mainz-Neustadt,"Frauenlob-Gymnasium; ehemalige Oberreal- und Höhere Handelsschule, mächtiger Eckbau, Giebelrisalit mit Laube, Neurenaissance, 1904–06, Architekt Adolf Gelius"
Adam-Karrillon-Straße 58, Mainz-Neustadt,"fünfgeschossiges (heute sechs) späthistoristisches Zeilenwohnhaus, Jugendstilformen, 1902, Architekt Reinhold Weisse"
Adam-Karrillon-Straße 64, Mainz-Neustadt,"fünfgeschossiges späthistoristisches Zeilenwohnhaus, 1901, Architekt Oscar Hauswald"
Adam-Karrillon-Straße 70, Mainz-Neustadt,"viergeschossiges späthistoristisches Eckwohnhaus mit Mansarddach, 1899, Architekt Adam Roedler"
Josefsstraße 78, Mainz-Neustadt,"Katholische Pfarrkirche St. Joseph; Backsteinbau auf ellipsenförmigem Grundriss, 1956, Architekt Hugo Becker"
Am Zoll- und Binnenhafen, Mainz-Neustadt,"ehemalige Infanteriemauer; Teil der rheinseitigen Befestigungsanlagen; zwei Sandsteinquader-Mauerzüge, 1881, Architekt Eduard Kreyßig"
Am Zollhafen 3, Mainz-Neustadt,"ehemaliges Maschinen- und Kesselhaus des Hafens; langgestreckter eingeschossiger Backsteinbau mit turmartigem Mittelbau, 1887, Architekt Eduard Kreyßig"
Am Zollhafen 8, Mainz-Neustadt,"ehemaliges Wohngebäude mit Restauration; anspruchsvolles späthistoristisches Wohn- und Geschäftshaus, 1887, Architekten Schumacher und Greiner"
Am Zollhafen 10, Mainz-Neustadt,"stattliches viergeschossiges Zeilen-Eckwohnhaus mit ausgebautem Mansarddach, Neurenaissance, um 1890"
Am Zollhafen 12, Mainz-Neustadt,"Chemisches Untersuchungsamt für die Provinz Rheinhessen; barockisierende Portalrahmung am wiederaufgebauten, gleichwohl straßenbildmitprägenden Gebäude, 1905"
An der Alten Allee 7, Mainz-Neustadt,"ehemaliges Reinigungs- und Regenerierungsgebäude des Gaswerks auf der Ingelheimer Aue; zweieinhalbgeschossiger basilikaartiger Klinkerbau, 1899, Architekt Adolf Gelius"
Bahnhofplatz 1, Mainz-Neustadt,"Hauptbahnhof; Empfangsgebäude bestehend aus überhöhtem Mittelbau mit plastischem Dekor, niedrigeren Flügelbauten und Eckpavillons, 1876–84, Architekt Philipp Johann Berdellé; Bahnsteighalle, Stahlbinderkonstruktion mit verglasten Paralleldächern, 1939"
