Denkmalzone Schloss Bassenheim (Walpot-Platz 7),Bassenheim,"bauliche Gesamtanlage aus Schloss und Park, Denkmalzone mit den Bauten um den Walpot-Platz (Walpot-Platz 2, 3, 4, 5, 6, 9, 11, 12, 13); zugehörig:

Schloss Bassenheim; ursprünglich Wasserburg, 1317 erstmals genannt, Renaissancebau 1614–16, nach verschiedenen barocken Planungen unter anderem von Johannes Seiz, 1914-1917 neubarocke Erweiterung unter Julius Raschdorf, Architekt Ernst Brand, Trier
an der Hofseite übereckgestellter Turm mit zwei Erkern, einer bezeichnet 1614, neubarockes Haubendach; jüngerer Bauteil, Putzbau mit Mansarddach, 17. Jahrhundert
Park 1769 angelegt, im 19. Jahrhundert nach englischen Vorbildern umgestaltet
Teehaus um 1800
Eingangspavillon mit französisierendem Mansardwalmdach, großes Gusseisenportal
Mausoleum für A. und Ch. von Oppenheim (1811-1889)
Waschhaus 1914–17

",50.360185,7.460688
Denkmalzone Jüdischer Friedhof,Bassenheim,31 Grabstelen,50.360185,7.460688
Denkmalzone Marienkapelle auf dem Karmelenberg,Bassenheim,"Wallfahrtskapelle, Saalbau, 1662–68; Gipfelkreuz, bezeichnet 1733; sieben Fußfälle, um 1760; Prozessionsweg mit altem Baumbestand",50.360185,7.460688
Altengärtenweg,Bassenheim,"Säuerlingsbrunnen, genannt „Bur“; Zentralbau, Gusseisen, 19. Jahrhundert",50.358369,7.459188
auf dem Friedhof,Bassenheim,"Wegekreuz, 1820; zwei Grabkreuze, 18. Jahrhundert",50.360185,7.460688
(zu) Hospitalstraße 16,Bassenheim,"ehemalige Krankenhauskapelle; neugotischer Tuffsteinsaal, 1899, Architekt Lambert von Fisenne, Gelsenkirchen",50.360547,7.457292
"Martinsthal, Ecke Raiffeisenstraße",Bassenheim,"Kapelle; Basaltbruchsteinbau, 20. Jahrhundert",50.052376,8.121049
Mayener Straße 12,Bassenheim,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, 18. Jahrhundert",50.358909,7.457086
Mayener Straße 42,Bassenheim,"neubarocke U-förmige Hofanlage, Mansarddach, zweite Hälfte des 19. Jahrhunderts",50.360139,7.459125
Walpot-Platz,Bassenheim,"Katholische Pfarrkirche St. Martin; neuromanische Basilika, 1898–1900, Architekt Lambert von Fisenne, Gelsenkirchen",50.360386,7.459898
Walpot-Platz 3,Bassenheim,"Krüppelwalmdachbau, bezeichnet 1753",50.360628,7.459646
Walpot-Platz 4,Bassenheim,"neubarocker Mansardwalmdachbau, teilweise Fachwerk, wohl aus dem 19. Jahrhundert",50.360697,7.4597
Walpot-Platz 5,Bassenheim,"Mansardwalmdachbau, teilweise Fachwerk, wohl aus dem 19. Jahrhundert",50.360789,7.459709
Walpot-Platz 6,Bassenheim,"Mansardwalmdachbau, teilweise Fachwerk, 19. oder 20. Jahrhundert",50.360869,7.459754
Walpot-Platz 9,Bassenheim,"Rathaus; Mansardwalmdachbau, teilweise Fachwerk, 1784, Erweiterung 1912",50.360369,7.460194
Walpot-Platz 11,Bassenheim,"achtachsiger Mansardwalmdachbau, bezeichnet 1781 und 1912",50.36022,7.459826
Walpot-Platz 12,Bassenheim,"Rentamt; Fachwerkhaus, teilweise massiv, 19. oder 20. Jahrhundert",50.360869,7.459754
Walpot-Platz 13,Bassenheim,"Fachwerkhaus, teilweise massiv, Mansardwalmdach, 18. Jahrhundert",50.36022,7.459826
südwestlich von Bassenheim,Bassenheim,"Eisenbahnviadukt; dreibogig, um 1900",50.360185,7.460688
"





Walpot-Platz",Bassenheim,"Katholische Pfarrkirche St. Martin


",50.360386,7.459898
"





Walpot-Platz 9",Bassenheim,"Rathaus


",50.360369,7.460194
"





Walpot-Platz 12",Bassenheim,"Rentamt


",50.360869,7.459754
