"Denkmalzone Bachstraße 42–44, 51–55",Bendorf,"Putzbauten mit Walmdach (außer Nr. 55), nach dem Brand von 1743 größtenteils von Maurermeister Braunstein errichtet","",""
"Denkmalzone Jüdischer Friedhof (im Wenigerbachtal, oberhalb des Hedwig-Dransfeld-Hauses)",Bendorf,116 Grabsteine ab 1819,50.420136,7.575897
Bachstraße 36,Bendorf,"Fachwerkwand, 17. Jahrhundert",50.422569,7.576607
Bahnhofstraße 31,Bendorf,"Backsteinbau, Eckerker und -turm, um 1900",50.413931,7.581862
Bahnhofstraße 42,Bendorf,"Backsteinvilla, teilweise Fachwerk, um 1900",50.413931,7.581862
Concordiastraße 3,Bendorf,"Backsteinbau, um 1900",50.422609,7.573508
Engerser Straße 37,Bendorf,"Basaltbruchsteinhaus, Altan; Remise, teilweise Fachwerk; Gesamtanlage",50.421094,7.569438
Engerser Straße 47,Bendorf,"Backsteinvilla, zinnenbesetzter Treppenturm, um 1900",50.420888,7.568432
auf dem Friedhof,Bendorf,"gusseiserne Grabkreuze und Grabplatten, Sayner Hütte, Mitte des 19. Jahrhunderts; Grabmale, Stele, 1877",50.420136,7.575897
Hauptstraße,Bendorf,"Kriegerdenkmal, Reiter",50.423533,7.575295
Hauptstraße 25,Bendorf,"spätklassizistischer Bruchsteinbau, zweite Hälfte des 19. Jahrhunderts",50.413931,7.581862
Hauptstraße 56,Bendorf,"Backsteinbau, reiche Jugendstilornamentik, gusseisenvergitterter Kniestock, bezeichnet 1907",50.413931,7.581862
(an) Hauptstraße 79,Bendorf,"Portal, bezeichnet 1793",50.413931,7.581862
Hauptstraße 115–119,Bendorf,"Nr. 115: Bruchsteinbau, zweite Hälfte des 19. Jahrhunderts; Nr. 117: spätklassizistischer Bruchsteinbau; Nr. 119: spätklassizistischer Tuffquaderbau, um 1850",50.413931,7.581862
Hauptstraße 140,Bendorf,"Backsteinbau, bezeichnet 1884",50.413931,7.581862
Im Stadtpark 1 und 2,Bendorf,"Rathaus; zwei spiegelbildliche Backsteinbauten, um 1900; Gesamtanlage mit Park",50.424825,7.575843
Kirchplatz 9,Bendorf,"Putzbau (Fachwerk?), bezeichnet 1757",50.4223,7.577289
Kirchplatz 9b,Bendorf,"ehemaliges katholisches Schulhaus, dreigeschossiger lisengegliederter Putzbau, Treppengiebel, 1847/48, Architekt Ferdinand Nebel",50.422248,7.577406
Kirchplatz 20,Bendorf,"Evangelische Kirche und Katholische Kirche St. Medardus, sogenanntes Reichardsmünster

Evangelische Kirche: dreischiffige spätromanischer Basilika, um 1204, 1944 größtenteils zerstört, Neubau 1954–56, Architekt Wolfgang Mentzel unter Erhalt der romanischen Apsis mit Chorquadrat, südlichem Chorturm und Teilen der südlichen Langhauswand
Katholische Kirche: neugotische Basilika, 1864–67, Architekt Ferdinand Nebel, Koblenz
außen: gotische Grabplatte

",50.421978,7.578224
Evangelische Kirche,Bendorf,"dreischiffige spätromanischer Basilika, um 1204, 1944 größtenteils zerstört, Neubau 1954–56, Architekt Wolfgang Mentzel unter Erhalt der romanischen Apsis mit Chorquadrat, südlichem Chorturm und Teilen der südlichen Langhauswand",51.33102,6.562031
Katholische Kirche,Bendorf,"neugotische Basilika, 1864–67, Architekt Ferdinand Nebel, Koblenz",50.420136,7.575897
außen,Bendorf,gotische Grabplatte,47.603047,16.008742
Luisenstraße 21,Bendorf,"stattlicher Backsteineckbau, Anfang des 20. Jahrhunderts; ortsbildprägend",50.4223,7.574388
Mühlenstraße 7,Bendorf,"ehemalige Schule; dreigeschossiger Backsteinbau, bezeichnet 1890",50.424486,7.577559
Mühlenstraße 16,Bendorf,"Bruchsteinvilla, Mitte des 19. Jahrhunderts",50.425215,7.578484
Remystraße,Bendorf,"Eisenröstöfen, Mitte des 19. Jahrhunderts",50.419384,7.582015
Rheinstraße 1,Bendorf,"Remy’sches Anwesen; spätklassizistischer Putzbau, Mitte des 19. Jahrhunderts; bauliche Gesamtanlage mit Garten und Mauer mit Eingang",50.413931,7.581862
Untere Vallendarer Straße 19,Bendorf,"Remy’sches Haus; barocker Mansardwalmdachbau, bezeichnet 1747, Freitreppe bezeichnet 1748",50.421295,7.575529
Untere Vallendarer Straße 20/22,Bendorf,"dreigeschossiger Putzbau, bezeichnet 1761, eventuell im 19. Jahrhundert verändert und erweitert",50.421576,7.5749
Untere Vallendarer Straße 21,Bendorf,"Evangelischer Gemeindesaal; spätbarocker Walmdachbau, bezeichnet 1775",50.421106,7.575762
Untere Vallendarer Straße 84,Bendorf,"Backsteinbau, teilweise Fachwerk, um 1900",50.417788,7.580595
auf dem Pulverberg nordöstlich von Bendorf,Bendorf,"Limeswachtturm Wp 1/54; Rekonstruktion von 1912 eines Wachtturms des obergermanisch-rätischen Limes mit Palisade, Wall und Graben; zweite Rekonstruktion eine Limeswachtturms nach dem Limesturm Wp 2/1 bei Bad Ems; zugehörig sogenannte Löschke-Ruhe, benachbart Fundamentreste des originalen Turmes, 2. und 3. Jahrhundert n. Chr.",50.420136,7.575897
Denkmalzone Hüttenstraße 33,Bendorf,"ehemaliges Hochofengebäude der Concordia-Hütte; Bruchsteinbau mit zwei sich kreuzenden Schiffen, 1838","",""
Denkmalzone Zwölf-Apostel-Siedlung (Am Röttchenshammer 22–47),Bendorf,"Werkssiedlung der Concordia-Hütte; Putzbauten, bezeichnet 1878",50.420136,7.575897
Denkmalzone Alt-Sayn,Bendorf,kennzeichnendes Ortsbild und kennzeichnender Ortsgrundriss zwischen dem Fuß des Burgberges und dem Verlauf des Brexbaches einschließlich der erhaltenen Teile der historischen Stadtmauer entlang des Baches,50.420136,7.575897
"Denkmalzone Burg Sayn (Am Burgberg); Burgruine; Hauptburg mit vier- und innen fünfeckigem Bergfried, Schildmauer, Hofseite; freigelegte Burgkapelle",Bendorf,"romanische Doppelkapelle, um 1200, mit Resten eines mittelalterlichen Zierfußboden; Vorburg mit tiefer gelegenen Burgmannenhäusern, sogenanntes Reiffenbergsches Burghaus und Von Steinscher Sitz; die die einzelnen Burgbereiche miteinander verbindenden Mauern setzen sich in der Ortsbefestigung fort","",""
Denkmalzone Sayner Hütte (In der Saynerhütte),Bendorf,"1769/70 durch den Trierer Kurfürsten Clemens Wenzeslaus gegründet, 1926 Stilllegung der Hütte; bauliche Gesamtanlage mit historischer Gießhalle (1824–30) mit Hochofen und Flügelbauten, barockem Vorgängerbau (In der Sayner Hütte 8), Seitengebäude der Hütte, Turbinenanlage, Torbauten diesseits des Saynbachs einschließlich der beiden gusseisernen Adler, Werksgebäude: Bruch- und Backsteinbauten, 18. und 19. Jahrhundert",50.420136,7.575897
Denkmalzone Schloss Sayn (Abteistraße 1),Bendorf,"zwei- und dreigeschossiger Zweiflügelbau, im Kern mittelalterlich, seit 1500 Burghaus der Herren von Reiffenberg, 1757 barockisiert, 1848–50 neugotisch umgestaltet, Architekt Alphonse François Joseph Girard; Ostflügel 1861–63, Architekt Hermann Nebel, Koblenz, 1945 zerstört, bis 2000 Wiederaufbau ; zweigeschossiger Trakt an der Abteistraße älter, Obergeschoss mit gusseisernen Kreuzstockfenstern, Dachgauben mit gusseisernem Maßwerk aus der benachbarten Hütte; viergeschossiger Schlossturm, Torturm der Ortsbefestigung mit spätgotischem Kielbogenportal, 1757 erweitert, Mansarddach mit barocker Laterne; Schlosskapelle St. Barbara und Elisabeth, Doppelkapelle französischen Typs: neugotischer Tuffquaderbau mit gusseisernem Dachreiter, 1860–62, Architekt Hermann Nebel, Ausstattung; Schlosspark: englische Parkanlage; spätbarockes Gartenhaus; neugotischer Kreuzweg, Gusseisen, Sayner Hütte, 19. Jahrhundert; zugehöriges Heiligenhäuschen mit barockem Vesperbild",50.420136,7.575897
