Auf der Brück 3,Brey,"Fachwerkhaus, Ende des 17. oder Anfang des 18. Jahrhunderts",50.271685,7.624442
Auf der Brück 10,Brey,"Fachwerkhaus, 18. Jahrhundert",50.271984,7.624738
Bachstraße 39/41,Brey,"Fachwerkdoppelhaus, teilweise massiv, Ende des 17. oder des Anfang 18. Jahrhunderts",50.271869,7.625286
Rheingoldstraße 25,Brey,"Streckhof; Fachwerkbau, teilweise massiv, Krüppelwalmdach, 17. oder 18. Jahrhundert",50.272635,7.627748
Rheingoldstraße 32,Brey,"Fachwerkhaus, teilweise massiv, um 1900",50.272675,7.626823
Rheingoldstraße 33,Brey,"Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert",50.272497,7.627496
Rheingoldstraße 34,Brey,"Fachwerkhaus, teilweise massiv, frühes 18. Jahrhundert",50.272405,7.627182
Rheingoldstraße 43,Brey,"Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert",50.271996,7.626724
Rheingoldstraße 44,Brey,"Streckhof; Fachwerkbau, teilweise massiv, 18. Jahrhundert; Scheune, 19. Jahrhundert",50.272128,7.626634
Rheingoldstraße 48,Brey,"Streckhof; eingeschossiges Fachwerkhaus auf Steinsockel, 18. Jahrhundert",50.272105,7.626418
(an) Rheingoldstraße 53,Brey,"Türblatt, 18. Jahrhundert",50.271426,7.626149
Rheingoldstraße 58,Brey,"Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert",50.271627,7.626059
"Rheingoldstraße, Ecke Auf der Brück",Brey,"Kapelle, 19. Jahrhundert; barocke Vesper, 18. Jahrhundert",50.272226,7.627227
an der B 9 Richtung Spay,Brey,"Meilenstein; Obelisk, um 1822",54.137362,10.495574
Rheingoldstraße 8,Brey,"Fachwerkhaus, teilweise massiv, bezeichnet 1720",50.273717,7.62932
Rheingoldstraße 14,Brey,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Scheune bezeichnet 1726",50.273447,7.628835
"Rheingoldstraße, Ecke Auf der Brück",Brey,"Kapelle; Bruchsteinbau; Heilige Barbara, Ende des 15. oder Anfang des 16. Jahrhunderts; zwei Antwerpener Heilige, erste Hälfte des 16. Jahrhunderts; zwei Grenzsteine",50.272226,7.627227
