Denkmalzone Friedhof,Burgen (Mosel),"Kreuzigungsgruppe in Fachwerkhäuschen; Kreuz, wohl aus dem 17. oder 18. Jahrhundert, Assistenzfiguren aus der Mitte des 16. Jahrhunderts; 24 Grabkreuze und -fragmente, 17., 18. und 19. Jahrhundert",50.211776,7.387978
Bergstraße 6,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, bezeichnet 1668, Umbau bezeichnet 1816",50.211955,7.389272
Herrenstraße 3,Burgen (Mosel),"rustizierter Putzbau, Mansarddach, Anfang des 19. Jahrhunderts",50.210076,7.386784
Herrenstraße 5,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, verputzt, Krüppelwalmdach, 19. Jahrhundert",50.210076,7.386891
Herrenstraße 12,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, bezeichnet 1776",50.209995,7.386766
Herrenstraße 16,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.210105,7.387224
"Kirchstraße, Sebastianusstraße",Burgen (Mosel),"Katholische Pfarrkirche St. Sebastian; Saalbau, 1765, Architekt Thomas Neurohr, Boppard, Westturm 1829, Sakristei um 1300",50.210854,7.387493
Kirchstraße 3/5,Burgen (Mosel),"Fachwerkhaus, teilweise massiv und verputzt, Krüppelwalmdach, wohl noch aus dem frühen 17. Jahrhundert; Hofeinfahrt, Bruchsteinbau verputzt, wohl aus dem 19. Jahrhundert",50.21052,7.387763
"Marktstraße 4, Moselstraße 27",Burgen (Mosel),"Fachwerkhaus, teilweise massiv, frühes 18. Jahrhundert, im Kern wohl älter (spätmittelalterliche Erdgeschoss-Fenster)",50.212099,7.388562
Marktstraße 6,Burgen (Mosel),"reiches Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1671; Fachwerkbrücke",50.211955,7.389003
Mehlstraße 1,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, verkleidet, wohl aus dem 18. Jahrhundert",50.211148,7.387826
Mehlstraße 9,Burgen (Mosel),"Putzbau; Schildgiebel mit Kaminansatz, mittelalterlich",50.210906,7.388086
Mehlstraße 10,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, Schildgiebel, im Kern wohl noch aus dem 16. Jahrhundert",50.211038,7.387835
Mittelstraße 2,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, verputzt, wohl Ständerbau, 17. Jahrhundert, eventuell älter",50.196169,7.686336
Mittelstraße 3,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, verkleidet, Mansarddach, frühes 19. Jahrhundert",50.196048,7.684988
Mittelstraße 3,Burgen (Mosel),"ehemaliges Zehnthaus, Bruchsteinbau",50.196048,7.684988
Mittelstraße 6,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, wohl aus dem 18. Jahrhundert, eventuell älter",50.195909,7.685096
Mittelstraße 14,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, Mansarddach, Ende des 18. oder Anfang des 19. Jahrhunderts",50.196388,7.684674
Moselstraße 15,Burgen (Mosel),"Putzbau, 18. oder 19. Jahrhundert",50.209799,7.386218
(an) Moselstraße 16,Burgen (Mosel),"Kellerportal, 1627, Wohnhaus 1910",50.210254,7.386388
(an) Oberstraße 4,Burgen (Mosel),"Kellerportal, 1660",50.209747,7.386442
Oberstraße 12,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, 18. oder 19. Jahrhundert",50.209747,7.386442
(vor) Pützstraße 2a,Burgen (Mosel),"Wegekreuz, Nischentyp, bezeichnet 1761",50.210468,7.387475
Pützstraße 3a,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, im Kern wohl aus dem 16. Jahrhundert",50.210658,7.387395
Pützstraße 6,Burgen (Mosel),"Fachwerkhaus, teilweise massiv, wohl noch aus dem 18. Jahrhundert",50.210468,7.387475
Römerstraße,Burgen (Mosel),"Kapelle; Schieferbruchstein, Ölberggruppe. 19. Jahrhundert",50.210122,7.387987
Schulstraße 6,Burgen (Mosel),"Putzbau, 18. Jahrhundert",49.878988,6.999789
Zehnthofstraße,Burgen (Mosel),"Alte Schmiede; eingeschossiger Bruchsteinbau, 19. Jahrhundert",50.210375,7.386927
oberhalb von Burgen,Burgen (Mosel),"Wegekapelle; Putzbau, 19. Jahrhundert (?)",50.211776,7.387978
an der B 49,Burgen (Mosel),"Wegekapelle; Bruchsteinbau, wohl aus dem 19. Jahrhundert",52.603269,8.071731
an der B 49 Richtung Karden,Burgen (Mosel),"Wegekapelle; Putzbau, wohl aus dem 17. oder eher 18. Jahrhundert; neugotische Muttergottes mit Kind",54.137362,10.495574
Birkenhof,Burgen (Mosel),"Kapelle, 1829",50.196867,7.385679
nordöstlich von Burgen am Stadion,Burgen (Mosel),"Bildstock; Relief der Sieben Schmerzen Mariens, bezeichnet 1665","",""
"südöstlich von Burgen, in der Nähe des Birkenhofs",Burgen (Mosel),"Grabkreuz, bezeichnet 1674; zweitverwendet: Eisenplakette, 1919","",""
