Burgstraße 1,Dieblich,"ehemaliges Pfarrhaus; im Kern spätgotischer Putzbau, neuer Fachwerkerker, Hoftor, Scheunen; Gesamtanlage mit Garten",50.314127,7.467767
(an) Burgstraße 10,Dieblich,"Kellerportal, bezeichnet 1792",50.314316,7.467434
Burgstraße 19,Dieblich,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 18. Jahrhundert",50.31427,7.467497
Fährstraße,Dieblich,"Wegekapelle, Bruchstein, 19. Jahrhundert",50.313304,7.466285
auf dem Friedhof,Dieblich,"Friedhofskreuz, Grabsteine und -kreuze; Friedhofskreuz, 18. Jahrhundert; neugotischer Pfarrergrabstein, um 1850; 44 Grabkreuze, vornehmlich aus dem 18. Jahrhundert; sechs Grabplatten, 16. und 17. Jahrhundert",50.314075,7.469231
Hauptstraße 3,Dieblich,"ehemalige Schule; Bruchsteinbau, Walmdach, 1828/29, Architekt Johann Claudius von Lassaulx, Koblenz",50.314138,7.468584
Hauptstraße 16,Dieblich,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, Ende des 17. oder Anfang des 18. Jahrhunderts",50.313908,7.468926
"Hauptstraße, Ecke Im Vogelsang",Dieblich,"Wegekapelle, neugotische Marienfigur, 19. Jahrhundert",50.315582,7.472222
Im Anwend,Dieblich,"Wegekreuz, bezeichnet 1773",50.314075,7.469231
Kirchstraße 10,Dieblich,"Katholische Pfarrkirche St. Johannes Evangelist; Bruchsteinhalle, 1844–48, Architekt Ferdinand Nebel, Koblenz; Kriegerdenkmal; Gesamtanlage mit alter Einfassung",50.313149,7.467857
Kirchstraße 15,Dieblich,"Heesenburg; dreigeschossiger Bruchsteinbau, Krüppelwalmdach, Fachwerkerker, 17. Jahrhundert",50.313408,7.468476
Klausenstraße 1,Dieblich,"Fachwerkhaus, teilweise massiv, bezeichnet 1696",50.314897,7.470264
Klausenstraße 13,Dieblich,"Kapelle, Bruchstein, 19. Jahrhundert",50.31526,7.469752
Neustraße 1,Dieblich,"Hofanlage; Krüppelwalmdachbau, im Kern wohl aus dem 18. Jahrhundert, Scheune; Gesamtanlage",50.314219,7.468099
Neustraße 3,Dieblich,"Hofanlage; Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1701; bauliche Gesamtanlage",50.314288,7.468135
"Neustraße, Ecke Kegelbahn",Dieblich,"gusseiserne Schwengelpumpe, Rheinböllener Hütte, zweite Hälfte des 19. Jahrhunderts",50.314742,7.469105
Bergstraße,Dieblich,"Wegekreuz, Nischentyp",50.308196,7.476148
Zum Thiesenhof 36,Dieblich,"Krüppelwalmdachbau, bezeichnet 1754; Gesamtanlage mit Scheune",50.307195,7.476436
(zu) Zum Thiesenhof 38,Dieblich,Kapelle,50.307177,7.476543
Bauhöfe,Dieblich,Kapelle; Bruchsteinsaal,50.314075,7.469231
Kührerhof,Dieblich,"Fachwerkhaus, verkleidet, Walmdach, 17. Jahrhundert, Scheune bezeichnet 1615; Gesamtanlage mit Bruchsteinscheunen",50.292177,7.497762
an der K 69,Dieblich,"Wegekapelle; Backsteinsaalbau, 19. Jahrhundert",49.160943,11.261586
an der B 49,Dieblich,"Schmitzmühle; Mansardwalmdachbau, bezeichnet 1747 und 1754, Bruchstein- und Fachwerkscheune, 19. Jahrhundert, um 1900, Putzbau 1920er Jahre; Gesamtanlage",52.603269,8.071731
Kondertal 7,Dieblich,"Kondermühle; dreigeschossiges Fachwerkhaus, teilweise massiv, Krüppelwalmdach, Scheune",50.303035,7.516599
Im Alten Kloster 1,Dieblich,"ehemaliges Prämonstratenser-Nonnenkloster Mariaroth; spärliche Reste der Umfassungsmauern, um 1131; Fachwerk-Streckhof, teilweise massiv, verputzt, bezeichnet 1663; rückwärtig Fachwerkhaus, teilweise massiv, verputzt; Gesamtanlage",50.286399,7.516518
Waldstraße,Dieblich,"Kapelle; Saalbau, wohl aus dem 19. Jahrhundert; Muttergottes, 18. Jahrhundert",50.285581,7.517596
