Alte Schulstraße 15,Ettringen (Eifel),"Schule; L-förmiger Tuffquaderbau, um 1900",50.355065,7.220919
Am Kirchberg,Ettringen (Eifel),"Katholische Pfarrkirche St. Maximin und Anna; neugotische Basilika, Basaltbruchstein, 1858/59, Architekt Vincenz Statz, Köln; gotischer Chor der alten Pfarrkirche; sechs Grabkreuze, 18. Jahrhundert; Grabmale, 19. Jahrhundert; Wegekreuz, bezeichnet 1669",50.356691,7.222185
Am Wingertsberg,Ettringen (Eifel),"Kapelle; neugotischer Basaltquaderbau, Pyramidaldach, bezeichnet 1881; Wegekreuz, bezeichnet 1746",50.356496,7.225563
(an) Bäckerstraße 10,Ettringen (Eifel),"Barockrelief der Heiligen Barbara, 17. Jahrhundert",50.356116,7.222536
"Bauersweg, Ecke Höhenweg",Ettringen (Eifel),"Wegekreuz, Nischentyp, bezeichnet 1785",50.356421,7.218727
(bei) Hauptstraße 15,Ettringen (Eifel),"Wegekreuz, bezeichnet 1808",48.104749,10.655717
"Hauptstraße, Ecke Beller Straße",Ettringen (Eifel),"Grabkreuz, bezeichnet 1764",48.104551,10.655636
Mayener Straße 21,Ettringen (Eifel),"Villa; Tuffquaderbau, Mansardwalmdach, 1920er Jahre",50.353139,7.222266
an der L 82,Ettringen (Eifel),"Wegekreuz, bezeichnet 1616",53.975883,10.588352
an der L 82 am Ortsrand,Ettringen (Eifel),"Grabkreuz, bezeichnet 1807; Bildstock, Schöpflöffelform",53.975883,10.588352
