(bei) Hauptstraße 3,Gappenach,"Wegekreuz, bezeichnet 1738",50.273476,7.344293
Hauptstraße 7,Gappenach,"Hofanlage; Bruchsteinbau, bezeichnet 1884, Bruchstein-Ökonomiegebäude, teilweise Fachwerk; Gesamtanlage",50.272975,7.344554
Hauptstraße 10,Gappenach,"Hofreite; Bruchsteinbau, 18. Jahrhundert; Fachwerk-Ökonomietrakt, teilweise massiv; Gesamtanlage",50.272825,7.344374
Kolpingstraße,Gappenach,"Kapelle; Basaltkreuz, 19. Jahrhundert; Wegekreuz, bezeichnet 1696",50.273245,7.34706
Kolpingstraße,Gappenach,"Wegekreuz, bezeichnet 1809",50.273245,7.34706
Kolpingstraße 3,Gappenach,"Katholische Pfarrkirche St. Maximin; Mauerwerk weitgehend romanisch, ursprünglich wohl Basilika, Umbau zur Saalkirche im 16. oder 17. Jahrhundert; außen: Grabplatte, 1679; Friedhof: Grabkreuze, 17. und 18. Jahrhundert, unter anderem Grabstein von 1591; Wegekreuz, bezeichnet 1754; Kriegerdenkmal, relieferter Pylon; Wegekreuz, bezeichnet 1712; Gesamtanlage mit Pfarrhaus",50.272675,7.345353
Kolpingstraße 6–8,Gappenach,"Hofreite; Wohnhaus, Scheunen und Stallgebäude, 19. Jahrhundert; bauliche Gesamtanlage",50.272376,7.344994
"Kolpingstraße, Ecke Hauptstraße",Gappenach,"Scheune mit abgetreppten Backsteinornamenten, 19. Jahrhundert",50.273245,7.34706
an der L 113 Richtung Polch,Gappenach,"Wegekreuz, bezeichnet 1693",53.975883,10.588352
an der K 46 Richtung Neumühle,Gappenach,"Wegekreuz, 1712 (?)",49.160943,11.261586
bei der Mehlmühle,Gappenach,"Kapelle, 19. Jahrhundert; Wegekreuz, Nischentyp, bezeichnet 1647 und 1616; auf dem Hoftor Grabkreuz, bezeichnet 1676",50.272796,7.344446
bei der Gänsmühle,Gappenach,"Kapelle; Backsteinbau, 19. Jahrhundert",50.272796,7.344446
in der Nähe Birkenhof,Gappenach,"Wegekreuz, Nischentyp, 1624",50.272796,7.344446
in der Nähe der Neumühle,Gappenach,"Kapelle; Putzbau, Kreuz von 1881",50.272796,7.344446
